DATE,VALUE
1923-01-01,1887.0
1923-02-01,1770.0
1923-03-01,2099.0
1923-04-01,1936.0
1923-05-01,2276.0
1923-06-01,2141.0
1923-07-01,945.0
1923-08-01,1028.0
1923-09-01,1546.0
1923-10-01,1356.0
1923-11-01,1631.0
1923-12-01,2004.0
1924-01-01,2032.0
1924-02-01,1768.0
1924-03-01,1941.0
1924-04-01,1838.0
1924-05-01,1558.0
1924-06-01,1492.0
1924-07-01,1281.0
1924-08-01,1894.0
1924-09-01,1942.0
1924-10-01,2339.0
1924-11-01,2444.0
1924-12-01,2520.0
1925-01-01,2686.0
1925-02-01,2674.0
1925-03-01,2434.0
1925-04-01,2438.0
1925-05-01,1921.0
1925-06-01,2522.0
1925-07-01,1953.0
1925-08-01,2154.0
1925-09-01,2705.0
1925-10-01,1941.0
1925-11-01,3423.0
1925-12-01,3296.0
1926-01-01,2395.0
1926-02-01,3076.0
1926-03-01,2553.0
1926-04-01,2109.0
1926-05-01,2153.0
1926-06-01,1783.0
1926-07-01,2313.0
1926-08-01,2626.0
1926-09-01,3220.0
1926-10-01,2993.0
1926-11-01,2160.0
1926-12-01,2749.0
1927-01-01,2162.0
1927-02-01,1862.0
1927-03-01,2541.0
1927-04-01,2520.0
1927-05-01,1895.0
1927-06-01,1298.0
1927-07-01,1234.0
1927-08-01,2135.0
1927-09-01,1610.0
1927-10-01,1573.0
1927-11-01,2052.0
1927-12-01,2616.0
1928-01-01,1866.0
1928-02-01,1666.0
1928-03-01,1285.0
1928-04-01,1610.0
1928-05-01,1588.0
1928-06-01,2655.0
1928-07-01,1656.0
1928-08-01,1531.0
1928-09-01,1865.0
1928-10-01,2628.0
1928-11-01,2276.0
1928-12-01,2075.0
1929-01-01,1524.0
1929-02-01,2232.0
1929-03-01,2666.0
1929-04-01,2904.0
1929-05-01,2106.0
1929-06-01,1698.0
1929-07-01,1343.0
1929-08-01,1562.0
1929-09-01,1865.0
1929-10-01,1897.0
1929-11-01,1770.0
1929-12-01,1608.0
1930-01-01,712.0
1930-02-01,869.0
1930-03-01,1354.0
1930-04-01,612.0
1930-05-01,1020.0
1930-06-01,1494.0
1930-07-01,642.0
1930-08-01,735.0
1930-09-01,686.0
1930-10-01,840.0
1930-11-01,793.0
1930-12-01,724.0
1931-01-01,544.0
1931-02-01,627.0
1931-03-01,940.0
1931-04-01,499.0
1931-05-01,376.0
1931-06-01,358.0
1931-07-01,572.0
1931-08-01,613.0
1931-09-01,728.0
1931-10-01,305.0
1931-11-01,350.0
1931-12-01,320.0
1932-01-01,1144.0
1932-02-01,528.0
1932-03-01,582.0
1932-04-01,290.0
1932-05-01,319.0
1932-06-01,238.0
1932-07-01,195.0
1932-08-01,192.0
1932-09-01,336.0
1932-10-01,523.0
1932-11-01,498.0
1932-12-01,460.0
1933-01-01,472.0
1933-02-01,479.0
1933-03-01,574.0
1933-04-01,510.0
1933-05-01,693.0
1933-06-01,952.0
1933-07-01,582.0
1933-08-01,1023.0
1933-09-01,1067.0
1933-10-01,874.0
1933-11-01,556.0
1933-12-01,318.0
1934-01-01,381.0
1934-02-01,351.0
1934-03-01,719.0
1934-04-01,733.0
1934-05-01,848.0
1934-06-01,1016.0
1934-07-01,380.0
1934-08-01,560.0
1934-09-01,780.0
1934-10-01,296.0
1934-11-01,448.0
1934-12-01,953.0
1935-01-01,1134.0
1935-02-01,495.0
1935-03-01,846.0
1935-04-01,863.0
1935-05-01,289.0
1935-06-01,178.0
1935-07-01,859.0
1935-08-01,1258.0
1935-09-01,657.0
1935-10-01,752.0
1935-11-01,1595.0
1935-12-01,2160.0
1936-01-01,779.0
1936-02-01,1438.0
1936-03-01,1138.0
1936-04-01,812.0
1936-05-01,858.0
1936-06-01,875.0
1936-07-01,1274.0
1936-08-01,672.0
1936-09-01,824.0
1936-10-01,932.0
1936-11-01,1598.0
1936-12-01,1465.0
1937-01-01,588.0
1937-02-01,1350.0
1937-03-01,1650.0
1937-04-01,1376.0
1937-05-01,1289.0
1937-06-01,1351.0
1937-07-01,819.0
1937-08-01,1116.0
1937-09-01,1514.0
1937-10-01,1257.0
1937-11-01,1178.0
1937-12-01,1653.0
1938-01-01,842.0
1938-02-01,1357.0
1938-03-01,1383.0
1938-04-01,1142.0
1938-05-01,1027.0
1938-06-01,486.0
1938-07-01,951.0
1938-08-01,935.0
1938-09-01,977.0
1938-10-01,962.0
1938-11-01,1084.0
1938-12-01,1136.0
1939-01-01,2424.0
1939-02-01,1578.0
1939-03-01,785.0
1939-04-01,934.0
1939-05-01,938.0
1939-06-01,1026.0
1939-07-01,873.0
1939-08-01,897.0
1939-09-01,854.0
1939-10-01,1095.0
1939-11-01,1271.0
1939-12-01,1058.0
1940-01-01,742.0
1940-02-01,778.0
1940-03-01,973.0
1940-04-01,926.0
1940-05-01,895.0
1940-06-01,884.0
1940-07-01,879.0
1940-08-01,720.0
1940-09-01,922.0
1940-10-01,897.0
1940-11-01,862.0
1940-12-01,1020.0
1941-01-01,930.0
1941-02-01,979.0
1941-03-01,944.0
1941-04-01,1025.0
1941-05-01,913.0
1941-06-01,956.0
1941-07-01,1096.0
1941-08-01,1144.0
1941-09-01,1121.0
1941-10-01,971.0
1941-11-01,1118.0
1941-12-01,995.0
