DATE,VALUE
1933-07-01,51.7
1933-08-01,44.8
1933-09-01,34.1
1933-10-01,34.9
1933-11-01,24.9
1933-12-01,23.4
1934-01-01,30.3
1934-02-01,34.7
1934-03-01,41.8
1934-04-01,39.1
1934-05-01,43.9
1934-06-01,45.8
1934-07-01,26.1
1934-08-01,28.7
1934-09-01,20.9
1934-10-01,25.6
1934-11-01,20.6
1934-12-01,22.4
1935-01-01,38.3
1935-02-01,39.8
1935-03-01,34.3
1935-04-01,42.7
1935-05-01,39.1
1935-06-01,36.0
1935-07-01,45.2
1935-08-01,49.5
1935-09-01,45.3
1935-10-01,59.9
1935-11-01,52.7
1935-12-01,45.5
1936-01-01,54.4
1936-02-01,51.4
1936-03-01,56.4
1936-04-01,59.7
1936-05-01,59.9
1936-06-01,57.1
1936-07-01,59.8
1936-08-01,64.1
1936-09-01,76.0
1936-10-01,75.9
1936-11-01,67.4
1936-12-01,82.4
1937-01-01,80.8
1937-02-01,74.6
1937-03-01,94.8
1937-04-01,95.9
1937-05-01,81.3
1937-06-01,77.7
1937-07-01,67.4
1937-08-01,68.0
1937-09-01,66.2
1937-10-01,43.7
1937-11-01,33.9
1937-12-01,18.7
1938-01-01,24.9
1938-02-01,27.4
1938-03-01,33.4
1938-04-01,31.7
1938-05-01,28.0
1938-06-01,32.9
1938-07-01,41.2
1938-08-01,48.1
1938-09-01,53.6
1938-10-01,69.8
1938-11-01,51.4
1938-12-01,39.0
1939-01-01,51.1
1939-02-01,48.3
1939-03-01,50.8
1939-04-01,42.5
1939-05-01,51.2
1939-06-01,53.6
1939-07-01,59.6
1940-01-01,91.4
1940-02-01,63.2
1940-03-01,64.4
1940-04-01,68.7
1940-05-01,69.5
1940-06-01,61.7
1940-07-01,71.2
1940-08-01,96.4
1940-09-01,96.5
1940-10-01,103.8
1940-11-01,102.5
1940-12-01,112.7
1941-01-01,119.7
1941-02-01,112.8
1941-03-01,134.3
1941-04-01,123.6
1941-05-01,148.3
1941-06-01,121.3
1941-07-01,150.0
1941-08-01,119.9
1941-09-01,125.6
1941-10-01,126.5
1941-11-01,124.6
1941-12-01,138.6
1942-01-01,130.5
1942-02-01,107.0
1942-03-01,110.5
1942-04-01,106.1
1942-05-01,134.1
1942-06-01,140.6
1942-07-01,147.4
1942-08-01,143.8
1942-09-01,143.6
1942-10-01,157.3
1942-11-01,149.0
1942-12-01,165.5
1943-01-01,136.0
1943-02-01,132.5
1943-03-01,146.5
1943-04-01,150.5
1943-05-01,137.7
1943-06-01,138.7
1943-07-01,129.6
1943-08-01,147.1
1943-09-01,141.1
1943-10-01,129.2
1943-11-01,138.9
1943-12-01,115.8
1944-01-01,101.8
1944-02-01,124.8
1944-03-01,156.1
1944-04-01,156.2
1944-05-01,165.9
1944-06-01,141.1
1944-07-01,121.9
1944-08-01,139.5
1944-09-01,118.1
1944-10-01,126.6
1944-11-01,127.5
1944-12-01,156.8
1945-01-01,145.9
1945-02-01,172.6
1945-03-01,218.5
1945-04-01,161.1
1945-05-01,139.2
1945-06-01,94.0
1945-07-01,88.7
1945-08-01,86.8
1945-09-01,83.5
1945-10-01,104.1
1945-11-01,120.0
1945-12-01,103.5
1946-01-01,115.6
1946-02-01,86.1
1946-03-01,58.6
1946-04-01,75.8
1946-05-01,93.6
1946-06-01,95.3
1946-07-01,97.5
1946-08-01,118.4
1946-09-01,113.2
1946-10-01,136.5
1946-11-01,129.2
1946-12-01,141.2
1947-01-01,151.9
1947-02-01,122.2
1947-03-01,123.4
1947-04-01,117.6
1947-05-01,118.1
1947-06-01,116.7
1947-07-01,109.8
1947-08-01,96.4
1947-09-01,95.6
1947-10-01,112.3
1947-11-01,106.2
1947-12-01,113.4
1948-01-01,118.9
1948-02-01,106.8
1948-03-01,123.0
1948-04-01,116.5
1948-05-01,113.4
1948-06-01,112.7
1948-07-01,108.3
1948-08-01,107.5
1948-09-01,122.9
1948-10-01,112.6
1948-11-01,99.7
1948-12-01,102.3
1949-01-01,94.1
1949-02-01,97.9
1949-03-01,113.2
1949-04-01,76.1
1949-05-01,32.6
1949-06-01,45.7
1949-07-01,45.3
1949-08-01,90.7
1949-09-01,103.1
1949-10-01,108.2
1949-11-01,117.1
1949-12-01,107.7
1950-01-01,111.7
1950-02-01,112.8
1950-03-01,123.1
1950-04-01,101.7
1950-05-01,113.8
1950-06-01,125.0
1950-07-01,96.0
1950-08-01,112.1
1950-09-01,119.5
1950-10-01,121.8
1950-11-01,112.0
1950-12-01,122.0
1951-01-01,108.1
1951-02-01,99.5
1951-03-01,116.8
1951-04-01,114.7
1951-05-01,118.1
1951-06-01,114.1
1951-07-01,101.1
1951-08-01,104.9
1951-09-01,121.9
1951-10-01,125.3
1951-11-01,123.6
1951-12-01,119.6
1952-01-01,130.4
1952-02-01,104.8
1952-03-01,112.7
1952-04-01,107.6
1952-05-01,105.9
1952-06-01,98.4
1952-07-01,115.4
1952-08-01,127.9
1952-09-01,135.5
1952-10-01,138.8
1952-11-01,125.3
1952-12-01,143.1
1953-01-01,125.1
1953-02-01,117.2
1953-03-01,133.5
1953-04-01,142.4
1953-05-01,146.2
1953-06-01,139.3
1953-07-01,104.5
1953-08-01,107.0
1953-09-01,104.9
1953-10-01,110.5
1953-11-01,100.9
1953-12-01,112.2
1954-01-01,77.1
1954-02-01,89.0
1954-03-01,95.8
1954-04-01,104.6
1954-05-01,111.0
1954-06-01,106.3
1954-07-01,97.4
1954-08-01,92.5
1954-09-01,89.2
1954-10-01,105.3
1954-11-01,118.7
1954-12-01,121.9
1955-01-01,113.9
1955-02-01,108.5
1955-03-01,131.4
1955-04-01,119.9
