DATE,VALUE
1919-01-01,140.2
1919-02-01,142.1
1919-03-01,143.8
1919-04-01,145.5
1919-05-01,147.4
1919-06-01,149.1
1919-07-01,154.7
1919-08-01,160.1
1919-09-01,165.7
1919-10-01,171.3
1919-11-01,176.7
1919-12-01,182.3
1920-01-01,185.3
1920-02-01,188.2
1920-03-01,191.2
1920-04-01,194.2
1920-05-01,194.4
1920-06-01,195.6
1920-07-01,192.9
1920-08-01,190.2
1920-09-01,187.5
1920-10-01,184.8
1920-11-01,182.0
1920-12-01,179.3
1921-01-01,174.2
1921-02-01,169.3
1921-03-01,164.2
1921-04-01,159.3
1921-05-01,154.2
1921-06-01,149.5
1921-07-01,144.7
1921-08-01,140.0
1921-09-01,135.1
1921-10-01,133.4
1921-11-01,131.5
1921-12-01,129.8
1922-01-01,127.7
1922-02-01,125.7
1922-03-01,123.6
1922-04-01,122.9
1922-05-01,122.0
1922-06-01,121.3
1922-07-01,121.0
1922-08-01,120.7
1922-09-01,120.4
1922-10-01,120.9
1922-11-01,121.3
1922-12-01,121.8
1923-01-01,122.8
1923-02-01,123.7
1923-03-01,124.7
1923-04-01,125.1
1923-05-01,125.5
1923-06-01,125.9
1923-07-01,126.1
1923-08-01,126.2
1923-09-01,126.5
1923-10-01,126.5
1923-11-01,126.5
1923-12-01,126.5
1924-01-01,126.2
1924-02-01,126.1
1924-03-01,125.9
1924-04-01,125.2
1924-05-01,124.6
1924-06-01,124.0
1924-07-01,123.6
1924-08-01,123.1
1924-09-01,122.8
1924-10-01,122.6
1924-11-01,122.6
1924-12-01,122.5
1925-01-01,122.4
1925-02-01,122.3
1925-03-01,122.0
1925-04-01,121.9
1925-05-01,121.8
1925-06-01,121.6
1925-07-01,121.5
1925-08-01,121.5
1925-09-01,121.4
1925-10-01,121.3
1925-11-01,121.3
1925-12-01,121.2
1926-01-01,120.9
1926-02-01,120.7
1926-03-01,120.4
1926-04-01,120.2
1926-05-01,119.9
1926-06-01,119.7
1926-07-01,119.5
1926-08-01,119.3
1926-09-01,119.0
1926-10-01,118.8
1926-11-01,118.7
1926-12-01,118.4
1927-01-01,118.2
1927-02-01,118.1
1927-03-01,117.8
1927-04-01,117.6
1927-05-01,117.4
1927-06-01,117.2
1927-07-01,116.9
1927-08-01,116.8
1927-09-01,116.6
1927-10-01,116.3
1927-11-01,116.2
1927-12-01,116.0
1928-01-01,115.8
1928-02-01,115.6
1928-03-01,115.5
1928-04-01,115.3
1928-05-01,115.1
1928-06-01,115.0
1928-07-01,114.8
1928-08-01,114.7
1928-09-01,114.7
1928-10-01,114.6
1928-11-01,114.5
1928-12-01,114.3
1929-01-01,114.2
1929-02-01,114.1
1929-03-01,114.1
1929-04-01,114.0
1929-05-01,113.8
1929-06-01,113.7
1929-07-01,113.6
1929-08-01,113.5
1929-09-01,113.5
1929-10-01,113.4
1929-11-01,113.2
1929-12-01,113.1
1930-01-01,113.0
1930-02-01,112.7
1930-03-01,112.6
1930-04-01,112.5
1930-05-01,112.2
1930-06-01,112.1
1930-07-01,111.4
1930-08-01,116.0
1930-09-01,110.0
1930-10-01,109.3
1930-11-01,108.8
1930-12-01,107.8
1931-01-01,106.8
1931-02-01,105.7
1931-03-01,104.7
1931-04-01,103.6
1931-05-01,102.6
1931-06-01,101.5
1931-07-01,100.4
1931-08-01,99.2
1931-09-01,98.3
1931-10-01,97.1
1931-11-01,96.0
1931-12-01,94.9
1932-01-01,93.9
1932-02-01,92.9
1932-03-01,91.8
1932-04-01,90.8
1932-05-01,89.8
1932-06-01,88.9
1932-07-01,88.1
1932-08-01,87.4
1932-09-01,86.6
1932-10-01,85.9
1932-11-01,85.1
1932-12-01,84.4
1933-01-01,84.3
1933-02-01,84.1
1933-03-01,83.9
1933-04-01,83.8
1933-05-01,83.7
1933-06-01,83.5
1933-07-01,85.1
1933-08-01,86.7
1933-09-01,88.4
1933-10-01,90.0
1933-11-01,91.6
1933-12-01,93.2
1934-01-01,93.6
1934-02-01,93.8
1934-03-01,94.2
1934-04-01,94.4
1934-05-01,94.8
1934-06-01,95.2
1934-07-01,95.2
1934-08-01,95.2
1934-09-01,95.3
1934-10-01,95.3
1934-11-01,95.3
1934-12-01,95.4
1935-01-01,95.5
1935-02-01,95.5
1935-03-01,95.7
1935-04-01,95.7
1935-05-01,95.7
1935-06-01,95.7
1935-07-01,95.7
1935-08-01,95.8
1935-09-01,96.0
1935-10-01,96.2
1935-11-01,96.3
1935-12-01,96.3
1936-01-01,96.4
1936-02-01,96.5
1936-03-01,96.6
1936-04-01,96.8
1936-05-01,96.8
1936-06-01,96.6
1936-07-01,96.6
1936-08-01,96.9
1936-09-01,97.1
1936-10-01,97.5
1936-11-01,98.0
1936-12-01,98.4
1937-01-01,99.2
1937-02-01,100.2
1937-03-01,101.1
1937-04-01,101.5
1937-05-01,102.0
1937-06-01,102.8
1937-07-01,103.0
1937-08-01,103.8
1937-09-01,105.1
1937-10-01,105.2
1937-11-01,105.3
1937-12-01,105.4
1938-01-01,105.3
1938-02-01,105.2
1938-03-01,103.6
1938-04-01,103.0
1938-05-01,103.0
1938-06-01,102.8
1938-07-01,102.5
1938-08-01,102.3
1938-09-01,101.8
1938-10-01,101.7
1938-11-01,101.7
1938-12-01,101.6
1939-01-01,101.4
1939-02-01,101.2
1939-03-01,101.2
1939-04-01,101.2
1939-05-01,101.2
1939-06-01,101.1
1939-07-01,101.0
1939-08-01,101.1
1939-09-01,101.2
1939-10-01,101.6
1939-11-01,102.0
1939-12-01,102.3
1940-01-01,102.1
1940-02-01,102.0
1940-03-01,101.7
1940-04-01,101.6
1940-05-01,101.6
1940-06-01,101.5
1940-07-01,101.5
1940-08-01,101.5
1940-09-01,101.5
1940-10-01,101.5
1940-11-01,101.6
1940-12-01,101.5
1941-01-01,100.7
1941-02-01,100.6
1941-03-01,102.1
1941-04-01,102.6
1941-05-01,103.1
1941-06-01,104.2
1941-07-01,105.9
1941-08-01,107.9
1941-09-01,111.5
1941-10-01,113.5
1941-11-01,114.7
1941-12-01,115.8
1942-01-01,117.1
1942-02-01,119.5
1942-03-01,123.1
1942-04-01,125.4
1942-05-01,125.2
1942-06-01,124.6
1942-07-01,124.7
1942-08-01,124.7
1942-09-01,125.4
1942-10-01,125.5
1942-11-01,125.5
1942-12-01,125.5
1943-01-01,125.6
1943-02-01,125.9
1943-03-01,126.8
1943-04-01,127.2
1943-05-01,126.8
1943-06-01,127.5
1943-07-01,128.2
1943-08-01,128.7
1943-09-01,130.7
1943-10-01,131.4
1943-11-01,131.7
1943-12-01,132.7
1944-01-01,132.9
1944-02-01,133.3
1944-03-01,134.4
1944-04-01,135.9
