DATE,VALUE
1924-01-01,1401.0
1924-02-01,1436.0
1924-03-01,1446.0
1924-04-01,1433.0
1924-05-01,1445.0
1924-06-01,1443.0
1924-07-01,1439.0
1924-08-01,1418.0
1924-09-01,1411.0
1924-10-01,1410.0
1924-11-01,1416.0
1924-12-01,1413.0
1925-01-01,1417.0
1925-02-01,1421.0
1925-03-01,1420.0
1925-04-01,1416.0
1925-05-01,1430.0
1925-06-01,1422.0
1925-07-01,1418.0
1925-08-01,1411.0
1925-09-01,1412.0
1925-10-01,1415.0
1925-11-01,1415.0
1925-12-01,1418.0
1926-01-01,1411.0
1926-02-01,1416.0
1926-03-01,1419.0
1926-04-01,1429.0
1926-05-01,1250.0
1926-06-01,1238.0
1926-07-01,1245.0
1926-08-01,1239.0
1926-09-01,1242.0
1926-10-01,1236.0
1926-11-01,1236.0
1926-12-01,1312.0
1927-01-01,1375.0
1927-02-01,1409.0
1927-03-01,1431.0
1927-04-01,1440.0
1927-05-01,1456.0
1927-06-01,1456.0
1927-07-01,1457.0
1927-08-01,1452.0
1927-09-01,1452.0
1927-10-01,1450.0
1927-11-01,1445.0
1927-12-01,1447.0
1928-01-01,1454.0
1928-02-01,1455.0
1928-03-01,1451.0
1928-04-01,1447.0
1928-05-01,1447.0
1928-06-01,1437.0
1928-07-01,1427.0
1928-08-01,1429.0
1928-09-01,1436.0
1928-10-01,1436.0
1928-11-01,1435.0
1928-12-01,1454.0
1929-01-01,1450.0
1929-02-01,1461.0
1929-03-01,1485.0
1929-04-01,1492.0
1929-05-01,1493.0
1929-06-01,1500.0
1929-07-01,1499.0
1929-08-01,1493.0
1929-09-01,1493.0
1929-10-01,1502.0
1929-11-01,1488.0
1929-12-01,1493.0
1930-01-01,1474.0
1930-02-01,1466.0
1930-03-01,1447.0
1930-04-01,1430.0
1930-05-01,1428.0
1930-06-01,1411.0
1930-07-01,1390.0
1930-08-01,1356.0
1930-09-01,1330.0
1930-10-01,1296.0
1930-11-01,1270.0
1930-12-01,1229.0
1931-01-01,1218.0
1931-02-01,1196.0
1931-03-01,1173.0
1931-04-01,1169.0
1931-05-01,1163.0
1931-06-01,1154.0
1931-07-01,1147.0
1931-08-01,1132.0
1931-09-01,1116.0
1931-10-01,1135.0
1931-11-01,1139.0
1931-12-01,1146.0
1932-01-01,1121.0
1932-02-01,1120.0
1932-03-01,1130.0
1932-04-01,1122.0
1932-05-01,1100.0
1932-06-01,1105.0
1932-07-01,1095.0
1932-08-01,1093.0
1932-09-01,1091.0
1932-10-01,1095.0
1932-11-01,1090.0
1932-12-01,1099.0
1933-01-01,1106.0
1933-02-01,1075.0
1933-03-01,1088.0
1933-04-01,1096.0
1933-05-01,1129.0
1933-06-01,1154.0
1933-07-01,1162.0
1933-08-01,1175.0
1933-09-01,1198.0
1933-10-01,1213.0
1933-11-01,1234.0
1933-12-01,1252.0
1934-01-01,1242.0
1934-02-01,1254.0
1934-03-01,1273.0
1934-04-01,1296.0
1934-05-01,1312.0
1934-06-01,1327.0
1934-07-01,1332.0
1934-08-01,1334.0
1934-09-01,1342.0
1934-10-01,1349.0
1934-11-01,1354.0
1934-12-01,1360.0
1935-01-01,1346.0
1935-02-01,1349.0
1935-03-01,1359.0
1935-04-01,1369.0
1935-05-01,1400.0
1935-06-01,1389.0
1935-07-01,1398.0
1935-08-01,1412.0
1935-09-01,1420.0
1935-10-01,1436.0
1935-11-01,1454.0
1935-12-01,1468.0
1936-01-01,1463.0
1936-02-01,1478.0
1936-03-01,1500.0
1936-04-01,1519.0
1936-05-01,1540.0
1936-06-01,1558.0
1936-07-01,1566.0
1936-08-01,1584.0
1936-09-01,1605.0
1936-10-01,1627.0
1936-11-01,1644.0
1936-12-01,1656.0
1937-01-01,1669.0
1937-02-01,1686.0
1937-03-01,1698.0
1937-04-01,1722.0
1937-05-01,1735.0
1937-06-01,1759.0
1937-07-01,1767.0
1937-08-01,1776.0
1937-09-01,1783.0
1937-10-01,1786.0
1937-11-01,1783.0
1937-12-01,1775.0
1938-01-01,1760.0
1938-02-01,1758.0
1938-03-01,1755.0
1938-04-01,1753.0
1938-05-01,1751.0
1938-06-01,1736.0
1938-07-01,1742.0
1938-08-01,1741.0
1938-09-01,1738.0
1938-10-01,1759.0
1938-11-01,1759.0
1938-12-01,1765.0
1939-01-01,1757.0
1939-02-01,1781.0
1939-03-01,1798.0
1939-04-01,1814.0
1939-05-01,1849.0
1939-06-01,1865.0
1939-07-01,1885.0
