DATE,VALUE
1940-03-01,8.36
1940-04-01,8.23
1940-05-01,7.99
1940-06-01,8.31
1940-07-01,9.15
1940-08-01,8.74
1940-09-01,6.85
1940-10-01,7.24
1940-11-01,7.26
1940-12-01,6.91
1941-01-01,7.41
1941-02-01,6.93
1941-03-01,6.5
1941-04-01,6.38
1941-05-01,5.66
1941-06-01,6.19
1941-07-01,6.0
1941-08-01,5.62
1941-09-01,4.68
1941-10-01,3.84
1941-11-01,3.8
1941-12-01,3.62
1942-01-01,4.32
1942-02-01,4.04
1942-03-01,3.58
1942-04-01,3.05
1942-05-01,2.59
1942-06-01,2.89
1942-07-01,2.83
1942-08-01,2.19
1942-09-01,1.68
1942-10-01,1.61
1942-11-01,1.63
1942-12-01,1.52
1943-01-01,1.48
1943-02-01,1.42
1943-03-01,1.12
1943-04-01,1.01
1943-05-01,0.95
1943-06-01,1.3
1943-07-01,1.39
1943-08-01,1.05
1943-09-01,0.87
1943-10-01,0.78
1943-11-01,0.71
1943-12-01,0.69
1944-01-01,0.81
1944-02-01,0.69
1944-03-01,0.69
1944-04-01,0.63
1944-05-01,0.73
1944-06-01,0.88
1944-07-01,0.89
1944-08-01,0.68
1944-09-01,0.6
1944-10-01,0.44
1944-11-01,0.5
1944-12-01,0.5
1945-01-01,0.63
1945-02-01,0.64
1945-03-01,0.59
1945-04-01,0.53
1945-05-01,0.53
1945-06-01,0.89
1945-07-01,0.95
1945-08-01,0.83
1945-09-01,1.65
1945-10-01,1.56
1945-11-01,1.74
1945-12-01,1.97
1946-01-01,2.3
1946-02-01,2.65
1946-03-01,2.7
1946-04-01,2.33
1946-05-01,2.31
1946-06-01,2.57
1946-07-01,2.27
1946-08-01,2.06
1946-09-01,2.07
1946-10-01,1.96
1946-11-01,1.93
1946-12-01,2.12
1947-01-01,2.4
1947-02-01,2.49
1947-03-01,2.33
1947-04-01,2.42
1947-05-01,1.96
1947-06-01,2.555
1947-07-01,2.584
1947-08-01,2.096
1947-09-01,1.912
1947-10-01,1.687
1947-11-01,1.621
1947-12-01,1.643
1948-01-01,2.065
1948-02-01,2.639
1948-03-01,2.44
1948-04-01,2.193
1948-05-01,1.761
1948-06-01,2.184
1948-07-01,2.227
1948-08-01,1.941
1948-09-01,1.899
1948-10-01,1.642
1948-11-01,1.831
1948-12-01,1.941
1949-01-01,2.664
1949-02-01,3.221
1949-03-01,3.167
1949-04-01,3.016
1949-05-01,3.289
1949-06-01,3.778
1949-07-01,4.095
1949-08-01,3.689
1949-09-01,3.351
1949-10-01,3.576
1949-11-01,3.409
1949-12-01,3.489
1950-01-01,4.48
1950-02-01,4.684
1950-03-01,4.123
1950-04-01,3.515
1950-05-01,3.057
1950-06-01,3.384
1950-07-01,3.213
1950-08-01,2.5
1950-09-01,2.341
1950-10-01,1.94
1950-11-01,2.24
1950-12-01,2.229
1951-01-01,2.503
1951-02-01,2.407
1951-03-01,2.147
1951-04-01,1.744
1951-05-01,1.609
1951-06-01,1.98
1951-07-01,1.856
1951-08-01,1.578
1951-09-01,1.606
1951-10-01,1.616
1951-11-01,1.828
1951-12-01,1.674
1952-01-01,2.054
1952-02-01,2.086
1952-03-01,1.804
1952-04-01,1.612
1952-05-01,1.602
1952-06-01,1.818
1952-07-01,1.942
1952-08-01,1.604
1952-09-01,1.438
1952-10-01,1.284
1952-11-01,1.418
1952-12-01,1.412
1953-01-01,1.892
1953-02-01,1.788
1953-03-01,1.674
1953-04-01,1.582
1953-05-01,1.306
1953-06-01,1.562
1953-07-01,1.548
1953-08-01,1.24
1953-09-01,1.321
1953-10-01,1.301
1953-11-01,1.699
1953-12-01,2.313
1954-01-01,3.087
1954-02-01,3.67
1954-03-01,3.724
1954-04-01,3.465
1954-05-01,3.305
1954-06-01,3.347
1954-07-01,3.347
1954-08-01,3.245
1954-09-01,3.1
1954-10-01,2.741
1954-11-01,2.893
1954-12-01,2.838
1955-01-01,3.347
1955-02-01,3.383
1955-03-01,3.176
1955-04-01,2.962
1955-05-01,2.489
1955-06-01,2.679
1955-07-01,2.471
1955-08-01,2.237
1955-09-01,2.149
1955-10-01,2.131
1955-11-01,2.398
1955-12-01,2.427
1956-01-01,2.885
1956-02-01,2.914
1956-03-01,2.834
1956-04-01,2.564
1956-05-01,2.608
1956-06-01,2.927
1956-07-01,2.833
1956-08-01,2.195
1956-09-01,1.998
1956-10-01,1.909
1956-11-01,2.463
1956-12-01,2.479
1957-01-01,2.94
1957-02-01,2.881
1957-03-01,2.7
1957-04-01,2.481
1957-05-01,2.489
1957-06-01,3.03
1957-07-01,2.687
1957-08-01,2.38
1957-09-01,2.317
1957-10-01,2.277
1957-11-01,2.989
1957-12-01,3.14
