DATE,VALUE
1934-01-01,12.0
1934-02-01,0.0
1934-03-01,0.0
1934-04-01,3.0
1934-05-01,61.0
1934-06-01,47.0
1934-07-01,52.0
1934-08-01,4.0
1934-09-01,6.0
1934-10-01,2.0
1934-11-01,36.0
1934-12-01,8.0
1935-01-01,13.0
1935-02-01,28.0
1935-03-01,111.0
1935-04-01,100.0
1935-05-01,115.0
1935-06-01,153.0
1935-07-01,481.0
1935-08-01,118.0
1935-09-01,207.0
1935-10-01,198.0
1935-11-01,223.0
1935-12-01,118.0
1936-01-01,232.0
1936-02-01,125.0
1936-03-01,444.0
1936-04-01,580.0
1936-05-01,231.0
1936-06-01,428.0
1936-07-01,258.0
1936-08-01,102.0
1936-09-01,162.0
1936-10-01,266.0
1936-11-01,131.0
1936-12-01,410.0
1937-01-01,168.0
1937-02-01,222.0
1937-03-01,192.0
1937-04-01,42.0
1937-05-01,116.0
1937-06-01,172.0
1937-07-01,43.0
1937-08-01,37.0
1937-09-01,40.0
1937-10-01,57.0
1937-11-01,1.0
1937-12-01,9.0
1938-01-01,2.0
1938-02-01,106.0
1938-03-01,0.0
1938-04-01,62.0
1938-05-01,25.0
1938-06-01,88.0
1938-07-01,41.0
1938-08-01,189.0
1938-09-01,81.0
1938-10-01,283.0
1938-11-01,70.0
1938-12-01,259.0
1939-01-01,14.0
1939-02-01,132.0
1939-03-01,46.0
1939-04-01,141.0
1939-05-01,26.0
1939-06-01,333.0
1939-07-01,143.0
1939-08-01,339.0
1939-09-01,96.0
1939-10-01,150.0
1939-11-01,55.0
1939-12-01,220.0
1940-01-01,111.0
1940-02-01,204.0
1940-03-01,67.0
1940-04-01,188.0
1940-05-01,79.0
1940-06-01,114.0
1940-07-01,197.0
1940-08-01,103.0
1940-09-01,57.0
1940-10-01,316.0
1940-11-01,53.0
1940-12-01,364.0
1941-01-01,208.0
1941-02-01,135.0
1941-03-01,173.0
1941-04-01,132.0
1941-05-01,189.0
1941-06-01,141.0
1941-07-01,56.0
1941-08-01,209.0
1941-09-01,150.0
1941-10-01,91.0
1941-11-01,37.0
1941-12-01,62.0
1942-01-01,84.0
1942-02-01,24.0
1942-03-01,45.0
1942-04-01,20.0
1942-05-01,14.0
1942-06-01,61.0
1942-07-01,31.0
1942-08-01,4.0
1942-09-01,25.0
1942-10-01,41.0
1942-11-01,28.0
1942-12-01,17.0
1943-01-01,6.0
1943-02-01,34.0
1943-03-01,44.0
1943-04-01,96.0
1943-05-01,49.0
1943-06-01,54.0
1943-07-01,63.0
1943-08-01,83.0
1943-09-01,51.0
1943-10-01,105.0
1943-11-01,71.0
1943-12-01,81.0
1944-01-01,114.0
1944-02-01,37.0
1944-03-01,150.0
1944-04-01,100.0
1944-05-01,121.0
1944-06-01,128.0
1944-07-01,131.0
1944-08-01,151.0
1944-09-01,415.0
1944-10-01,594.0
1944-11-01,338.0
1944-12-01,109.0
1945-01-01,214.0
1945-02-01,211.0
1945-03-01,160.0
1945-04-01,525.0
1945-05-01,355.0
1945-06-01,95.0
1945-07-01,730.0
1945-08-01,303.0
1945-09-01,682.0
1945-10-01,854.0
1945-11-01,88.0
1945-12-01,338.0
1946-01-01,102.0
1946-02-01,310.0
1946-03-01,291.0
1946-04-01,396.0
1946-05-01,645.0
1946-06-01,331.0
1946-07-01,310.0
1946-08-01,116.0
1946-09-01,98.0
1946-10-01,52.0
1946-11-01,78.0
1946-12-01,136.0
1947-01-01,121.0
1947-02-01,31.0
1947-03-01,123.0
1947-04-01,90.0
1947-05-01,238.0
1947-06-01,207.0
1947-07-01,112.0
1947-08-01,110.0
1947-09-01,155.0
1947-10-01,36.0
1947-11-01,77.0
1947-12-01,54.0
1948-01-01,13.0
1948-02-01,23.0
1948-03-01,90.0
1948-04-01,66.0
1948-05-01,2.0
1948-06-01,45.0
1948-07-01,10.0
1948-08-01,2.0
1948-09-01,16.0
1948-10-01,23.0
1948-11-01,8.0
1948-12-01,10.0
1949-01-01,7.0
1949-02-01,3.0
1949-03-01,38.0
1949-04-01,7.0
1949-05-01,22.0
1949-06-01,58.0
1949-07-01,19.0
1949-08-01,17.0
1949-09-01,39.0
1949-10-01,61.0
1949-11-01,17.0
1949-12-01,114.0
1950-01-01,50.0
1950-02-01,35.0
1950-03-01,130.0
1950-04-01,99.0
1950-05-01,219.0
1950-06-01,311.0
1950-07-01,22.0
1950-08-01,142.0
1950-09-01,31.0
1950-10-01,85.0
1950-11-01,64.0
1950-12-01,84.0
1951-01-01,27.0
1951-02-01,35.0
1951-03-01,80.0
1951-04-01,74.0
1951-05-01,36.0
1951-06-01,63.0
1951-07-01,29.0
1951-08-01,23.0
1951-09-01,18.0
1951-10-01,12.0
1951-11-01,43.0
1951-12-01,44.0
1952-01-01,10.0
1952-02-01,24.0
1952-03-01,17.0
1952-04-01,21.0
1952-05-01,139.0
1952-06-01,49.0
1952-07-01,47.0
1952-08-01,122.0
1952-09-01,57.0
1952-10-01,89.0
1952-11-01,38.0
1952-12-01,46.0
1953-01-01,21.0
1953-02-01,28.0
1953-03-01,13.0
1953-04-01,17.0
1953-05-01,19.0
1953-06-01,27.0
1953-07-01,9.0
1953-08-01,3.0
1953-09-01,3.0
1953-10-01,22.0
1953-11-01,1.0
1953-12-01,24.0
