DATE,VALUE
1914-11-01,0.23
1914-12-01,0.25
1915-01-01,0.26
1915-02-01,0.28
1915-03-01,0.28
1915-04-01,0.29
1915-05-01,0.29
1915-06-01,0.29
1915-07-01,0.3
1915-08-01,0.31
1915-09-01,0.33
1915-10-01,0.34
1915-11-01,0.38
1915-12-01,0.4
1916-01-01,0.43
1916-02-01,0.44
1916-03-01,0.45
1916-04-01,0.44
1916-05-01,0.47
1916-06-01,0.51
1916-07-01,0.55
1916-08-01,0.53
1916-09-01,0.53
1916-10-01,0.54
1916-11-01,0.58
1916-12-01,0.62
1917-01-01,0.71
1917-02-01,0.71
1917-03-01,0.74
1917-04-01,0.8
1917-05-01,0.87
1917-06-01,1.11
1917-07-01,1.34
1917-08-01,1.27
1917-09-01,1.25
1917-10-01,1.39
1917-11-01,1.61
1917-12-01,1.62
1918-01-01,1.63
1918-02-01,1.61
1918-03-01,1.64
1918-04-01,1.69
1918-05-01,1.71
1918-06-01,1.79
1918-07-01,1.73
1918-08-01,1.71
1918-09-01,1.78
1918-10-01,1.83
1918-11-01,1.81
1918-12-01,1.8
1919-01-01,1.83
1919-02-01,1.86
1919-03-01,1.95
1919-04-01,1.88
1919-05-01,1.94
1919-06-01,1.94
1919-07-01,1.96
1919-08-01,1.91
1919-09-01,1.93
1919-10-01,1.98
1919-11-01,2.01
1919-12-01,1.99
1920-01-01,2.03
1920-02-01,2.0
1920-03-01,2.03
1920-04-01,2.0
1920-05-01,1.99
1920-06-01,1.97
1920-07-01,1.91
1920-08-01,1.89
1920-09-01,1.91
1920-10-01,1.87
1920-11-01,1.83
1920-12-01,1.82
1921-01-01,1.82
1921-02-01,1.8
1921-03-01,1.8
1921-04-01,1.75
1921-05-01,1.72
1921-06-01,1.72
1921-07-01,1.7
1921-08-01,1.69
1921-09-01,1.72
1921-10-01,1.73
1921-11-01,1.73
1921-12-01,1.76
1922-01-01,1.8
1922-02-01,1.81
1922-03-01,1.79
1922-04-01,1.82
1922-05-01,1.88
1922-06-01,1.89
1922-07-01,1.88
1922-08-01,1.86
1922-09-01,1.87
1922-10-01,1.88
1922-11-01,1.89
1922-12-01,1.89
1923-01-01,1.98
1923-02-01,1.97
1923-03-01,1.96
1923-04-01,1.94
1923-05-01,1.95
1923-06-01,1.93
1923-07-01,1.92
1923-08-01,1.89
1923-09-01,1.91
1923-10-01,1.92
1923-11-01,1.94
1923-12-01,1.93
1924-01-01,1.98
1924-02-01,1.95
1924-03-01,1.99
1924-04-01,2.0
1924-05-01,1.98
1924-06-01,2.06
1924-07-01,2.11
1924-08-01,2.14
1924-09-01,2.19
1924-10-01,2.21
1924-11-01,2.22
1924-12-01,2.26
1925-01-01,2.28
1925-02-01,2.23
1925-03-01,2.19
1925-04-01,2.18
1925-05-01,2.19
1925-06-01,2.21
1925-07-01,2.2
1925-08-01,2.21
1925-09-01,2.21
1925-10-01,2.27
1925-11-01,2.29
1925-12-01,2.28
1926-01-01,2.29
1926-02-01,2.27
1926-03-01,2.28
1926-04-01,2.25
1926-05-01,2.25
1926-06-01,2.24
1926-07-01,2.26
1926-08-01,2.25
1926-09-01,2.27
1926-10-01,2.28
1926-11-01,2.28
1926-12-01,2.29
1927-01-01,2.3
1927-02-01,2.27
1927-03-01,2.28
1927-04-01,2.3
1927-05-01,2.33
1927-06-01,2.36
1927-07-01,2.34
1927-08-01,2.33
1927-09-01,2.35
1927-10-01,2.38
1927-11-01,2.43
1927-12-01,2.44
1928-01-01,2.47
1928-02-01,2.42
1928-03-01,2.41
1928-04-01,2.45
1928-05-01,2.44
1928-06-01,2.39
1928-07-01,2.37
1928-08-01,2.33
1928-09-01,2.37
1928-10-01,2.38
1928-11-01,2.4
1928-12-01,2.42
1929-01-01,2.44
1929-02-01,2.41
1929-03-01,2.38
1929-04-01,2.37
1929-05-01,2.35
1929-06-01,2.37
1929-07-01,2.38
1929-08-01,2.37
1929-09-01,2.4
1929-10-01,2.44
1929-11-01,2.58
1929-12-01,2.44
1930-01-01,2.4
1930-02-01,2.36
1930-03-01,2.37
1930-04-01,2.41
1930-05-01,2.42
1930-06-01,2.46
1930-07-01,2.48
1930-08-01,2.45
1930-09-01,2.45
1930-10-01,2.46
1930-11-01,2.49
1930-12-01,2.47
1931-01-01,2.49
1931-02-01,2.43
1931-03-01,2.44
1931-04-01,2.44
1931-05-01,2.44
1931-06-01,2.48
1931-07-01,2.51
1931-08-01,2.57
1931-09-01,2.56
1931-10-01,2.5
1931-11-01,2.32
1931-12-01,2.24
1932-01-01,2.13
1932-02-01,2.01
1932-03-01,1.98
1932-04-01,2.1
1932-05-01,2.25
1932-06-01,2.17
1932-07-01,2.09
1932-08-01,2.15
1932-09-01,2.27
1932-10-01,2.38
1932-11-01,2.45
1932-12-01,2.51
1933-01-01,2.6
1933-02-01,2.41
1933-03-01,2.1
1933-04-01,2.28
1933-05-01,2.35
1933-06-01,2.46
1933-07-01,2.52
1933-08-01,2.61
1933-09-01,2.71
1933-10-01,2.81
1933-11-01,2.86
1933-12-01,2.83
1934-01-01,3.0
1934-02-01,3.04
1934-03-01,3.55
1934-04-01,3.82
1934-05-01,4.01
1934-06-01,4.13
1934-07-01,4.21
1934-08-01,4.31
1934-09-01,4.28
1934-10-01,4.23
1934-11-01,4.31
1934-12-01,4.36
1935-01-01,4.62
1935-02-01,4.85
1935-03-01,4.89
1935-04-01,4.97
1935-05-01,5.12
1935-06-01,5.33
1935-07-01,5.46
1935-08-01,5.53
1935-09-01,5.58
1935-10-01,5.83
1935-11-01,6.06
1935-12-01,6.32
1936-01-01,6.55
1936-02-01,6.6
1936-03-01,6.52
1936-04-01,6.49
1936-05-01,6.55
1936-06-01,6.57
1936-07-01,6.69
1936-08-01,6.78
1936-09-01,6.84
1936-10-01,6.98
1936-11-01,7.07
1936-12-01,7.06
1937-01-01,7.22
1937-02-01,7.21
1937-03-01,7.18
1937-04-01,7.23
1937-05-01,7.27
1937-06-01,7.3
1937-07-01,7.27
1937-08-01,7.25
1937-09-01,7.39
1937-10-01,7.5
1937-11-01,7.53
1937-12-01,7.51
1938-01-01,7.71
1938-02-01,7.82
1938-03-01,7.89
1938-04-01,8.7
1938-05-01,9.28
1938-06-01,9.26
1938-07-01,9.26
1938-08-01,9.24
1938-09-01,9.24
1938-10-01,9.57
1938-11-01,9.78
1938-12-01,9.99
1939-01-01,10.31
1939-02-01,10.48
1939-03-01,10.7
1939-04-01,11.12
1939-05-01,11.48
1939-06-01,11.7
1939-07-01,11.8
1939-08-01,12.06
1939-09-01,12.78
1939-10-01,12.95
1939-11-01,12.91
1939-12-01,12.83
1940-01-01,13.26
1940-02-01,13.55
1940-03-01,13.73
1940-04-01,14.01
1940-05-01,14.4
1940-06-01,14.91
1940-07-01,15.44
1940-08-01,15.74
1940-09-01,15.96
1940-10-01,16.14
1940-11-01,16.19
1940-12-01,16.1
1941-01-01,16.36
1941-02-01,16.33
1941-03-01,16.36
1941-04-01,16.27
1941-05-01,16.19
1941-06-01,16.04
1941-07-01,15.84
1941-08-01,15.67
1941-09-01,15.5
1941-10-01,15.53
1941-11-01,15.34
1941-12-01,14.93
1942-01-01,14.79
1942-02-01,14.58
1942-03-01,14.39
1942-04-01,14.27
1942-05-01,14.23
1942-06-01,14.09
1942-07-01,14.2
1942-08-01,14.2
1942-09-01,13.87
1942-10-01,13.93
1942-11-01,14.16
1942-12-01,14.67
1943-01-01,14.9
1943-02-01,14.32
1943-03-01,14.43
1943-04-01,14.29
1943-05-01,13.79
1943-06-01,13.74
1943-07-01,14.36
1943-08-01,14.48
1943-09-01,14.7
1943-10-01,14.18
1943-11-01,14.34
1943-12-01,15.14
1944-01-01,15.31
1944-02-01,14.54
1944-03-01,14.7
