DATE,VALUE
1934-09-01,10.92
1934-10-01,11.15
1934-11-01,11.36
1934-12-01,11.47
1935-01-01,11.54
1935-02-01,11.67
1935-03-01,11.8
1935-04-01,11.92
1935-05-01,12.37
1935-06-01,12.81
1935-07-01,13.04
1935-08-01,13.13
1935-09-01,13.28
1935-10-01,13.36
1935-11-01,13.78
1935-12-01,13.9
1936-01-01,13.82
1936-02-01,14.06
1936-03-01,13.88
1936-04-01,13.98
1936-05-01,14.37
1936-06-01,14.56
1936-07-01,14.75
1936-08-01,14.78
1936-09-01,14.96
1936-10-01,15.15
1936-11-01,15.36
1936-12-01,15.54
1937-01-01,15.52
1937-02-01,15.57
1937-03-01,15.43
1937-04-01,15.28
1937-05-01,15.42
1937-06-01,15.3
1937-07-01,14.98
1937-08-01,14.92
1937-09-01,14.84
1937-10-01,14.76
1937-11-01,14.64
1937-12-01,14.57
1938-01-01,14.44
1938-02-01,14.51
1938-03-01,14.36
1938-04-01,14.44
1938-05-01,14.58
1938-06-01,14.93
1938-07-01,15.02
1938-08-01,15.12
1938-09-01,15.38
1938-10-01,15.69
1938-11-01,15.82
1938-12-01,16.09
1939-01-01,16.05
1939-02-01,16.04
1939-03-01,16.03
1939-04-01,16.46
1939-05-01,16.8
1939-06-01,17.18
1939-07-01,17.37
1939-08-01,17.72
1939-09-01,18.21
1939-10-01,18.51
1939-11-01,18.74
1939-12-01,18.86
1940-01-01,18.95
1940-02-01,19.21
1940-03-01,19.34
1940-04-01,19.52
1940-05-01,19.97
1940-06-01,20.52
1940-07-01,20.85
1940-08-01,20.88
1940-09-01,21.01
1940-10-01,21.44
1940-11-01,21.89
1940-12-01,22.3
1941-01-01,22.76
1941-02-01,23.09
1941-03-01,23.32
1941-04-01,23.52
1941-05-01,24.01
1941-06-01,23.97
1941-07-01,24.21
1941-08-01,24.34
1941-09-01,24.4
1941-10-01,24.39
1941-11-01,24.17
1941-12-01,24.14
1942-01-01,24.31
1942-02-01,24.71
1942-03-01,24.88
1942-04-01,24.84
1942-05-01,25.25
1942-06-01,25.88
1942-07-01,25.99
1942-08-01,26.64
1942-09-01,27.64
1942-10-01,28.27
1942-11-01,29.36
1942-12-01,28.75
1943-01-01,29.22
1943-02-01,30.41
1943-03-01,31.96
1943-04-01,31.59
1943-05-01,30.35
1943-06-01,32.2
1943-07-01,33.11
1943-08-01,34.25
1943-09-01,33.42
1943-10-01,31.06
1943-11-01,32.42
1943-12-01,34.11
1944-01-01,34.43
1944-02-01,31.75
1944-03-01,32.81
1944-04-01,33.85
1944-05-01,35.42
1944-06-01,35.89
1944-07-01,32.87
1944-08-01,34.11
1944-09-01,35.58
1944-10-01,36.33
1944-11-01,38.27
1944-12-01,35.46
1945-01-01,35.51
1945-02-01,36.49
1945-03-01,37.43
1945-04-01,38.23
1945-05-01,39.89
1945-06-01,38.85
1945-07-01,36.62
1945-08-01,37.55
1945-09-01,38.75
1945-10-01,39.33
1945-11-01,39.75
1945-12-01,37.59
1946-01-01,37.65
1946-02-01,37.66
1946-03-01,37.39
1946-04-01,37.41
1946-05-01,38.5
1946-06-01,39.59
1946-07-01,39.28
1946-08-01,39.16
1946-09-01,39.58
1946-10-01,39.42
1946-11-01,39.75
1946-12-01,40.37
1947-01-01,39.98
1947-02-01,38.99
1947-03-01,38.8
1947-04-01,38.99
1947-05-01,39.52
1947-06-01,40.38
