DATE,VALUE
1948-02-01,42.6
1948-03-01,51.9
1948-04-01,47.2
1948-05-01,63.9
1948-06-01,71.3
1948-07-01,60.2
1948-08-01,48.1
1948-09-01,36.1
1948-10-01,44.4
1948-11-01,32.4
1948-12-01,27.8
1949-01-01,13.0
1949-02-01,18.5
1949-03-01,31.5
1949-04-01,28.7
1949-05-01,23.1
1949-06-01,33.3
1949-07-01,35.2
1949-08-01,61.1
1949-09-01,71.3
1949-10-01,53.7
1949-11-01,46.3
1949-12-01,64.8
1950-01-01,63.0
1950-02-01,71.3
1950-03-01,77.8
1950-04-01,86.1
1950-05-01,82.4
1950-06-01,88.0
1950-07-01,94.4
1950-08-01,93.5
1950-09-01,61.1
1950-10-01,73.1
1950-11-01,63.9
1950-12-01,69.4
1951-01-01,74.1
1951-02-01,71.3
1951-03-01,67.6
1951-04-01,65.7
1951-05-01,41.7
1951-06-01,50.9
1951-07-01,38.0
1951-08-01,35.2
1951-09-01,44.4
1951-10-01,45.4
1951-11-01,67.6
1951-12-01,71.3
1952-01-01,67.6
1952-02-01,66.7
1952-03-01,53.7
1952-04-01,53.7
1952-05-01,57.4
1952-06-01,67.6
1952-07-01,50.0
1952-08-01,81.5
1952-09-01,81.5
1952-10-01,82.4
1952-11-01,92.6
1952-12-01,70.4
1953-01-01,65.7
1953-02-01,63.0
1953-03-01,81.5
1953-04-01,67.6
1953-05-01,61.1
1953-06-01,40.7
1953-07-01,63.9
1953-08-01,29.6
1953-09-01,19.4
1953-10-01,21.3
1953-11-01,21.3
1953-12-01,20.4
1954-01-01,30.6
1954-02-01,44.4
1954-03-01,37.0
1954-04-01,39.8
1954-05-01,50.0
1954-06-01,48.1
1954-07-01,52.8
1954-08-01,47.2
1954-09-01,62.0
1954-10-01,54.6
1954-11-01,82.4
1954-12-01,74.1
1955-01-01,82.4
1955-02-01,78.7
1955-03-01,90.7
1955-04-01,80.6
1955-05-01,82.4
1955-06-01,86.1
1955-07-01,66.7
1955-08-01,64.8
1955-09-01,74.1
1955-10-01,76.9
1955-11-01,68.5
1955-12-01,71.3
1956-01-01,62.0
1956-02-01,53.7
1956-03-01,37.0
1956-04-01,73.1
1956-05-01,35.2
1956-06-01,34.3
1956-07-01,48.1
1956-08-01,72.2
1956-09-01,47.2
1956-10-01,69.4
1956-11-01,46.3
1956-12-01,63.9
1957-01-01,31.5
1957-02-01,55.6
1957-03-01,54.6
1957-04-01,32.4
1957-05-01,38.0
1957-06-01,49.1
1957-07-01,55.6
1957-08-01,47.2
1957-09-01,25.9
1957-10-01,18.5
1957-11-01,11.1
1957-12-01,22.2
1958-01-01,15.7
1958-02-01,7.4
1958-03-01,17.6
1958-04-01,29.6
1958-05-01,57.4
1958-06-01,78.7
1958-07-01,75.0
1958-08-01,85.2
1958-09-01,86.1
1958-10-01,68.5
1958-11-01,92.6
1958-12-01,65.7
1959-01-01,82.4
1959-02-01,74.1
1959-03-01,83.3
1959-04-01,88.0
1959-05-01,86.1
1959-06-01,70.4
1959-07-01,68.5
1959-08-01,42.6
1959-09-01,54.6
1959-10-01,29.6
1959-11-01,57.4
1959-12-01,82.4
1960-01-01,73.1
1960-02-01,52.8
1960-03-01,48.1
1960-04-01,44.4
1960-05-01,51.9
1960-06-01,39.8
1960-07-01,35.2
1960-08-01,39.8
1960-09-01,22.2
1960-10-01,31.5
1960-11-01,25.9
1960-12-01,17.6
1961-01-01,50.9
1961-02-01,38.9
1961-03-01,61.1
1961-04-01,63.9
1961-05-01,78.7
1961-06-01,88.9
1961-07-01,74.1
1961-08-01,75.0
1961-09-01,55.6
1961-10-01,83.3
1961-11-01,82.4
1961-12-01,71.3
1962-01-01,47.2
1962-02-01,80.6
1962-03-01,80.6
1962-04-01,81.5
1962-05-01,62.0
1962-06-01,59.3
1962-07-01,57.4
1962-08-01,54.6
1962-09-01,65.7
1962-10-01,40.7
1962-11-01,57.4
1962-12-01,39.8
1963-01-01,71.3
1963-02-01,55.6
1963-03-01,76.9
1963-04-01,66.7
1963-05-01,78.7
1963-06-01,68.5
1963-07-01,75.9
1963-08-01,60.2
1963-09-01,57.4
1963-10-01,65.7
1963-11-01,51.9
1963-12-01,78.7
1964-01-01,55.6
1964-02-01,81.5
1964-03-01,68.5
1964-04-01,72.2
1964-05-01,67.6
1964-06-01,68.5
1964-07-01,72.2
1964-08-01,59.3
1964-09-01,60.2
