DATE,VALUE
1990-01-01,15618.0
1990-02-01,15587.0
1990-03-01,15457.0
1990-04-01,15501.0
1990-05-01,15491.0
1990-06-01,15658.0
1990-07-01,16047.0
1990-08-01,16226.0
1990-09-01,15969.0
1990-10-01,15944.0
1990-11-01,15906.0
1990-12-01,16013.0
1991-01-01,15699.0
1991-02-01,15856.0
1991-03-01,15843.0
1991-04-01,15791.0
1991-05-01,15567.0
1991-06-01,16072.0
1991-07-01,15840.0
1991-08-01,15812.0
1991-09-01,15897.0
1991-10-01,15778.0
1991-11-01,15652.0
1991-12-01,15610.0
1992-01-01,14976.0
1992-02-01,15151.0
1992-03-01,15451.0
1992-04-01,15012.0
1992-05-01,15135.0
1992-06-01,15622.0
1992-07-01,15327.0
1992-08-01,15115.0
1992-09-01,15194.0
1992-10-01,15073.0
1992-11-01,14824.0
1992-12-01,14519.0
1993-01-01,15517.0
1993-02-01,15574.0
1993-03-01,15629.0
1993-04-01,15780.0
1993-05-01,15446.0
1993-06-01,16299.0
1993-07-01,15906.0
1993-08-01,15634.0
1993-09-01,15667.0
1993-10-01,15300.0
1993-11-01,15263.0
1993-12-01,15126.0
1994-01-01,14947.0
1994-02-01,14931.0
1994-03-01,15411.0
1994-04-01,15087.0
1994-05-01,15076.0
1994-06-01,15517.0
1994-07-01,15175.0
1994-08-01,14988.0
1994-09-01,15386.0
1994-10-01,15331.0
1994-11-01,15271.0
1994-12-01,15273.0
1995-01-01,15624.0
1995-02-01,15697.0
1995-03-01,15879.0
1995-04-01,15548.0
1995-05-01,15445.0
1995-06-01,16183.0
1995-07-01,15850.0
1995-08-01,15852.0
1995-09-01,15845.0
1995-10-01,15935.0
1995-11-01,15952.0
1995-12-01,15743.0
1996-01-01,15923.0
1996-02-01,15446.0
1996-03-01,15631.0
1996-04-01,15491.0
1996-05-01,15381.0
1996-06-01,15465.0
1996-07-01,15804.0
1996-08-01,15834.0
1996-09-01,15764.0
1996-10-01,15703.0
1996-11-01,15448.0
1996-12-01,15439.0
1997-01-01,15915.0
1997-02-01,15579.0
1997-03-01,15638.0
1997-04-01,15636.0
1997-05-01,15718.0
1997-06-01,15729.0
1997-07-01,15942.0
1997-08-01,15516.0
1997-09-01,15673.0
1997-10-01,15832.0
1997-11-01,15437.0
1997-12-01,15347.0
1998-01-01,16388.0
1998-02-01,16547.0
1998-03-01,16464.0
1998-04-01,16213.0
1998-05-01,16412.0
1998-06-01,16111.0
1998-07-01,16190.0
1998-08-01,15891.0
1998-09-01,15846.0
1998-10-01,15947.0
1998-11-01,15786.0
1998-12-01,15630.0
1999-01-01,15851.0
1999-02-01,15835.0
1999-03-01,15670.0
1999-04-01,15378.0
1999-05-01,15550.0
1999-06-01,15684.0
1999-07-01,15226.0
1999-08-01,15120.0
1999-09-01,15265.0
1999-10-01,15161.0
1999-11-01,15258.0
1999-12-01,15039.0
2000-01-01,15512.0
2000-02-01,15511.0
2000-03-01,15464.0
2000-04-01,15560.0
2000-05-01,15573.0
2000-06-01,15954.0
2000-07-01,15847.0
2000-08-01,15506.0
2000-09-01,15693.0
2000-10-01,15496.0
2000-11-01,15454.0
2000-12-01,15492.0
2001-01-01,15990.0
2001-02-01,15983.0
2001-03-01,15979.0
2001-04-01,15996.0
