DATE,VALUE
1984-01-01,1447852.0
1984-04-01,1503249.0
1984-07-01,1556753.0
1984-10-01,1820339.0
1985-01-01,1980214.0
1985-04-01,2091183.0
1985-07-01,2151910.0
1985-10-01,2256774.0
1986-01-01,2308531.0
1986-04-01,2370881.0
1986-07-01,2426518.0
1986-10-01,2544818.0
1987-01-01,2600062.0
1987-04-01,2682499.0
1987-07-01,2822528.0
1987-10-01,3008234.0
1988-01-01,3109185.0
1988-04-01,3177257.0
1988-07-01,3263857.0
1988-10-01,3294820.0
1989-01-01,3414836.0
1989-04-01,3521242.0
1989-07-01,3629724.0
1989-10-01,3700250.0
1990-01-01,3724054.0
1990-04-01,3635280.0
1990-07-01,3557091.0
1990-10-01,3338794.0
1991-01-01,3560336.0
1991-04-01,3561516.0
1991-07-01,3526017.0
1991-10-01,3436526.0
1992-01-01,3710865.0
1992-04-01,3763147.0
1992-07-01,3878218.0
1992-10-01,3924818.0
1993-01-01,4058785.0
1993-04-01,4217265.0
1993-07-01,4126630.0
1993-10-01,4475062.0
1994-01-01,4982595.0
1994-04-01,5107215.0
1994-07-01,5068651.0
1994-10-01,7536481.0
1995-01-01,6241606.0
1995-04-01,6419434.0
1995-07-01,6563147.0
1995-10-01,6208345.0
1996-01-01,6113338.0
1996-04-01,6258251.0
1996-07-01,3816503.0
1996-10-01,3618712.0
1997-01-01,3379135.0
1997-04-01,3500771.0
1997-07-01,3027629.0
1997-10-01,3130700.0
1998-01-01,3190980.0
1998-04-01,3359076.0
1998-07-01,3510264.0
1998-10-01,3929597.0
1999-01-01,3880055.0
1999-04-01,3800430.0
1999-07-01,3916826.0
1999-10-01,3888973.0
2000-01-01,3821376.0
2000-04-01,3906765.0
2000-07-01,3993331.0
2000-10-01,4185598.0
2001-01-01,3969872.0
2001-04-01,3995446.0
2001-07-01,4140681.0
2001-10-01,4140518.0
2002-01-01,4180760.0
2002-04-01,4344536.0
2002-07-01,4500985.0
2002-10-01,4544890.0
2003-01-01,4640283.0
2003-04-01,3357927.0
2003-07-01,3481116.0
2003-10-01,3167750.0
2004-01-01,3258763.0
2004-04-01,3245099.0
2004-07-01,3631281.0
2004-10-01,3689573.0
2005-01-01,3693509.0
2005-04-01,3989228.0
2005-07-01,4053223.0
2005-10-01,4142754.0
2006-01-01,4400371.0
2006-04-01,4443061.0
2006-07-01,4619079.0
2006-10-01,4727455.0
2007-01-01,4789767.0
2007-04-01,4789437.0
2007-07-01,2856376.0
2007-10-01,2844956.0
2008-01-01,2818891.0
2008-04-01,2872696.0
2008-07-01,2848553.0
2008-10-01,2664122.0
2009-01-01,2673867.0
2009-04-01,2219137.0
2009-07-01,2261993.0
2009-10-01,2266147.0
2010-01-01,2273326.0
2010-04-01,2311243.0
2010-07-01,2314628.0
2010-10-01,2247610.0
2011-01-01,2280230.0
2011-04-01,2320902.0
2011-07-01,2404892.0
2011-10-01,2465943.0
2012-01-01,2491856.0
2012-04-01,2555059.0
2012-07-01,2597785.0
2012-10-01,2623391.0
2013-01-01,2659474.0
2013-04-01,2612969.0
2013-07-01,2640547.0
2013-10-01,2682758.0
2014-01-01,2653554.0
2014-04-01,2801138.0
2014-07-01,2844312.0
2014-10-01,3070637.0
2015-01-01,3143293.0
2015-04-01,3178437.0
2015-07-01,3226147.0
2015-10-01,3227174.0
2016-01-01,3314965.0
2016-04-01,3371256.0
