DATE,VALUE
1990-01-01,14233.0
1990-02-01,14199.0
1990-03-01,14428.0
1990-04-01,14727.0
1990-05-01,15186.0
1990-06-01,16742.0
1990-07-01,17505.0
1990-08-01,16763.0
1990-09-01,15684.0
1990-10-01,15502.0
1990-11-01,14699.0
1990-12-01,14657.0
1991-01-01,14724.0
1991-02-01,14710.0
1991-03-01,14873.0
1991-04-01,15503.0
1991-05-01,15750.0
1991-06-01,16909.0
1991-07-01,17628.0
1991-08-01,17412.0
1991-09-01,16281.0
1991-10-01,16022.0
1991-11-01,15086.0
1991-12-01,15017.0
1992-01-01,15107.0
1992-02-01,14988.0
1992-03-01,15073.0
1992-04-01,15571.0
1992-05-01,15886.0
1992-06-01,17081.0
1992-07-01,18400.0
1992-08-01,18177.0
1992-09-01,16919.0
1992-10-01,16406.0
1992-11-01,15821.0
1992-12-01,15592.0
1993-01-01,15214.0
1993-02-01,15115.0
1993-03-01,15205.0
1993-04-01,15511.0
1993-05-01,16042.0
1993-06-01,17187.0
1993-07-01,17979.0
1993-08-01,17819.0
1993-09-01,17020.0
1993-10-01,16281.0
1993-11-01,15789.0
1993-12-01,15696.0
1994-01-01,14859.0
1994-02-01,14843.0
1994-03-01,14853.0
1994-04-01,15251.0
1994-05-01,15739.0
1994-06-01,16847.0
1994-07-01,17715.0
1994-08-01,17531.0
1994-09-01,16573.0
1994-10-01,15805.0
1994-11-01,15408.0
1994-12-01,15415.0
1995-01-01,15061.0
1995-02-01,15147.0
1995-03-01,15274.0
1995-04-01,15907.0
1995-05-01,16523.0
1995-06-01,18206.0
1995-07-01,18762.0
1995-08-01,18640.0
1995-09-01,17801.0
1995-10-01,16766.0
1995-11-01,15881.0
1995-12-01,15915.0
1996-01-01,15825.0
1996-02-01,15730.0
1996-03-01,15959.0
1996-04-01,16275.0
1996-05-01,17135.0
1996-06-01,18389.0
1996-07-01,19234.0
1996-08-01,19029.0
1996-09-01,17972.0
1996-10-01,16991.0
1996-11-01,16070.0
1996-12-01,16110.0
1997-01-01,15970.0
1997-02-01,15887.0
1997-03-01,15885.0
1997-04-01,16137.0
1997-05-01,16879.0
1997-06-01,18127.0
1997-07-01,19004.0
1997-08-01,18602.0
1997-09-01,17430.0
1997-10-01,16678.0
1997-11-01,16081.0
1997-12-01,15935.0
1998-01-01,15607.0
1998-02-01,15602.0
1998-03-01,15730.0
1998-04-01,16165.0
1998-05-01,16842.0
1998-06-01,18313.0
1998-07-01,19201.0
1998-08-01,18823.0
1998-09-01,17662.0
1998-10-01,17060.0
1998-11-01,16312.0
1998-12-01,16337.0
1999-01-01,15977.0
1999-02-01,16047.0
1999-03-01,16100.0
1999-04-01,16820.0
1999-05-01,17266.0
1999-06-01,18572.0
1999-07-01,19506.0
1999-08-01,19569.0
1999-09-01,18384.0
1999-10-01,17986.0
1999-11-01,17033.0
1999-12-01,17128.0
2000-01-01,17139.0
2000-02-01,17093.0
2000-03-01,17354.0
2000-04-01,17534.0
2000-05-01,17891.0
2000-06-01,18906.0
2000-07-01,19201.0
2000-08-01,19451.0
2000-09-01,18252.0
2000-10-01,17936.0
2000-11-01,17147.0
2000-12-01,17026.0
2001-01-01,16873.0
2001-02-01,16729.0
2001-03-01,16778.0
2001-04-01,17080.0
2001-05-01,17436.0
2001-06-01,18673.0
2001-07-01,19036.0
2001-08-01,18899.0
2001-09-01,17985.0
2001-10-01,17932.0
2001-11-01,17181.0
2001-12-01,17139.0
2002-01-01,16855.0
2002-02-01,16567.0
2002-03-01,16674.0
2002-04-01,16815.0
2002-05-01,17169.0
2002-06-01,18439.0
2002-07-01,19195.0
2002-08-01,18997.0
2002-09-01,18102.0
2002-10-01,17775.0
2002-11-01,17156.0
2002-12-01,16920.0
2003-01-01,16910.0
2003-02-01,16762.0
2003-03-01,16696.0
2003-04-01,16957.0
2003-05-01,17455.0
2003-06-01,18721.0
2003-07-01,19454.0
2003-08-01,19617.0
2003-09-01,18603.0
2003-10-01,18054.0
2003-11-01,17319.0
2003-12-01,16911.0
2004-01-01,16715.0
2004-02-01,16702.0
2004-03-01,16980.0
2004-04-01,17179.0
2004-05-01,17828.0
2004-06-01,18949.0
2004-07-01,19817.0
2004-08-01,19997.0
2004-09-01,18781.0
2004-10-01,18281.0
2004-11-01,17584.0
2004-12-01,17477.0
2005-01-01,16818.0
2005-02-01,16922.0
2005-03-01,17139.0
2005-04-01,17524.0
2005-05-01,18137.0
2005-06-01,19507.0
2005-07-01,20053.0
2005-08-01,20131.0
2005-09-01,19100.0
2005-10-01,18512.0
2005-11-01,17653.0
2005-12-01,17600.0
2006-01-01,17355.0
2006-02-01,17332.0
2006-03-01,17414.0
2006-04-01,17792.0
2006-05-01,18350.0
2006-06-01,19388.0
2006-07-01,20196.0
2006-08-01,20113.0
2006-09-01,19147.0
2006-10-01,18937.0
2006-11-01,18035.0
2006-12-01,17858.0
2007-01-01,17207.0
2007-02-01,17147.0
2007-03-01,17229.0
2007-04-01,17345.0
2007-05-01,17878.0
2007-06-01,19242.0
2007-07-01,19949.0
2007-08-01,19864.0
2007-09-01,18786.0
2007-10-01,18555.0
2007-11-01,17662.0
2007-12-01,17390.0
2008-01-01,17242.0
2008-02-01,17105.0
2008-03-01,17122.0
2008-04-01,17684.0
2008-05-01,18310.0
2008-06-01,19622.0
2008-07-01,20365.0
2008-08-01,19981.0
2008-09-01,18813.0
2008-10-01,18485.0
2008-11-01,17586.0
2008-12-01,17519.0
2009-01-01,16987.0
2009-02-01,16954.0
2009-03-01,16899.0
2009-04-01,17274.0
2009-05-01,17995.0
2009-06-01,18954.0
2009-07-01,19648.0
2009-08-01,19524.0
2009-09-01,18332.0
2009-10-01,17907.0
2009-11-01,17328.0
2009-12-01,17213.0
2010-01-01,16420.0
2010-02-01,16351.0
2010-03-01,16437.0
2010-04-01,16555.0
2010-05-01,16892.0
2010-06-01,17878.0
2010-07-01,18535.0
2010-08-01,18389.0
2010-09-01,17460.0
2010-10-01,17241.0
2010-11-01,16667.0
2010-12-01,16604.0
2011-01-01,16366.0
2011-02-01,16256.0
2011-03-01,16393.0
2011-04-01,16527.0
2011-05-01,16919.0
2011-06-01,17830.0
2011-07-01,18660.0
2011-08-01,18635.0
2011-09-01,17543.0
2011-10-01,17191.0
