DATE,VALUE
1945-10-01,0.21
1946-10-01,0.25
1947-10-01,0.26
1948-10-01,0.29
1949-10-01,0.36
1950-10-01,0.45
1951-10-01,0.53
1952-01-01,0.5
1952-04-01,0.51
1952-07-01,0.52
1952-10-01,0.54
1953-01-01,0.54
1953-04-01,0.52
1953-07-01,0.52
1953-10-01,0.55
1954-01-01,0.6
1954-04-01,0.61
1954-07-01,0.65
1954-10-01,0.67
1955-01-01,0.68
1955-04-01,0.73
1955-07-01,0.8
1955-10-01,0.82
1956-01-01,0.92
1956-04-01,0.83
1956-07-01,1.03
1956-10-01,1.05
1957-01-01,1.09
1957-04-01,1.19
1957-07-01,1.17
1957-10-01,1.18
1958-01-01,1.3
1958-04-01,1.48
1958-07-01,1.48
1958-10-01,1.45
1959-01-01,1.53
1959-04-01,1.56
1959-07-01,1.7
1959-10-01,1.8
1960-01-01,1.85
1960-04-01,1.92
1960-07-01,2.01
1960-10-01,2.04
1961-01-01,2.09
1961-04-01,2.04
1961-07-01,2.16
1961-10-01,2.45
1962-01-01,2.42
1962-04-01,2.36
1962-07-01,2.6
1962-10-01,2.64
1963-01-01,2.65
1963-04-01,2.49
1963-07-01,2.72
1963-10-01,2.82
1964-01-01,2.89
1964-04-01,3.09
1964-07-01,3.18
1964-10-01,3.2
1965-01-01,3.55
1965-04-01,3.45
1965-07-01,3.82
1965-10-01,3.86
1966-01-01,4.31
1966-04-01,4.58
1966-07-01,4.95
1966-10-01,5.12
1967-01-01,4.84
1967-04-01,4.36
1967-07-01,4.15
1967-10-01,4.31
1968-01-01,4.92
1968-04-01,4.33
1968-07-01,4.65
1968-10-01,4.13
1969-01-01,5.16
1969-04-01,4.76
1969-07-01,5.33
1969-10-01,5.15
1970-01-01,5.59
1970-04-01,6.94
1970-07-01,6.21
1970-10-01,5.73
1971-01-01,5.47
1971-04-01,5.31
1971-07-01,4.94
1971-10-01,5.52
1972-01-01,5.83
1972-04-01,5.75
1972-07-01,6.17
1972-10-01,6.03
1973-01-01,6.47
1973-04-01,6.59
1973-07-01,6.82
1973-10-01,6.64
1974-01-01,7.13
1974-04-01,7.07
1974-07-01,7.21
1974-10-01,7.4
1975-01-01,7.45
1975-04-01,7.62
1975-07-01,8.03
1975-10-01,8.03
1976-01-01,7.67
1976-04-01,7.62
1976-07-01,7.8
1976-10-01,8.41
1977-01-01,9.24
1977-04-01,10.84
1977-07-01,11.81
1977-10-01,12.29
1978-01-01,13.09
1978-04-01,13.03
1978-07-01,12.59
1978-10-01,12.51
1979-01-01,13.18
1979-04-01,14.19
1979-07-01,14.59
1979-10-01,14.55
1980-01-01,14.21
1980-04-01,16.51
1980-07-01,17.14
1980-10-01,17.06
1981-01-01,17.83
1981-04-01,18.89
1981-07-01,19.1
1981-10-01,20.18
1982-01-01,20.87
1982-04-01,21.92
1982-07-01,23.77
1982-10-01,25.36
1983-01-01,28.23
1983-04-01,31.65
1983-07-01,32.72
1983-10-01,34.91
1984-01-01,42.62
1984-04-01,45.95
1984-07-01,51.21
1984-10-01,53.85
1985-01-01,66.29
1985-04-01,80.74
1985-07-01,96.89
1985-10-01,129.94
1986-01-01,164.32
1986-04-01,193.64
1986-07-01,229.5
1986-10-01,259.86
1987-01-01,297.86
1987-04-01,307.96
1987-07-01,306.08
1987-10-01,291.13
1988-01-01,304.39
1988-04-01,301.38
1988-07-01,304.12
1988-10-01,304.47
1989-01-01,304.98
1989-04-01,312.35
1989-07-01,319.64
1989-10-01,327.17
1990-01-01,333.62
1990-04-01,344.61
1990-07-01,348.92
1990-10-01,360.1
1991-01-01,375.12
1991-04-01,394.5
1991-07-01,426.25
1991-10-01,440.22
1992-01-01,461.67
1992-04-01,498.53
1992-07-01,535.29
1992-10-01,566.38
1993-01-01,606.68
1993-04-01,646.96
1993-07-01,691.06
1993-10-01,725.92
1994-01-01,733.78
1994-04-01,747.78
1994-07-01,741.83
1994-10-01,718.79
1995-01-01,719.32
1995-04-01,724.85
1995-07-01,739.19
1995-10-01,771.25
1996-01-01,795.92
1996-04-01,809.03
1996-07-01,818.34
1996-10-01,820.17
1997-01-01,838.54
1997-04-01,861.26
1997-07-01,890.43
1997-10-01,901.09
1998-01-01,939.96
1998-04-01,979.08
1998-07-01,1005.88
1998-10-01,1028.38
1999-01-01,1053.86
1999-04-01,1087.3
1999-07-01,1086.03
1999-10-01,1076.78
2000-01-01,1058.44
2000-04-01,1073.62
2000-07-01,1090.05
2000-10-01,1103.11
2001-01-01,1120.67
2001-04-01,1165.68
2001-07-01,1191.67
2001-10-01,1229.52
2002-01-01,1280.47
2002-04-01,1295.42
2002-07-01,1335.87
2002-10-01,1368.07
2003-01-01,1415.57
2003-04-01,1480.93
2003-07-01,1478.25
2003-10-01,1505.1
2004-01-01,1557.93
2004-04-01,1557.15
2004-07-01,1583.45
2004-10-01,1619.76
2005-01-01,1666.07
2005-04-01,1694.09
2005-07-01,1716.32
2005-10-01,1743.82
2006-01-01,1802.15
2006-04-01,1836.22
2006-07-01,1870.75
2006-10-01,1928.75
2007-01-01,2002.3
2007-04-01,2090.39
2007-07-01,2136.73
2007-10-01,2196.75
2008-01-01,2249.43
2008-04-01,2309.92
2008-07-01,2294.25
2008-10-01,2229.16
2009-01-01,2274.59
2009-04-01,2393.82
2009-07-01,2500.42
2009-10-01,2616.28
2010-01-01,2736.21
2010-04-01,2781.58
2010-07-01,2915.77
2010-10-01,2969.88
2011-01-01,3091.09
2011-04-01,3201.01
2011-07-01,3234.54
2011-10-01,3329.32
2012-01-01,3539.98
2012-04-01,3699.52
2012-07-01,3851.63
2012-10-01,3981.34
2013-01-01,4184.46
2013-04-01,4242.81
2013-07-01,4287.68
2013-10-01,4345.16
2014-01-01,4462.74
2014-04-01,4583.19
2014-07-01,4692.01
2014-10-01,4821.72
2015-01-01,4981.3
2015-04-01,5082.69
2015-07-01,5129.02
2015-10-01,5200.75
