DATE,VALUE
1990-01-01,32167.0
1990-02-01,32143.0
1990-03-01,31583.0
1990-04-01,31019.0
1990-05-01,31707.0
1990-06-01,31865.0
1990-07-01,30778.0
1990-08-01,30672.0
1990-09-01,30263.0
1990-10-01,31103.0
1990-11-01,31133.0
1990-12-01,31143.0
1991-01-01,31207.0
1991-02-01,31581.0
1991-03-01,31533.0
1991-04-01,31343.0
1991-05-01,31898.0
1991-06-01,32821.0
1991-07-01,31430.0
1991-08-01,30791.0
1991-09-01,29965.0
1991-10-01,31031.0
1991-11-01,31502.0
1991-12-01,31249.0
1992-01-01,31229.0
1992-02-01,31553.0
1992-03-01,31516.0
1992-04-01,31187.0
1992-05-01,31621.0
1992-06-01,31955.0
1992-07-01,30778.0
1992-08-01,30433.0
1992-09-01,30970.0
1992-10-01,31148.0
1992-11-01,31525.0
1992-12-01,31471.0
1993-01-01,31516.0
1993-02-01,32493.0
1993-03-01,32034.0
1993-04-01,31877.0
1993-05-01,32345.0
1993-06-01,32070.0
1993-07-01,31761.0
1993-08-01,31760.0
1993-09-01,31647.0
1993-10-01,32011.0
1993-11-01,32258.0
1993-12-01,32216.0
1994-01-01,32457.0
1994-02-01,32836.0
1994-03-01,32719.0
1994-04-01,32604.0
1994-05-01,33036.0
1994-06-01,32470.0
1994-07-01,32302.0
1994-08-01,31954.0
1994-09-01,32300.0
1994-10-01,32752.0
1994-11-01,33002.0
1994-12-01,32904.0
1995-01-01,31523.0
1995-02-01,32588.0
1995-03-01,32628.0
1995-04-01,32549.0
1995-05-01,32563.0
1995-06-01,31933.0
1995-07-01,32326.0
1995-08-01,31709.0
1995-09-01,31871.0
1995-10-01,32301.0
1995-11-01,32619.0
1995-12-01,32533.0
1996-01-01,32308.0
1996-02-01,32878.0
1996-03-01,33219.0
1996-04-01,32901.0
1996-05-01,33330.0
1996-06-01,32978.0
1996-07-01,32965.0
1996-08-01,32288.0
1996-09-01,32735.0
1996-10-01,33418.0
1996-11-01,33619.0
1996-12-01,33510.0
1997-01-01,33087.0
1997-02-01,33551.0
1997-03-01,33737.0
1997-04-01,33829.0
1997-05-01,33879.0
1997-06-01,33204.0
1997-07-01,33317.0
1997-08-01,33450.0
1997-09-01,33249.0
1997-10-01,33786.0
1997-11-01,34209.0
1997-12-01,34102.0
1998-01-01,34625.0
1998-02-01,34559.0
1998-03-01,34445.0
1998-04-01,33890.0
1998-05-01,33860.0
1998-06-01,33590.0
1998-07-01,33638.0
1998-08-01,33193.0
1998-09-01,33788.0
1998-10-01,34408.0
1998-11-01,34801.0
1998-12-01,34674.0
1999-01-01,34149.0
1999-02-01,35205.0
1999-03-01,34872.0
1999-04-01,34673.0
1999-05-01,34601.0
1999-06-01,34387.0
1999-07-01,34507.0
1999-08-01,34309.0
1999-09-01,34370.0
1999-10-01,35054.0
1999-11-01,35421.0
1999-12-01,35407.0
2000-01-01,34853.0
2000-02-01,35905.0
2000-03-01,36039.0
2000-04-01,36010.0
2000-05-01,35624.0
2000-06-01,35561.0
2000-07-01,35344.0
2000-08-01,34856.0
2000-09-01,35386.0
2000-10-01,35900.0
2000-11-01,36313.0
2000-12-01,36382.0
2001-01-01,35869.0
2001-02-01,36284.0
2001-03-01,36532.0
2001-04-01,36277.0
2001-05-01,35991.0
2001-06-01,35843.0
2001-07-01,35904.0
2001-08-01,35042.0
2001-09-01,35476.0
2001-10-01,35627.0
2001-11-01,35957.0
2001-12-01,35864.0
2002-01-01,35850.0
2002-02-01,36281.0
2002-03-01,36326.0
2002-04-01,36008.0
2002-05-01,36013.0
2002-06-01,35836.0
2002-07-01,35500.0
2002-08-01,35157.0
2002-09-01,35636.0
2002-10-01,35669.0
2002-11-01,35692.0
2002-12-01,35705.0
2003-01-01,35707.0
2003-02-01,36244.0
2003-03-01,36337.0
2003-04-01,36153.0
2003-05-01,36225.0
2003-06-01,36303.0
2003-07-01,36004.0
2003-08-01,35667.0
2003-09-01,36256.0
2003-10-01,36641.0
2003-11-01,36725.0
2003-12-01,36409.0
2004-01-01,36806.0
2004-02-01,37119.0
2004-03-01,37149.0
2004-04-01,36869.0
2004-05-01,36687.0
2004-06-01,36782.0
2004-07-01,36747.0
2004-08-01,36257.0
2004-09-01,36574.0
2004-10-01,37227.0
2004-11-01,37573.0
2004-12-01,37205.0
2005-01-01,36684.0
2005-02-01,37543.0
2005-03-01,37566.0
2005-04-01,37485.0
2005-05-01,37253.0
2005-06-01,37029.0
2005-07-01,36859.0
2005-08-01,36553.0
2005-09-01,37359.0
2005-10-01,37529.0
2005-11-01,37753.0
2005-12-01,37577.0
2006-01-01,38059.0
2006-02-01,38472.0
2006-03-01,38464.0
2006-04-01,38291.0
2006-05-01,37896.0
2006-06-01,37957.0
2006-07-01,37535.0
2006-08-01,37277.0
2006-09-01,37804.0
2006-10-01,38069.0
2006-11-01,38330.0
2006-12-01,38188.0
2007-01-01,37798.0
2007-02-01,38065.0
2007-03-01,38090.0
2007-04-01,37867.0
2007-05-01,38097.0
2007-06-01,37580.0
2007-07-01,37600.0
2007-08-01,36879.0
2007-09-01,37687.0
2007-10-01,37977.0
2007-11-01,38392.0
2007-12-01,38298.0
2008-01-01,37926.0
2008-02-01,38003.0
2008-03-01,38207.0
2008-04-01,37939.0
2008-05-01,38338.0
2008-06-01,37870.0
2008-07-01,37489.0
2008-08-01,36918.0
2008-09-01,37358.0
2008-10-01,37501.0
2008-11-01,37702.0
2008-12-01,37180.0
2009-01-01,36863.0
2009-02-01,37747.0
2009-03-01,37550.0
2009-04-01,37270.0
2009-05-01,38019.0
2009-06-01,37587.0
2009-07-01,37175.0
2009-08-01,36238.0
2009-09-01,36601.0
2009-10-01,37066.0
2009-11-01,37581.0
2009-12-01,37095.0
2010-01-01,39512.0
2010-02-01,39847.0
2010-03-01,40089.0
2010-04-01,40539.0
2010-05-01,40632.0
2010-06-01,39794.0
2010-07-01,39468.0
2010-08-01,38939.0
2010-09-01,39163.0
2010-10-01,39377.0
2010-11-01,39284.0
2010-12-01,39001.0
2011-01-01,38995.0
2011-02-01,39264.0
2011-03-01,39433.0
2011-04-01,39124.0
2011-05-01,39637.0
2011-06-01,38980.0
2011-07-01,38462.0
2011-08-01,38071.0
2011-09-01,38651.0
2011-10-01,38878.0
2011-11-01,39103.0
2011-12-01,38732.0
2012-01-01,38368.0
2012-02-01,38731.0
2012-03-01,38942.0
2012-04-01,38681.0
2012-05-01,39445.0
2012-06-01,38692.0
2012-07-01,38353.0
2012-08-01,37682.0
2012-09-01,38317.0
2012-10-01,38722.0
2012-11-01,38665.0
2012-12-01,38624.0
2013-01-01,38861.0
2013-02-01,39235.0
2013-03-01,39235.0
2013-04-01,39252.0
2013-05-01,40026.0
2013-06-01,39595.0
2013-07-01,39415.0
2013-08-01,38697.0
2013-09-01,39322.0
2013-10-01,39372.0
2013-11-01,39632.0
2013-12-01,39286.0
2014-01-01,39292.0
2014-02-01,39850.0
2014-03-01,40097.0
2014-04-01,39683.0
2014-05-01,40319.0
2014-06-01,39650.0
2014-07-01,39475.0
2014-08-01,39059.0
2014-09-01,39768.0
2014-10-01,40225.0
2014-11-01,40264.0
2014-12-01,39657.0
2015-01-01,39982.0
2015-02-01,40319.0
2015-03-01,40255.0
2015-04-01,40236.0
2015-05-01,40950.0
2015-06-01,39920.0
2015-07-01,39541.0
2015-08-01,39160.0
2015-09-01,39851.0
2015-10-01,40329.0
2015-11-01,40541.0
2015-12-01,40165.0
2016-01-01,40458.0
2016-02-01,41050.0
2016-03-01,40898.0
2016-04-01,41009.0
2016-05-01,40929.0
2016-06-01,40017.0
2016-07-01,40058.0
2016-08-01,39771.0
