DATE,VALUE
1990-01-01,15723.0
1990-02-01,15566.0
1990-03-01,15638.0
1990-04-01,15831.0
1990-05-01,16208.0
1990-06-01,16319.0
1990-07-01,16375.0
1990-08-01,16445.0
1990-09-01,15815.0
1990-10-01,15741.0
1990-11-01,15320.0
1990-12-01,15498.0
1991-01-01,15555.0
1991-02-01,15181.0
1991-03-01,15633.0
1991-04-01,15752.0
1991-05-01,16002.0
1991-06-01,16381.0
1991-07-01,16237.0
1991-08-01,16140.0
1991-09-01,15691.0
1991-10-01,15863.0
1991-11-01,15660.0
1991-12-01,15563.0
1992-01-01,15416.0
1992-02-01,15338.0
1992-03-01,15272.0
1992-04-01,15341.0
1992-05-01,15894.0
1992-06-01,16524.0
1992-07-01,16541.0
1992-08-01,16120.0
1992-09-01,15818.0
1992-10-01,15690.0
1992-11-01,15813.0
1992-12-01,15449.0
1993-01-01,15709.0
1993-02-01,15693.0
1993-03-01,15847.0
1993-04-01,15925.0
1993-05-01,16716.0
1993-06-01,17405.0
1993-07-01,17334.0
1993-08-01,17151.0
1993-09-01,17059.0
1993-10-01,17047.0
1993-11-01,17002.0
1993-12-01,16783.0
1994-01-01,17019.0
1994-02-01,16907.0
1994-03-01,17274.0
1994-04-01,17151.0
1994-05-01,17792.0
1994-06-01,18207.0
1994-07-01,18209.0
1994-08-01,18030.0
1994-09-01,17852.0
1994-10-01,17600.0
1994-11-01,17586.0
1994-12-01,16915.0
1995-01-01,17058.0
1995-02-01,16815.0
1995-03-01,17024.0
1995-04-01,17481.0
1995-05-01,17757.0
1995-06-01,18225.0
1995-07-01,17712.0
1995-08-01,17402.0
1995-09-01,16971.0
1995-10-01,16793.0
1995-11-01,16711.0
1995-12-01,16518.0
1996-01-01,16451.0
1996-02-01,16513.0
1996-03-01,16765.0
1996-04-01,16736.0
1996-05-01,17538.0
1996-06-01,17856.0
1996-07-01,17738.0
1996-08-01,17484.0
1996-09-01,17378.0
1996-10-01,17215.0
1996-11-01,17135.0
1996-12-01,16914.0
1997-01-01,17222.0
1997-02-01,17096.0
1997-03-01,17331.0
1997-04-01,17579.0
1997-05-01,18207.0
1997-06-01,18470.0
1997-07-01,18483.0
1997-08-01,18248.0
1997-09-01,17995.0
1997-10-01,17879.0
1997-11-01,17934.0
1997-12-01,18091.0
1998-01-01,17797.0
1998-02-01,17763.0
1998-03-01,17823.0
1998-04-01,18037.0
1998-05-01,18578.0
1998-06-01,18981.0
1998-07-01,18616.0
1998-08-01,18181.0
1998-09-01,17689.0
1998-10-01,17933.0
1998-11-01,17840.0
1998-12-01,17884.0
1999-01-01,18051.0
1999-02-01,17986.0
1999-03-01,17915.0
1999-04-01,17590.0
1999-05-01,18063.0
1999-06-01,18624.0
1999-07-01,18432.0
1999-08-01,18256.0
1999-09-01,17991.0
1999-10-01,18043.0
1999-11-01,17867.0
1999-12-01,17818.0
2000-01-01,17239.0
2000-02-01,17394.0
2000-03-01,17516.0
2000-04-01,17361.0
2000-05-01,17832.0
2000-06-01,18102.0
2000-07-01,18243.0
2000-08-01,18039.0
2000-09-01,17740.0
2000-10-01,17729.0
2000-11-01,17399.0
2000-12-01,17415.0
2001-01-01,17067.0
2001-02-01,17101.0
2001-03-01,17303.0
2001-04-01,17299.0
2001-05-01,17701.0
2001-06-01,18009.0
2001-07-01,17719.0
2001-08-01,17777.0
2001-09-01,17355.0
2001-10-01,17241.0
2001-11-01,16810.0
2001-12-01,16971.0
2002-01-01,16851.0
2002-02-01,16840.0
2002-03-01,16853.0
2002-04-01,16782.0
2002-05-01,17025.0
2002-06-01,17274.0
2002-07-01,17049.0
2002-08-01,16785.0
2002-09-01,16732.0
2002-10-01,17015.0
2002-11-01,16677.0
2002-12-01,16680.0
2003-01-01,16639.0
2003-02-01,16419.0
2003-03-01,16613.0
2003-04-01,16965.0
2003-05-01,17461.0
2003-06-01,17855.0
2003-07-01,17435.0
2003-08-01,17232.0
2003-09-01,17168.0
2003-10-01,17357.0
2003-11-01,17161.0
2003-12-01,17183.0
2004-01-01,17170.0
2004-02-01,16987.0
2004-03-01,17000.0
2004-04-01,17038.0
2004-05-01,17528.0
2004-06-01,17961.0
2004-07-01,17736.0
2004-08-01,17077.0
2004-09-01,16840.0
2004-10-01,16735.0
2004-11-01,16685.0
2004-12-01,16660.0
2005-01-01,16447.0
2005-02-01,16510.0
2005-03-01,16470.0
2005-04-01,16586.0
2005-05-01,17177.0
2005-06-01,17485.0
2005-07-01,17845.0
2005-08-01,17535.0
2005-09-01,17320.0
2005-10-01,17223.0
2005-11-01,17155.0
2005-12-01,16973.0
2006-01-01,16921.0
2006-02-01,16961.0
2006-03-01,17159.0
2006-04-01,17125.0
2006-05-01,17661.0
2006-06-01,18005.0
2006-07-01,17786.0
2006-08-01,17754.0
2006-09-01,17534.0
2006-10-01,17316.0
2006-11-01,16982.0
2006-12-01,16787.0
2007-01-01,16549.0
2007-02-01,16773.0
2007-03-01,16857.0
2007-04-01,16611.0
2007-05-01,17096.0
2007-06-01,17040.0
2007-07-01,17282.0
2007-08-01,16701.0
2007-09-01,16487.0
2007-10-01,16630.0
2007-11-01,16437.0
2007-12-01,16104.0
2008-01-01,16125.0
2008-02-01,16032.0
2008-03-01,16121.0
2008-04-01,16211.0
2008-05-01,16693.0
2008-06-01,16908.0
2008-07-01,16823.0
2008-08-01,16216.0
2008-09-01,16071.0
2008-10-01,16269.0
2008-11-01,15975.0
2008-12-01,15673.0
2009-01-01,16008.0
2009-02-01,16071.0
2009-03-01,16290.0
2009-04-01,16281.0
2009-05-01,16532.0
2009-06-01,16575.0
2009-07-01,16762.0
2009-08-01,16328.0
2009-09-01,15841.0
2009-10-01,16006.0
2009-11-01,15865.0
2009-12-01,15670.0
2010-01-01,16408.0
2010-02-01,16279.0
2010-03-01,16712.0
2010-04-01,16842.0
2010-05-01,17231.0
2010-06-01,17473.0
2010-07-01,17123.0
2010-08-01,16717.0
2010-09-01,16560.0
2010-10-01,16628.0
2010-11-01,15959.0
2010-12-01,15772.0
2011-01-01,16040.0
2011-02-01,15808.0
2011-03-01,16224.0
2011-04-01,16097.0
2011-05-01,16751.0
2011-06-01,17070.0
2011-07-01,16956.0
2011-08-01,16602.0
2011-09-01,16318.0
2011-10-01,16475.0
2011-11-01,16350.0
2011-12-01,16246.0
2012-01-01,16200.0
2012-02-01,16029.0
2012-03-01,16467.0
2012-04-01,16169.0
2012-05-01,16910.0
2012-06-01,17254.0
2012-07-01,17069.0
2012-08-01,16457.0
2012-09-01,16222.0
2012-10-01,16330.0
2012-11-01,16069.0
2012-12-01,15998.0
2013-01-01,16672.0
2013-02-01,16239.0
2013-03-01,16488.0
2013-04-01,16048.0
2013-05-01,16706.0
2013-06-01,17155.0
2013-07-01,17109.0
2013-08-01,16543.0
2013-09-01,16274.0
2013-10-01,16240.0
2013-11-01,16024.0
2013-12-01,16001.0
2014-01-01,16517.0
2014-02-01,16343.0
2014-03-01,16567.0
2014-04-01,16194.0
2014-05-01,16874.0
2014-06-01,17199.0
2014-07-01,17306.0
2014-08-01,16899.0
2014-09-01,16739.0
2014-10-01,16522.0
2014-11-01,16145.0
2014-12-01,16155.0
2015-01-01,16481.0
2015-02-01,16309.0
2015-03-01,16471.0
2015-04-01,16268.0
2015-05-01,16996.0
2015-06-01,17178.0
2015-07-01,17043.0
2015-08-01,16852.0
2015-09-01,16612.0
2015-10-01,16535.0
2015-11-01,16316.0
2015-12-01,16176.0
2016-01-01,16126.0
2016-02-01,16195.0
2016-03-01,16247.0
2016-04-01,16218.0
2016-05-01,16632.0
2016-06-01,16744.0
2016-07-01,16934.0
2016-08-01,16608.0
