DATE,VALUE
1990-01-01,35682.0
1990-02-01,37167.0
1990-03-01,37508.0
1990-04-01,37609.0
1990-05-01,38174.0
1990-06-01,39009.0
1990-07-01,38497.0
1990-08-01,38176.0
1990-09-01,37790.0
1990-10-01,37365.0
1990-11-01,37163.0
1990-12-01,37397.0
1991-01-01,36980.0
1991-02-01,37464.0
1991-03-01,37322.0
1991-04-01,37278.0
1991-05-01,37704.0
1991-06-01,38633.0
1991-07-01,37900.0
1991-08-01,37863.0
1991-09-01,37758.0
1991-10-01,37626.0
1991-11-01,38260.0
1991-12-01,38271.0
1992-01-01,38138.0
1992-02-01,38515.0
1992-03-01,38403.0
1992-04-01,38582.0
1992-05-01,39234.0
1992-06-01,40154.0
1992-07-01,39893.0
1992-08-01,39787.0
1992-09-01,38991.0
1992-10-01,39052.0
1992-11-01,39190.0
1992-12-01,39157.0
1993-01-01,38867.0
1993-02-01,39234.0
1993-03-01,39038.0
1993-04-01,39731.0
1993-05-01,40702.0
1993-06-01,41479.0
1993-07-01,41163.0
1993-08-01,41134.0
1993-09-01,40293.0
1993-10-01,40216.0
1993-11-01,40498.0
1993-12-01,40380.0
1994-01-01,40705.0
1994-02-01,40487.0
1994-03-01,40423.0
1994-04-01,40694.0
1994-05-01,41033.0
1994-06-01,41643.0
1994-07-01,41389.0
1994-08-01,41302.0
1994-09-01,40574.0
1994-10-01,40638.0
1994-11-01,40795.0
1994-12-01,40786.0
1995-01-01,40785.0
1995-02-01,40814.0
1995-03-01,40839.0
1995-04-01,40926.0
1995-05-01,41122.0
1995-06-01,41426.0
1995-07-01,40636.0
1995-08-01,40660.0
1995-09-01,40158.0
1995-10-01,40197.0
1995-11-01,40301.0
1995-12-01,40169.0
1996-01-01,40381.0
1996-02-01,40499.0
1996-03-01,40701.0
1996-04-01,40443.0
1996-05-01,41573.0
1996-06-01,42114.0
1996-07-01,41771.0
1996-08-01,41316.0
1996-09-01,41371.0
1996-10-01,41490.0
1996-11-01,41827.0
1996-12-01,41581.0
1997-01-01,41870.0
1997-02-01,41701.0
1997-03-01,42220.0
1997-04-01,42099.0
1997-05-01,42737.0
1997-06-01,43207.0
1997-07-01,42515.0
1997-08-01,42408.0
1997-09-01,42065.0
1997-10-01,42304.0
1997-11-01,42800.0
1997-12-01,42788.0
1998-01-01,42425.0
1998-02-01,42416.0
1998-03-01,42593.0
1998-04-01,42220.0
1998-05-01,42972.0
1998-06-01,43349.0
1998-07-01,41772.0
1998-08-01,42849.0
1998-09-01,42710.0
1998-10-01,42769.0
1998-11-01,43174.0
1998-12-01,43218.0
1999-01-01,43493.0
1999-02-01,43612.0
1999-03-01,43679.0
1999-04-01,43358.0
1999-05-01,43934.0
1999-06-01,44397.0
1999-07-01,43692.0
1999-08-01,43791.0
1999-09-01,43657.0
1999-10-01,43475.0
1999-11-01,43876.0
1999-12-01,44072.0
2000-01-01,42411.0
2000-02-01,42558.0
2000-03-01,42741.0
2000-04-01,43005.0
2000-05-01,43315.0
2000-06-01,43637.0
2000-07-01,42629.0
2000-08-01,42162.0
2000-09-01,42087.0
2000-10-01,42170.0
2000-11-01,42615.0
2000-12-01,42999.0
2001-01-01,43016.0
2001-02-01,43305.0
2001-03-01,43155.0
2001-04-01,42769.0
2001-05-01,43128.0
2001-06-01,43952.0
2001-07-01,42729.0
2001-08-01,42134.0
2001-09-01,41632.0
2001-10-01,42076.0
2001-11-01,42302.0
2001-12-01,42333.0
2002-01-01,41993.0
2002-02-01,42114.0
2002-03-01,42008.0
2002-04-01,42210.0
2002-05-01,42330.0
2002-06-01,42494.0
2002-07-01,41367.0
2002-08-01,40839.0
2002-09-01,41096.0
2002-10-01,41419.0
2002-11-01,41637.0
2002-12-01,41537.0
2003-01-01,41298.0
2003-02-01,41475.0
2003-03-01,41348.0
2003-04-01,41155.0
2003-05-01,41684.0
2003-06-01,42280.0
2003-07-01,41009.0
2003-08-01,40627.0
2003-09-01,40601.0
2003-10-01,40889.0
2003-11-01,41130.0
2003-12-01,41025.0
2004-01-01,41250.0
2004-02-01,41371.0
2004-03-01,41366.0
2004-04-01,41033.0
2004-05-01,41551.0
2004-06-01,41845.0
2004-07-01,41678.0
2004-08-01,41318.0
2004-09-01,40601.0
2004-10-01,41063.0
2004-11-01,41573.0
2004-12-01,41526.0
2005-01-01,41679.0
2005-02-01,41765.0
2005-03-01,41651.0
2005-04-01,41492.0
2005-05-01,42366.0
2005-06-01,42565.0
2005-07-01,41744.0
2005-08-01,41565.0
2005-09-01,41693.0
2005-10-01,42075.0
2005-11-01,42289.0
2005-12-01,42002.0
2006-01-01,42114.0
2006-02-01,42127.0
2006-03-01,42209.0
2006-04-01,42446.0
2006-05-01,42604.0
2006-06-01,42695.0
2006-07-01,42180.0
2006-08-01,42001.0
2006-09-01,41772.0
2006-10-01,42291.0
2006-11-01,42738.0
2006-12-01,42735.0
2007-01-01,42867.0
2007-02-01,42749.0
2007-03-01,42821.0
2007-04-01,43035.0
2007-05-01,43448.0
2007-06-01,43636.0
2007-07-01,43354.0
2007-08-01,42636.0
2007-09-01,42881.0
2007-10-01,42849.0
2007-11-01,42882.0
2007-12-01,42875.0
2008-01-01,43068.0
2008-02-01,42877.0
2008-03-01,43119.0
2008-04-01,43062.0
2008-05-01,43685.0
2008-06-01,44038.0
2008-07-01,43449.0
2008-08-01,43037.0
2008-09-01,42784.0
2008-10-01,43179.0
2008-11-01,42974.0
2008-12-01,43013.0
2009-01-01,42765.0
2009-02-01,42838.0
2009-03-01,42456.0
2009-04-01,42855.0
2009-05-01,43722.0
2009-06-01,44135.0
2009-07-01,43407.0
2009-08-01,42773.0
2009-09-01,42264.0
2009-10-01,42407.0
2009-11-01,42506.0
2009-12-01,42184.0
2010-01-01,41002.0
2010-02-01,41044.0
2010-03-01,41103.0
2010-04-01,41511.0
2010-05-01,41880.0
2010-06-01,41834.0
2010-07-01,41637.0
2010-08-01,41136.0
2010-09-01,40938.0
2010-10-01,40729.0
2010-11-01,40979.0
2010-12-01,40833.0
2011-01-01,40419.0
2011-02-01,40643.0
2011-03-01,40593.0
2011-04-01,40590.0
2011-05-01,41018.0
2011-06-01,41366.0
2011-07-01,41436.0
2011-08-01,41336.0
2011-09-01,40861.0
2011-10-01,40789.0
2011-11-01,40805.0
2011-12-01,40566.0
2012-01-01,40022.0
2012-02-01,40407.0
2012-03-01,40422.0
2012-04-01,40762.0
2012-05-01,41384.0
2012-06-01,41414.0
2012-07-01,41420.0
2012-08-01,40931.0
2012-09-01,40876.0
2012-10-01,40535.0
2012-11-01,40530.0
2012-12-01,40636.0
2013-01-01,40376.0
2013-02-01,40671.0
2013-03-01,40675.0
2013-04-01,40900.0
2013-05-01,41949.0
2013-06-01,42142.0
2013-07-01,41708.0
2013-08-01,41215.0
2013-09-01,41086.0
2013-10-01,40678.0
2013-11-01,41096.0
2013-12-01,40841.0
2014-01-01,40838.0
2014-02-01,41408.0
2014-03-01,41714.0
2014-04-01,41662.0
2014-05-01,42460.0
2014-06-01,42694.0
2014-07-01,42179.0
2014-08-01,41788.0
2014-09-01,41705.0
2014-10-01,41666.0
2014-11-01,41950.0
2014-12-01,41672.0
2015-01-01,41430.0
2015-02-01,41542.0
2015-03-01,41523.0
2015-04-01,41695.0
2015-05-01,42552.0
2015-06-01,42660.0
2015-07-01,41990.0
2015-08-01,41361.0
2015-09-01,41098.0
2015-10-01,41224.0
2015-11-01,41684.0
2015-12-01,41661.0
2016-01-01,41667.0
2016-02-01,41996.0
2016-03-01,41805.0
2016-04-01,41881.0
2016-05-01,42093.0
2016-06-01,42067.0
2016-07-01,41716.0
2016-08-01,41621.0
