DATE,VALUE
1990-01-01,103.2
1990-02-01,103.7
1990-03-01,103.5
1990-04-01,103.9
1990-05-01,103.6
1990-06-01,103.8
1990-07-01,104.6
1990-08-01,104.6
1990-09-01,104.8
1990-10-01,105.7
1990-11-01,105.1
1990-12-01,104.9
1991-01-01,105.3
1991-02-01,104.8
1991-03-01,105.3
1991-04-01,105.1
1991-05-01,105.9
1991-06-01,106.1
1991-07-01,105.6
1991-08-01,106.1
1991-09-01,106.2
1991-10-01,106.5
1991-11-01,106.8
1991-12-01,106.7
1992-01-01,108.8
1992-02-01,109.0
1992-03-01,109.1
1992-04-01,109.3
1992-05-01,109.6
1992-06-01,110.3
1992-07-01,111.3
1992-08-01,111.8
1992-09-01,112.4
1992-10-01,112.5
1992-11-01,112.7
1992-12-01,112.9
1993-01-01,113.0
1993-02-01,113.2
1993-03-01,113.8
1993-04-01,114.4
1993-05-01,114.8
1993-06-01,115.7
1993-07-01,115.3
1993-08-01,115.5
1993-09-01,115.9
1993-10-01,116.4
1993-11-01,117.0
1993-12-01,117.4
1994-01-01,118.8
1994-02-01,118.7
1994-03-01,118.8
1994-04-01,119.5
1994-05-01,119.3
1994-06-01,118.5
1994-07-01,118.0
1994-08-01,117.8
1994-09-01,117.5
1994-10-01,117.5
1994-11-01,117.2
1994-12-01,117.5
1995-01-01,117.8
1995-02-01,117.7
1995-03-01,117.7
1995-04-01,117.6
1995-05-01,118.0
1995-06-01,118.3
1995-07-01,118.9
1995-08-01,119.0
1995-09-01,119.5
1995-10-01,119.9
1995-11-01,120.5
1995-12-01,120.6
1996-01-01,120.7
1996-02-01,121.2
1996-03-01,121.6
1996-04-01,122.2
1996-05-01,122.8
1996-06-01,123.4
1996-07-01,123.2
1996-08-01,123.6
1996-09-01,124.0
1996-10-01,124.1
1996-11-01,124.5
1996-12-01,124.9
1997-01-01,124.9
1997-02-01,125.0
1997-03-01,125.3
1997-04-01,125.1
1997-05-01,125.1
1997-06-01,124.6
1997-07-01,127.3
1997-08-01,127.1
1997-09-01,127.2
1997-10-01,126.6
1997-11-01,126.6
1997-12-01,126.8
1998-01-01,127.3
1998-02-01,128.2
1998-03-01,128.7
1998-04-01,130.2
1998-05-01,130.7
1998-06-01,131.2
1998-07-01,133.1
1998-08-01,133.1
1998-09-01,132.4
1998-10-01,134.6
1998-11-01,135.6
1998-12-01,136.2
1999-01-01,135.1
1999-02-01,135.1
1999-03-01,135.1
1999-04-01,135.3
1999-05-01,135.6
1999-06-01,135.3
1999-07-01,135.4
1999-08-01,135.4
1999-09-01,135.4
1999-10-01,136.0
1999-11-01,136.2
1999-12-01,136.5
2000-01-01,136.0
2000-02-01,135.9
2000-03-01,136.0
2000-04-01,136.1
2000-05-01,136.4
2000-06-01,136.9
2000-07-01,136.9
2000-08-01,137.0
2000-09-01,137.6
2000-10-01,137.9
2000-11-01,138.0
2000-12-01,138.4
2001-01-01,139.0
2001-02-01,139.6
2001-03-01,139.9
2001-04-01,139.7
2001-05-01,139.6
2001-06-01,139.7
2001-07-01,139.5
2001-08-01,139.5
2001-09-01,139.2
2001-10-01,139.0
2001-11-01,139.3
2001-12-01,139.2
2002-01-01,140.2
2002-02-01,140.7
2002-03-01,140.4
2002-04-01,140.1
2002-05-01,140.2
2002-06-01,139.4
2002-07-01,140.6
2002-08-01,141.0
2002-09-01,141.5
2002-10-01,141.7
2002-11-01,142.3
2002-12-01,142.2
2003-01-01,140.5
2003-02-01,141.5
2003-03-01,142.1
2003-04-01,142.9
2003-05-01,143.4
2003-06-01,143.7
2003-07-01,144.3
2003-08-01,144.5
2003-09-01,144.8
2003-10-01,144.0
2003-11-01,143.9
2003-12-01,143.6
2004-01-01,144.8
2004-02-01,144.5
2004-03-01,144.3
2004-04-01,144.3
2004-05-01,144.2
2004-06-01,143.9
2004-07-01,144.0
2004-08-01,144.0
2004-09-01,144.1
2004-10-01,144.7
2004-11-01,144.7
2004-12-01,144.7
2005-01-01,144.2
2005-02-01,144.3
2005-03-01,144.6
2005-04-01,145.2
2005-05-01,145.6
2005-06-01,146.2
2005-07-01,146.3
2005-08-01,146.8
2005-09-01,147.0
2005-10-01,146.8
2005-11-01,147.0
2005-12-01,147.1
2006-01-01,148.0
2006-02-01,147.9
2006-03-01,148.1
2006-04-01,146.6
2006-05-01,146.9
2006-06-01,146.5
