DATE,VALUE
1990-01-01,8579.0
1990-02-01,8694.0
1990-03-01,8667.0
1990-04-01,8886.0
1990-05-01,9095.0
1990-06-01,8966.0
1990-07-01,8962.0
1990-08-01,8755.0
1990-09-01,8599.0
1990-10-01,8623.0
1990-11-01,8615.0
1990-12-01,8644.0
1991-01-01,8872.0
1991-02-01,9193.0
1991-03-01,9362.0
1991-04-01,8847.0
1991-05-01,8896.0
1991-06-01,8931.0
1991-07-01,8829.0
1991-08-01,8849.0
1991-09-01,8840.0
1991-10-01,8938.0
1991-11-01,8838.0
1991-12-01,8711.0
1992-01-01,9042.0
1992-02-01,8990.0
1992-03-01,9041.0
1992-04-01,9231.0
1992-05-01,9542.0
1992-06-01,9750.0
1992-07-01,9924.0
1992-08-01,9783.0
1992-09-01,9805.0
1992-10-01,9535.0
1992-11-01,9602.0
1992-12-01,9555.0
1993-01-01,9634.0
1993-02-01,9841.0
1993-03-01,10119.0
1993-04-01,10068.0
1993-05-01,10537.0
1993-06-01,10788.0
1993-07-01,10596.0
1993-08-01,10338.0
1993-09-01,10563.0
1993-10-01,10540.0
1993-11-01,10511.0
1993-12-01,10347.0
1994-01-01,10475.0
1994-02-01,10589.0
1994-03-01,10600.0
1994-04-01,10543.0
1994-05-01,10786.0
1994-06-01,10926.0
1994-07-01,10750.0
1994-08-01,10613.0
1994-09-01,10744.0
1994-10-01,10509.0
1994-11-01,10564.0
1994-12-01,10412.0
1995-01-01,10664.0
1995-02-01,10776.0
1995-03-01,10816.0
1995-04-01,10668.0
1995-05-01,10913.0
1995-06-01,10984.0
1995-07-01,10392.0
1995-08-01,10324.0
1995-09-01,10346.0
1995-10-01,10169.0
1995-11-01,10460.0
1995-12-01,10340.0
1996-01-01,10256.0
1996-02-01,10436.0
1996-03-01,10588.0
1996-04-01,10537.0
1996-05-01,10807.0
1996-06-01,10904.0
1996-07-01,10502.0
1996-08-01,10786.0
1996-09-01,10735.0
1996-10-01,10807.0
1996-11-01,10864.0
1996-12-01,10787.0
1997-01-01,10654.0
1997-02-01,10817.0
1997-03-01,10762.0
1997-04-01,11061.0
1997-05-01,11374.0
1997-06-01,11161.0
1997-07-01,11013.0
1997-08-01,11103.0
1997-09-01,11020.0
1997-10-01,10793.0
1997-11-01,10887.0
1997-12-01,10976.0
1998-01-01,10793.0
1998-02-01,10802.0
1998-03-01,10899.0
1998-04-01,10795.0
1998-05-01,10991.0
1998-06-01,10821.0
1998-07-01,10500.0
1998-08-01,10896.0
1998-09-01,10972.0
1998-10-01,10742.0
1998-11-01,10897.0
1998-12-01,10883.0
1999-01-01,10940.0
1999-02-01,10950.0
1999-03-01,10907.0
1999-04-01,10687.0
1999-05-01,10865.0
1999-06-01,11026.0
1999-07-01,10975.0
1999-08-01,10735.0
1999-09-01,10884.0
1999-10-01,10560.0
1999-11-01,10651.0
1999-12-01,10791.0
2000-01-01,11019.0
2000-02-01,11145.0
2000-03-01,11142.0
2000-04-01,11214.0
2000-05-01,11454.0
2000-06-01,11362.0
2000-07-01,10783.0
2000-08-01,11241.0
2000-09-01,11345.0
2000-10-01,11274.0
2000-11-01,11309.0
2000-12-01,11287.0
2001-01-01,11232.0
2001-02-01,11255.0
2001-03-01,11306.0
2001-04-01,11222.0
2001-05-01,11270.0
2001-06-01,11270.0
2001-07-01,11102.0
2001-08-01,11095.0
2001-09-01,11130.0
2001-10-01,10940.0
2001-11-01,10968.0
2001-12-01,10907.0
2002-01-01,10947.0
2002-02-01,10978.0
2002-03-01,11088.0
2002-04-01,10908.0
2002-05-01,10993.0
2002-06-01,11203.0
2002-07-01,11097.0
2002-08-01,10907.0
2002-09-01,10946.0
2002-10-01,10953.0
2002-11-01,10775.0
2002-12-01,10540.0
2003-01-01,10917.0
2003-02-01,10970.0
2003-03-01,11033.0
2003-04-01,10812.0
2003-05-01,10933.0
2003-06-01,11048.0
2003-07-01,10994.0
