DATE,VALUE
1960-01-01,0.0
1961-01-01,0.0
1962-01-01,0.0
1963-01-01,0.0
1964-01-01,0.0
1965-01-01,0.0
1966-01-01,0.0
1967-01-01,0.0
1968-01-01,0.0
1969-01-01,0.0
1970-01-01,0.0
1971-01-01,0.0
1972-01-01,0.0
1973-01-01,0.0
1974-01-01,0.0
1975-01-01,0.0
1976-01-01,0.0
1977-01-01,0.0
1978-01-01,0.0
1979-01-01,0.0
1980-01-01,0.0
1981-01-01,0.0
1982-01-01,0.0
1983-01-01,0.0
1984-01-01,0.0
1985-01-01,0.0
1986-01-01,0.0
1987-01-01,0.0
1988-01-01,0.0
1989-01-01,0.0
1990-01-01,0.0
1991-01-01,9625436872.51
1992-01-01,8227343907.27
1993-01-01,10706259936.7
1994-01-01,5840529411.76
1995-01-01,5647034188.03
1996-01-01,5772020526.11
1997-01-01,6091061291.31
1998-01-01,6215716712.29
1999-01-01,4711259427.27
2000-01-01,19088046305.8
2001-01-01,7438189100.33
2002-01-01,8728038525.14
2003-01-01,8937567059.88
2004-01-01,10297483481.2
2005-01-01,11964484667.9
2006-01-01,14296507096.4
2007-01-01,16364029327.3
2008-01-01,19206060270.3
2009-01-01,18262773820.8
2010-01-01,20523285374.2
2011-01-01,23849009737.7
2012-01-01,27463220380.0
2013-01-01,30014813755.8
2014-01-01,32782281736.3
2015-01-01,35237742278.1
