DATE,VALUE
1960-01-01,44096113140.6
1961-01-01,53216886419.9
1962-01-01,60366887321.6
1963-01-01,69060415397.0
1964-01-01,81163510670.2
1965-01-01,90333954412.1
1966-01-01,1.04942627863e+11
1967-01-01,1.23005013561e+11
1968-01-01,1.45604342943e+11
1969-01-01,1.71075803546e+11
1970-01-01,2.08678399251e+11
1971-01-01,2.35896253833e+11
1972-01-01,3.12841769834e+11
1973-01-01,4.25082660167e+11
1974-01-01,4.7089841393e+11
1975-01-01,5.12451096774e+11
1976-01-01,5.76015507926e+11
1977-01-01,7.09238417162e+11
1978-01-01,9.97345634897e+11
1979-01-01,1.0390254654e+12
1980-01-01,1.08692087358e+12
1981-01-01,1.19955190283e+12
1982-01-01,1.11744043077e+12
1983-01-01,1.21982509476e+12
1984-01-01,1.29736144988e+12
1985-01-01,1.38988869313e+12
1986-01-01,2.05842368124e+12
1987-01-01,2.49949018508e+12
1988-01-01,3.03332218098e+12
1989-01-01,3.0374983005e+12
1990-01-01,3.12355346032e+12
1991-01-01,3.56042637096e+12
1992-01-01,3.88529393056e+12
1993-01-01,4.45356634752e+12
1994-01-01,4.88886953833e+12
1995-01-01,5.37766798923e+12
1996-01-01,4.75927912623e+12
1997-01-01,4.3822948668e+12
1998-01-01,3.96768045297e+12
1999-01-01,4.48858277118e+12
2000-01-01,4.79132653771e+12
2001-01-01,4.22889123492e+12
2002-01-01,4.04495406259e+12
2003-01-01,4.37420503996e+12
2004-01-01,4.74256005472e+12
2005-01-01,4.67846871025e+12
2006-01-01,4.48112413402e+12
2007-01-01,4.50358672991e+12
2008-01-01,5.01165640314e+12
2009-01-01,5.17490523148e+12
2010-01-01,5.64319052539e+12
2011-01-01,6.08951470422e+12
2012-01-01,6.14315079966e+12
2013-01-01,5.10037443043e+12
2014-01-01,4.77975086291e+12
2015-01-01,4.29392457794e+12
