DATE,VALUE
1965-01-01,63279972.0888
1966-01-01,67759970.1128
1967-01-01,97209913.8118
1968-01-01,142799880.838
1969-01-01,184079846.392
1970-01-01,212639822.56
1971-01-01,252891035.675
1972-01-01,291318045.504
1973-01-01,304269468.01
1974-01-01,1354950759.82
1975-01-01,1801389374.49
1976-01-01,2345396603.69
1977-01-01,2581644718.0
1978-01-01,2627099262.72
1979-01-01,3584250086.87
1980-01-01,5724956769.14
1981-01-01,7020556053.37
1982-01-01,7401853094.11
1983-01-01,7749276365.86
1984-01-01,8606039538.11
1985-01-01,9679931416.85
1986-01-01,7252959850.36
1987-01-01,7721716317.12
1988-01-01,8071521521.5
1989-01-01,9121976666.51
1990-01-01,11379937673.0
1991-01-01,11159924057.2
1992-01-01,12055676723.0
1993-01-01,12107013784.1
1994-01-01,12499412743.8
1995-01-01,13406047854.4
1996-01-01,14791601040.3
1997-01-01,15300702470.7
1998-01-01,13468777373.2
1999-01-01,15031160468.1
2000-01-01,18754220286.1
2001-01-01,18744015604.7
2002-01-01,19081924577.4
2003-01-01,21001300390.1
2004-01-01,24283485045.5
2005-01-01,29882964889.5
2006-01-01,33230689206.8
2007-01-01,41097529258.8
2008-01-01,58145131599.5
2009-01-01,45466696488.9
2010-01-01,55060052535.8
2011-01-01,63800581274.4
2012-01-01,71738101430.4
2013-01-01,75025487646.3
2014-01-01,77983618985.7
2015-01-01,68611876462.9
