DATE,VALUE
1990-01-01,92069.0
1990-02-01,91612.0
1990-03-01,91793.0
1990-04-01,93406.0
1990-05-01,93588.0
1990-06-01,94821.0
1990-07-01,95887.0
1990-08-01,95373.0
1990-09-01,94662.0
1990-10-01,93819.0
1990-11-01,94240.0
1990-12-01,93254.0
1991-01-01,93994.0
1991-02-01,94143.0
1991-03-01,95030.0
1991-04-01,95483.0
1991-05-01,96122.0
1991-06-01,97808.0
1991-07-01,99894.0
1991-08-01,99093.0
1991-09-01,97970.0
1991-10-01,97273.0
1991-11-01,97651.0
1991-12-01,96303.0
1992-01-01,97205.0
1992-02-01,96732.0
1992-03-01,96985.0
1992-04-01,98383.0
1992-05-01,98340.0
1992-06-01,100353.0
1992-07-01,102269.0
1992-08-01,100794.0
1992-09-01,98776.0
1992-10-01,97502.0
1992-11-01,97468.0
1992-12-01,97432.0
1993-01-01,97943.0
1993-02-01,97463.0
1993-03-01,96915.0
1993-04-01,98118.0
1993-05-01,98470.0
1993-06-01,100181.0
1993-07-01,100683.0
1993-08-01,99796.0
1993-09-01,98167.0
1993-10-01,99043.0
1993-11-01,98802.0
1993-12-01,97614.0
1994-01-01,98656.0
1994-02-01,98401.0
1994-03-01,98640.0
1994-04-01,99685.0
1994-05-01,98820.0
1994-06-01,99772.0
1994-07-01,101737.0
1994-08-01,100549.0
1994-09-01,98779.0
1994-10-01,99346.0
1994-11-01,98869.0
1994-12-01,98633.0
1995-01-01,99448.0
1995-02-01,99274.0
1995-03-01,99071.0
1995-04-01,99975.0
1995-05-01,100110.0
1995-06-01,101389.0
1995-07-01,103996.0
1995-08-01,101670.0
1995-09-01,101536.0
1995-10-01,102009.0
1995-11-01,102092.0
1995-12-01,101026.0
1996-01-01,100414.0
1996-02-01,100095.0
1996-03-01,100546.0
1996-04-01,101586.0
1996-05-01,101573.0
1996-06-01,102681.0
1996-07-01,104437.0
1996-08-01,102388.0
1996-09-01,101600.0
1996-10-01,102014.0
1996-11-01,102548.0
1996-12-01,101523.0
1997-01-01,101883.0
1997-02-01,101141.0
1997-03-01,101937.0
1997-04-01,101868.0
1997-05-01,102420.0
1997-06-01,104012.0
1997-07-01,105204.0
1997-08-01,104110.0
1997-09-01,102579.0
1997-10-01,104448.0
1997-11-01,103779.0
1997-12-01,101980.0
1998-01-01,102197.0
1998-02-01,101696.0
1998-03-01,102799.0
1998-04-01,102675.0
1998-05-01,103905.0
1998-06-01,105553.0
1998-07-01,106453.0
1998-08-01,104797.0
1998-09-01,103531.0
1998-10-01,104164.0
1998-11-01,104149.0
1998-12-01,103147.0
1999-01-01,101617.0
1999-02-01,101214.0
1999-03-01,102046.0
1999-04-01,102687.0
1999-05-01,103229.0
1999-06-01,104936.0
1999-07-01,107159.0
1999-08-01,106063.0
1999-09-01,104871.0
1999-10-01,104734.0
1999-11-01,104908.0
1999-12-01,104295.0
2000-01-01,101651.0
2000-02-01,102512.0
2000-03-01,103377.0
2000-04-01,103379.0
2000-05-01,103087.0
2000-06-01,104359.0
2000-07-01,104764.0
2000-08-01,104228.0
