DATE,VALUE
1990-01-01,4590.0
1990-02-01,4613.0
1990-03-01,4593.0
1990-04-01,4643.0
1990-05-01,4797.0
1990-06-01,4783.0
1990-07-01,4987.0
1990-08-01,4658.0
1990-09-01,4759.0
1990-10-01,4768.0
1990-11-01,4774.0
1990-12-01,4761.0
1991-01-01,4926.0
1991-02-01,4923.0
1991-03-01,4879.0
1991-04-01,4923.0
1991-05-01,4979.0
1991-06-01,4887.0
1991-07-01,5229.0
1991-08-01,5054.0
1991-09-01,5192.0
1991-10-01,4978.0
1991-11-01,4968.0
1991-12-01,4928.0
1992-01-01,4996.0
1992-02-01,4966.0
1992-03-01,4960.0
1992-04-01,5015.0
1992-05-01,5087.0
1992-06-01,5091.0
1992-07-01,5150.0
1992-08-01,4912.0
1992-09-01,4975.0
1992-10-01,4970.0
1992-11-01,4899.0
1992-12-01,4881.0
1993-01-01,4922.0
1993-02-01,4928.0
1993-03-01,4928.0
1993-04-01,4932.0
1993-05-01,5066.0
1993-06-01,5141.0
1993-07-01,5444.0
1993-08-01,5105.0
1993-09-01,5067.0
1993-10-01,5165.0
1993-11-01,5109.0
1993-12-01,5007.0
1994-01-01,5145.0
1994-02-01,5109.0
1994-03-01,5173.0
1994-04-01,5183.0
1994-05-01,5281.0
1994-06-01,5302.0
1994-07-01,5249.0
1994-08-01,5076.0
1994-09-01,5103.0
1994-10-01,5254.0
1994-11-01,5384.0
1994-12-01,5439.0
1995-01-01,5610.0
1995-02-01,5629.0
1995-03-01,5809.0
1995-04-01,5820.0
1995-05-01,5841.0
1995-06-01,5931.0
1995-07-01,5740.0
1995-08-01,5389.0
1995-09-01,5466.0
1995-10-01,5402.0
1995-11-01,5222.0
1995-12-01,5265.0
1996-01-01,5331.0
1996-02-01,5496.0
1996-03-01,5627.0
1996-04-01,5710.0
1996-05-01,5939.0
1996-06-01,5900.0
1996-07-01,5624.0
1996-08-01,5420.0
1996-09-01,5483.0
1996-10-01,5585.0
1996-11-01,5508.0
1996-12-01,5481.0
1997-01-01,5626.0
1997-02-01,5608.0
1997-03-01,5681.0
1997-04-01,5593.0
1997-05-01,5563.0
1997-06-01,5417.0
1997-07-01,5377.0
1997-08-01,5278.0
1997-09-01,5307.0
1997-10-01,5503.0
1997-11-01,5472.0
1997-12-01,5585.0
1998-01-01,5114.0
1998-02-01,4972.0
1998-03-01,5075.0
1998-04-01,5021.0
1998-05-01,5093.0
1998-06-01,4989.0
1998-07-01,4937.0
1998-08-01,4670.0
