DATE,VALUE
1990-01-01,21632.0
1990-02-01,21661.0
1990-03-01,21562.0
1990-04-01,21493.0
1990-05-01,21761.0
1990-06-01,22393.0
1990-07-01,21633.0
1990-08-01,21442.0
1990-09-01,21810.0
1990-10-01,21979.0
1990-11-01,21767.0
1990-12-01,21679.0
1991-01-01,20988.0
1991-02-01,21014.0
1991-03-01,21086.0
1991-04-01,21229.0
1991-05-01,21128.0
1991-06-01,21832.0
1991-07-01,20579.0
1991-08-01,20111.0
1991-09-01,21001.0
1991-10-01,20975.0
1991-11-01,20912.0
1991-12-01,20821.0
1992-01-01,20702.0
1992-02-01,21085.0
1992-03-01,21163.0
1992-04-01,21463.0
1992-05-01,21296.0
1992-06-01,20809.0
1992-07-01,19507.0
1992-08-01,19479.0
1992-09-01,21141.0
1992-10-01,21197.0
1992-11-01,21184.0
1992-12-01,20936.0
1993-01-01,20893.0
1993-02-01,20976.0
1993-03-01,21123.0
1993-04-01,21236.0
1993-05-01,21659.0
1993-06-01,21296.0
1993-07-01,20576.0
1993-08-01,20127.0
1993-09-01,21514.0
1993-10-01,22407.0
1993-11-01,22502.0
1993-12-01,22214.0
1994-01-01,22074.0
1994-02-01,22087.0
1994-03-01,22225.0
1994-04-01,22066.0
1994-05-01,22484.0
1994-06-01,21903.0
1994-07-01,20983.0
1994-08-01,21011.0
1994-09-01,22204.0
1994-10-01,22269.0
1994-11-01,22700.0
1994-12-01,22145.0
1995-01-01,22924.0
1995-02-01,22868.0
1995-03-01,22937.0
1995-04-01,22926.0
1995-05-01,23009.0
1995-06-01,22874.0
1995-07-01,20961.0
1995-08-01,20774.0
1995-09-01,22119.0
1995-10-01,22761.0
1995-11-01,22553.0
1995-12-01,22172.0
1996-01-01,22332.0
1996-02-01,22509.0
1996-03-01,22743.0
1996-04-01,23074.0
1996-05-01,23201.0
1996-06-01,22846.0
1996-07-01,21186.0
1996-08-01,21101.0
1996-09-01,22587.0
1996-10-01,23455.0
1996-11-01,23107.0
1996-12-01,23058.0
1997-01-01,23607.0
1997-02-01,23767.0
1997-03-01,24004.0
1997-04-01,23760.0
1997-05-01,23728.0
1997-06-01,23680.0
1997-07-01,22680.0
1997-08-01,22298.0
1997-09-01,24426.0
1997-10-01,24776.0
1997-11-01,24798.0
1997-12-01,24496.0
1998-01-01,23696.0
1998-02-01,23982.0
1998-03-01,24255.0
1998-04-01,24151.0
1998-05-01,24210.0
1998-06-01,24985.0
1998-07-01,22809.0
1998-08-01,22066.0
1998-09-01,23323.0
1998-10-01,23987.0
1998-11-01,23979.0
1998-12-01,23926.0
1999-01-01,23836.0
1999-02-01,23435.0
1999-03-01,24056.0
1999-04-01,23063.0
1999-05-01,23748.0
1999-06-01,23496.0
1999-07-01,22227.0
1999-08-01,21641.0
1999-09-01,22809.0
1999-10-01,23419.0
1999-11-01,23644.0
1999-12-01,23518.0
2000-01-01,25394.0
2000-02-01,25022.0
2000-03-01,24824.0
2000-04-01,24836.0
2000-05-01,24768.0
2000-06-01,24833.0
2000-07-01,24081.0
2000-08-01,23728.0
2000-09-01,24571.0
2000-10-01,24996.0
2000-11-01,24902.0
2000-12-01,25102.0
2001-01-01,25326.0
2001-02-01,25353.0
2001-03-01,25325.0
2001-04-01,25155.0
2001-05-01,24877.0
2001-06-01,24888.0
2001-07-01,24193.0
2001-08-01,23489.0
2001-09-01,24622.0
2001-10-01,24966.0
2001-11-01,24677.0
2001-12-01,24379.0
2002-01-01,24700.0
2002-02-01,25158.0
2002-03-01,25116.0
2002-04-01,25177.0
2002-05-01,25184.0
2002-06-01,25372.0
2002-07-01,24289.0
2002-08-01,24142.0
2002-09-01,25051.0
2002-10-01,24930.0
2002-11-01,24780.0
2002-12-01,24690.0
2003-01-01,25117.0
2003-02-01,25127.0
2003-03-01,25155.0
2003-04-01,25374.0
2003-05-01,25397.0
2003-06-01,25838.0
2003-07-01,24423.0
2003-08-01,23970.0
2003-09-01,25205.0
2003-10-01,25290.0
2003-11-01,25292.0
2003-12-01,25162.0
2004-01-01,25229.0
2004-02-01,25347.0
2004-03-01,25221.0
2004-04-01,25453.0
2004-05-01,25498.0
2004-06-01,25837.0
2004-07-01,24964.0
2004-08-01,24539.0
2004-09-01,25609.0
2004-10-01,25513.0
2004-11-01,25452.0
2004-12-01,25308.0
2005-01-01,25578.0
2005-02-01,25687.0
2005-03-01,25722.0
2005-04-01,26300.0
2005-05-01,26394.0
2005-06-01,26374.0
2005-07-01,25527.0
2005-08-01,25020.0
2005-09-01,25605.0
2005-10-01,25975.0
2005-11-01,25964.0
2005-12-01,25723.0
2006-01-01,26132.0
2006-02-01,26267.0
2006-03-01,26460.0
2006-04-01,26707.0
2006-05-01,26914.0
2006-06-01,27328.0
2006-07-01,26131.0
2006-08-01,25817.0
2006-09-01,26761.0
2006-10-01,26907.0
2006-11-01,26880.0
2006-12-01,26620.0
2007-01-01,26554.0
