DATE,VALUE
1990-01-01,1969.0
1990-02-01,2050.0
1990-03-01,2061.0
1990-04-01,2040.0
1990-05-01,2068.0
1990-06-01,2153.0
1990-07-01,2092.0
1990-08-01,2017.0
1990-09-01,1869.0
1990-10-01,1959.0
1990-11-01,1969.0
1990-12-01,1938.0
1991-01-01,1938.0
1991-02-01,1942.0
1991-03-01,1842.0
1991-04-01,1803.0
1991-05-01,1855.0
1991-06-01,1961.0
1991-07-01,2042.0
1991-08-01,1910.0
1991-09-01,1871.0
1991-10-01,1968.0
1991-11-01,1969.0
1991-12-01,1922.0
1992-01-01,1971.0
1992-02-01,2002.0
1992-03-01,1968.0
1992-04-01,1943.0
1992-05-01,1970.0
1992-06-01,2072.0
1992-07-01,1986.0
1992-08-01,1972.0
1992-09-01,1863.0
1992-10-01,1931.0
1992-11-01,1867.0
1992-12-01,1838.0
1993-01-01,1805.0
1993-02-01,1782.0
1993-03-01,1836.0
1993-04-01,1815.0
1993-05-01,1882.0
1993-06-01,1975.0
1993-07-01,1944.0
1993-08-01,1894.0
1993-09-01,1799.0
1993-10-01,1880.0
1993-11-01,1842.0
1993-12-01,1768.0
1994-01-01,1909.0
1994-02-01,1895.0
1994-03-01,1910.0
1994-04-01,1842.0
1994-05-01,1897.0
1994-06-01,1919.0
1994-07-01,1909.0
1994-08-01,1927.0
1994-09-01,1863.0
1994-10-01,1862.0
1994-11-01,1887.0
1994-12-01,1885.0
1995-01-01,1890.0
1995-02-01,1853.0
1995-03-01,1959.0
1995-04-01,1888.0
1995-05-01,1936.0
1995-06-01,1979.0
1995-07-01,2033.0
1995-08-01,1986.0
1995-09-01,1847.0
1995-10-01,1876.0
1995-11-01,1771.0
1995-12-01,1801.0
1996-01-01,1895.0
1996-02-01,1912.0
1996-03-01,2020.0
1996-04-01,2015.0
1996-05-01,2033.0
1996-06-01,2089.0
1996-07-01,2069.0
1996-08-01,2035.0
1996-09-01,1954.0
1996-10-01,2068.0
1996-11-01,2003.0
1996-12-01,1969.0
1997-01-01,2077.0
1997-02-01,2036.0
1997-03-01,2067.0
1997-04-01,2038.0
1997-05-01,2066.0
1997-06-01,2142.0
1997-07-01,2088.0
1997-08-01,2160.0
1997-09-01,2048.0
1997-10-01,2112.0
1997-11-01,2120.0
1997-12-01,2171.0
1998-01-01,2081.0
1998-02-01,1973.0
1998-03-01,1988.0
1998-04-01,1998.0
1998-05-01,2035.0
1998-06-01,2083.0
1998-07-01,2060.0
1998-08-01,1988.0
1998-09-01,1988.0
1998-10-01,1999.0
1998-11-01,1987.0
1998-12-01,2028.0
1999-01-01,2027.0
1999-02-01,1999.0
1999-03-01,2066.0
1999-04-01,2018.0
1999-05-01,2034.0
1999-06-01,2112.0
1999-07-01,2021.0
1999-08-01,1979.0
1999-09-01,1936.0
1999-10-01,1985.0
1999-11-01,1998.0
1999-12-01,1992.0
2000-01-01,2113.0
2000-02-01,2130.0
2000-03-01,2143.0
2000-04-01,2188.0
2000-05-01,2226.0
2000-06-01,2225.0
2000-07-01,2187.0
2000-08-01,2153.0
2000-09-01,2131.0
2000-10-01,2237.0
2000-11-01,2251.0
2000-12-01,2260.0
2001-01-01,2389.0
2001-02-01,2405.0
2001-03-01,2350.0
2001-04-01,2435.0
2001-05-01,2436.0
2001-06-01,2306.0
2001-07-01,2272.0
2001-08-01,2292.0
2001-09-01,2267.0
2001-10-01,2403.0
2001-11-01,2307.0
2001-12-01,2296.0
2002-01-01,2367.0
2002-02-01,2285.0
2002-03-01,2229.0
2002-04-01,2169.0
2002-05-01,2111.0
2002-06-01,2149.0
2002-07-01,2206.0
2002-08-01,2131.0
2002-09-01,2115.0
2002-10-01,2090.0
2002-11-01,2050.0
2002-12-01,2062.0
2003-01-01,2151.0
2003-02-01,2123.0
2003-03-01,2131.0
2003-04-01,2172.0
2003-05-01,2171.0
2003-06-01,2274.0
2003-07-01,2229.0
2003-08-01,2181.0
2003-09-01,2169.0
2003-10-01,2145.0
2003-11-01,2149.0
2003-12-01,2089.0
2004-01-01,2346.0
2004-02-01,2341.0
2004-03-01,2345.0
2004-04-01,2496.0
2004-05-01,2391.0
2004-06-01,2455.0
2004-07-01,2413.0
2004-08-01,2370.0
2004-09-01,2328.0
2004-10-01,2340.0
2004-11-01,2313.0
2004-12-01,2289.0
2005-01-01,2359.0
2005-02-01,2374.0
2005-03-01,2382.0
2005-04-01,2518.0
2005-05-01,2477.0
2005-06-01,2530.0
