Date,Value
2000-12-06,5.98
2000-12-13,5.82
2000-12-20,5.69
2000-12-27,5.5
2001-01-03,5.43
2001-01-10,5.15
2001-01-17,4.96
2001-01-24,4.98
2001-01-31,4.92
2001-02-07,4.79
2001-02-14,4.75
2001-02-21,4.78
2001-02-28,4.75
2001-03-07,4.74
2001-03-14,4.7
2001-03-21,4.64
2001-03-28,4.52
2001-04-04,4.45
2001-04-11,4.44
2001-04-18,4.46
2001-04-25,4.38
2001-05-02,4.38
2001-05-09,4.39
2001-05-16,4.39
2001-05-23,4.35
2001-05-30,4.35
2001-06-06,4.37
2001-06-13,4.34
2001-06-20,4.35
2001-06-27,4.33
2001-07-04,4.33
2001-07-11,4.35
2001-07-18,4.45
2001-07-25,4.44
2001-08-01,4.44
2001-08-08,4.42
2001-08-15,4.35
2001-08-22,4.4
2001-08-29,4.34
2001-09-05,4.33
2001-09-12,4.31
2001-09-19,4.21
2001-09-26,4.06
2001-10-03,3.99
2001-10-10,3.89
2001-10-17,3.87
2001-10-24,3.95
2001-10-31,3.92
2001-11-07,3.82
2001-11-14,3.68
2001-11-21,3.69
2001-11-28,3.72
2001-12-05,3.8
2001-12-12,3.85
2001-12-19,3.88
2001-12-26,3.91
2002-01-02,3.93
2002-01-09,4.06
2002-01-16,4.06
2002-01-23,4.09
2002-01-30,4.05
2002-02-06,4.09
2002-02-13,4.12
2002-02-20,4.16
2002-02-27,4.16
2002-03-06,4.16
2002-03-13,4.21
2002-03-20,4.28
2002-03-27,4.35
2002-04-03,4.38
2002-04-10,4.4
2002-04-17,4.4
2002-04-24,4.4
2002-05-01,4.36
2002-05-08,4.33
2002-05-15,4.34
2002-05-22,4.36
2002-05-29,4.35
2002-06-05,4.33
2002-06-12,4.3
2002-06-19,4.27
2002-06-26,4.25
2002-07-03,4.23
2002-07-10,4.19
2002-07-17,4.17
2002-07-24,4.14
2002-07-31,3.98
2002-08-07,3.88
2002-08-14,3.82
2002-08-21,3.7
2002-08-28,3.66
2002-09-04,3.62
2002-09-11,3.59
2002-09-18,3.58
2002-09-25,3.51
2002-10-02,3.44
2002-10-09,3.36
2002-10-16,3.32
2002-10-23,3.34
2002-10-30,3.39
2002-11-06,3.32
2002-11-13,3.26
2002-11-20,3.26
2002-11-27,3.21
2002-12-04,3.28
2002-12-11,3.28
2002-12-18,3.26
2002-12-25,3.25
2003-01-01,3.25
2003-01-08,3.2
2003-01-15,3.17
2003-01-22,3.2
2003-02-05,3.18
2003-02-12,3.16
2003-02-19,3.2
2003-02-26,3.14
2003-03-05,3.06
2003-03-12,3.0
2003-03-19,2.94
2003-03-26,2.94
2003-04-02,2.95
2003-04-09,2.97
2003-04-16,2.93
2003-04-23,2.94
2003-04-30,2.94
2003-05-07,2.92
2003-05-14,2.86
2003-05-21,2.78
2003-05-28,2.71
2003-06-04,2.68
2003-06-11,2.63
2003-06-18,2.49
2003-06-25,2.48
2003-07-02,2.47
2003-07-09,2.5
2003-07-16,2.51
2003-07-23,2.61
2003-07-30,2.75
2003-08-06,2.93
2003-08-13,2.99
2003-08-20,3.06
2003-08-27,3.14
2003-09-03,3.19
2003-09-10,3.28
2003-09-17,3.28
2003-09-24,2.78
2003-10-01,3.18
2003-10-08,3.16
2003-10-15,3.16
2003-10-22,3.23
2003-10-29,3.24
2003-11-05,3.24
2003-11-12,3.25
2003-11-19,3.26
2003-11-26,3.23
2003-12-03,3.24
2003-12-10,3.28
2003-12-17,3.31
2003-12-24,3.3
2003-12-31,3.29
2004-01-07,3.3
2004-01-14,3.28
2004-01-21,3.24
2004-01-28,3.21
2004-02-04,3.22
2004-02-11,3.28
2004-02-18,3.26
2004-02-25,3.24
2004-03-03,3.22
2004-03-10,3.14
2004-03-17,3.09
2004-03-24,3.06
2004-03-31,3.05
2004-04-07,3.11
2004-04-14,3.11
2004-04-21,3.18
2004-04-28,3.29
2004-05-05,3.41
2004-05-12,3.45
2004-05-19,3.5
2004-05-26,3.54
2004-06-02,3.59
2004-06-09,3.64
2004-06-16,3.68
2004-06-23,3.73
