DATE,VALUE
1990-01-01,4528.0
1990-02-01,4373.0
1990-03-01,4300.0
1990-04-01,4331.0
1990-05-01,4300.0
1990-06-01,4384.0
1990-07-01,4323.0
1990-08-01,4167.0
1990-09-01,4226.0
1990-10-01,4168.0
1990-11-01,4161.0
1990-12-01,4271.0
1991-01-01,4374.0
1991-02-01,4291.0
1991-03-01,4470.0
1991-04-01,4433.0
1991-05-01,4340.0
1991-06-01,4467.0
1991-07-01,4354.0
1991-08-01,4212.0
1991-09-01,4117.0
1991-10-01,4063.0
1991-11-01,4083.0
1991-12-01,4183.0
1992-01-01,4051.0
1992-02-01,4069.0
1992-03-01,4034.0
1992-04-01,4061.0
1992-05-01,4123.0
1992-06-01,4252.0
1992-07-01,4288.0
1992-08-01,4342.0
1992-09-01,4246.0
1992-10-01,4165.0
1992-11-01,4185.0
1992-12-01,4190.0
1993-01-01,4138.0
1993-02-01,4146.0
1993-03-01,4153.0
1993-04-01,4118.0
1993-05-01,4209.0
1993-06-01,4307.0
1993-07-01,4281.0
1993-08-01,4169.0
1993-09-01,4097.0
1993-10-01,4129.0
1993-11-01,4185.0
1993-12-01,4222.0
1994-01-01,4142.0
1994-02-01,4155.0
1994-03-01,4162.0
1994-04-01,4238.0
1994-05-01,4229.0
1994-06-01,4292.0
1994-07-01,4349.0
1994-08-01,4225.0
1994-09-01,4179.0
1994-10-01,4196.0
1994-11-01,4271.0
1994-12-01,4355.0
1995-01-01,4321.0
1995-02-01,4308.0
1995-03-01,4341.0
1995-04-01,4350.0
1995-05-01,4335.0
1995-06-01,4582.0
1995-07-01,4406.0
1995-08-01,4351.0
1995-09-01,4269.0
1995-10-01,4292.0
1995-11-01,4288.0
1995-12-01,4306.0
1996-01-01,4174.0
1996-02-01,4210.0
1996-03-01,4264.0
1996-04-01,4287.0
1996-05-01,4342.0
1996-06-01,4367.0
1996-07-01,4395.0
1996-08-01,4304.0
1996-09-01,4246.0
1996-10-01,4250.0
1996-11-01,4241.0
1996-12-01,4245.0
1997-01-01,4295.0
1997-02-01,4268.0
1997-03-01,4395.0
1997-04-01,4269.0
1997-05-01,4388.0
1997-06-01,4403.0
1997-07-01,4306.0
1997-08-01,4295.0
1997-09-01,4183.0
1997-10-01,4262.0
1997-11-01,4330.0
1997-12-01,4393.0
1998-01-01,4474.0
1998-02-01,4492.0
1998-03-01,4459.0
1998-04-01,4396.0
1998-05-01,4455.0
1998-06-01,4482.0
1998-07-01,4439.0
1998-08-01,4267.0
1998-09-01,4305.0
1998-10-01,4407.0
1998-11-01,4391.0
1998-12-01,4349.0
1999-01-01,4333.0
1999-02-01,4483.0
1999-03-01,4815.0
1999-04-01,4636.0
1999-05-01,4696.0
1999-06-01,4721.0
1999-07-01,4536.0
1999-08-01,4429.0
1999-09-01,4291.0
1999-10-01,4363.0
1999-11-01,4369.0
1999-12-01,4448.0
2000-01-01,4443.0
2000-02-01,4497.0
2000-03-01,4524.0
2000-04-01,4512.0
2000-05-01,4530.0
2000-06-01,4543.0
2000-07-01,4447.0
2000-08-01,4299.0
2000-09-01,4273.0
2000-10-01,4320.0
2000-11-01,4311.0
2000-12-01,4327.0
2001-01-01,4441.0
2001-02-01,4423.0
2001-03-01,4446.0
2001-04-01,4431.0
2001-05-01,4383.0
2001-06-01,4434.0
2001-07-01,4415.0
2001-08-01,4236.0
2001-09-01,4287.0
2001-10-01,4389.0
2001-11-01,4351.0
2001-12-01,4408.0
2002-01-01,4383.0
