DATE,VALUE
1970-01-01,11.137
1971-01-01,11.7
1972-01-01,11.6
1973-01-01,11.6
1974-01-01,11.8
1975-01-01,12.0
1976-01-01,12.1
1977-01-01,12.0
1978-01-01,12.1
1979-01-01,12.4
1980-01-01,12.518
1981-01-01,12.657
1982-01-01,12.677
1983-01-01,12.918
1984-01-01,12.926
1985-01-01,12.957
1986-01-01,12.688
1987-01-01,12.594
1988-01-01,12.416
1989-01-01,12.44
1990-01-01,12.468
1991-01-01,12.442
1992-01-01,12.38
1993-01-01,12.516
1994-01-01,12.677
1995-01-01,12.78
1996-01-01,12.938
1997-01-01,13.009
1998-01-01,13.091
1999-01-01,13.146
2000-01-01,13.218
2001-01-01,13.252
2002-01-01,13.174
2003-01-01,13.245
2004-01-01,13.217
2005-01-01,13.18
2006-01-01,13.154
2007-01-01,13.169
2008-01-01,13.192
2009-01-01,13.231
2010-01-01,12.897
2011-01-01,12.669
2012-01-01,12.605
2013-01-01,12.506
2014-01-01,12.526
2015-01-01,12.622
