DATE,VALUE
1970-01-01,2.122
1971-01-01,2.1
1972-01-01,2.2
1973-01-01,2.1
1974-01-01,2.1
1975-01-01,2.2
1976-01-01,2.2
1977-01-01,2.2
1978-01-01,2.3
1979-01-01,2.3
1980-01-01,2.154
1981-01-01,2.159
1982-01-01,2.202
1983-01-01,2.255
1984-01-01,2.167
1985-01-01,2.075
1986-01-01,2.008
1987-01-01,1.962
1988-01-01,1.854
1989-01-01,1.821
1990-01-01,1.824
1991-01-01,1.847
1992-01-01,1.84
1993-01-01,1.87
1994-01-01,1.891
1995-01-01,1.893
1996-01-01,1.891
1997-01-01,1.914
1998-01-01,1.927
1999-01-01,1.929
2000-01-01,1.913
2001-01-01,1.904
2002-01-01,1.893
2003-01-01,1.911
2004-01-01,1.935
2005-01-01,1.896
2006-01-01,1.92
2007-01-01,1.908
2008-01-01,1.892
2009-01-01,1.899
2010-01-01,1.889
2011-01-01,1.89
2012-01-01,1.903
2013-01-01,1.921
2014-01-01,1.865
2015-01-01,1.83
