DATE,VALUE
1990-01-01,98749.0
1990-02-01,100536.0
1990-03-01,100873.0
1990-04-01,101004.0
1990-05-01,101404.0
1990-06-01,102301.0
1990-07-01,104138.0
1990-08-01,103717.0
1990-09-01,102669.0
1990-10-01,102991.0
1990-11-01,102777.0
1990-12-01,103165.0
1991-01-01,99672.0
1991-02-01,101137.0
1991-03-01,101457.0
1991-04-01,102368.0
1991-05-01,101795.0
1991-06-01,103246.0
1991-07-01,104885.0
1991-08-01,104889.0
1991-09-01,104944.0
1991-10-01,106086.0
1991-11-01,106058.0
1991-12-01,105424.0
1992-01-01,102742.0
1992-02-01,103739.0
1992-03-01,104333.0
1992-04-01,103767.0
1992-05-01,104656.0
1992-06-01,106004.0
1992-07-01,108593.0
1992-08-01,108057.0
1992-09-01,107228.0
1992-10-01,107767.0
1992-11-01,108026.0
1992-12-01,107725.0
1993-01-01,104729.0
1993-02-01,106016.0
1993-03-01,105695.0
1993-04-01,105314.0
1993-05-01,106832.0
1993-06-01,107169.0
1993-07-01,108752.0
1993-08-01,108398.0
1993-09-01,106664.0
1993-10-01,105782.0
1993-11-01,107227.0
1993-12-01,106650.0
1994-01-01,105853.0
1994-02-01,106671.0
1994-03-01,106703.0
1994-04-01,106924.0
1994-05-01,107302.0
1994-06-01,108199.0
1994-07-01,107996.0
1994-08-01,109074.0
1994-09-01,107582.0
1994-10-01,108711.0
1994-11-01,109407.0
1994-12-01,108746.0
1995-01-01,105659.0
1995-02-01,106779.0
1995-03-01,106967.0
1995-04-01,106809.0
1995-05-01,107099.0
1995-06-01,108137.0
1995-07-01,110055.0
1995-08-01,109454.0
1995-09-01,109603.0
1995-10-01,111389.0
1995-11-01,111495.0
1995-12-01,110500.0
1996-01-01,108051.0
1996-02-01,110897.0
1996-03-01,112076.0
1996-04-01,111356.0
1996-05-01,112503.0
1996-06-01,113300.0
1996-07-01,115467.0
1996-08-01,114544.0
1996-09-01,114286.0
1996-10-01,116121.0
1996-11-01,116262.0
1996-12-01,115474.0
1997-01-01,113226.0
1997-02-01,115203.0
1997-03-01,116149.0
1997-04-01,116836.0
1997-05-01,116619.0
1997-06-01,117267.0
1997-07-01,118137.0
1997-08-01,116849.0
1997-09-01,116096.0
1997-10-01,118340.0
1997-11-01,118989.0
1997-12-01,117798.0
1998-01-01,115184.0
1998-02-01,116686.0
1998-03-01,117179.0
1998-04-01,118049.0
1998-05-01,118245.0
1998-06-01,118399.0
1998-07-01,118829.0
1998-08-01,117183.0
1998-09-01,117674.0
1998-10-01,118581.0
1998-11-01,118992.0
1998-12-01,118706.0
1999-01-01,115968.0
1999-02-01,117416.0
1999-03-01,117704.0
1999-04-01,118052.0
1999-05-01,118796.0
1999-06-01,119936.0
1999-07-01,120670.0
1999-08-01,119444.0
1999-09-01,118944.0
1999-10-01,120303.0
1999-11-01,120929.0
1999-12-01,121182.0
2000-01-01,120418.0
2000-02-01,122709.0
2000-03-01,123089.0
2000-04-01,123502.0
2000-05-01,122469.0
2000-06-01,123020.0
2000-07-01,123073.0
2000-08-01,121701.0
2000-09-01,121142.0
2000-10-01,122445.0
2000-11-01,123289.0
2000-12-01,124063.0
2001-01-01,126094.0
2001-02-01,127735.0
2001-03-01,128573.0
2001-04-01,127954.0
2001-05-01,127263.0
2001-06-01,127625.0
2001-07-01,128394.0
2001-08-01,125155.0
2001-09-01,125440.0
2001-10-01,126575.0
2001-11-01,126243.0
2001-12-01,126872.0
2002-01-01,126502.0
2002-02-01,128135.0
2002-03-01,128845.0
2002-04-01,129192.0
2002-05-01,129155.0
2002-06-01,129038.0
2002-07-01,127894.0
2002-08-01,127169.0
2002-09-01,126889.0
2002-10-01,126372.0
2002-11-01,125285.0
2002-12-01,124097.0
2003-01-01,126012.0
2003-02-01,127596.0
2003-03-01,128028.0
2003-04-01,127593.0
2003-05-01,127297.0
2003-06-01,128470.0
2003-07-01,127934.0
2003-08-01,126805.0
2003-09-01,126470.0
2003-10-01,126396.0
2003-11-01,127042.0
2003-12-01,126244.0
2004-01-01,127187.0
2004-02-01,127754.0
2004-03-01,127604.0
2004-04-01,126775.0
2004-05-01,127283.0
2004-06-01,128749.0
2004-07-01,129961.0
2004-08-01,128082.0
2004-09-01,127477.0
2004-10-01,127418.0
2004-11-01,128364.0
2004-12-01,127528.0
2005-01-01,126753.0
2005-02-01,127812.0
2005-03-01,128279.0
2005-04-01,128523.0
2005-05-01,129085.0
2005-06-01,130257.0
2005-07-01,132282.0
2005-08-01,131297.0
2005-09-01,131518.0
2005-10-01,131126.0
2005-11-01,131276.0
2005-12-01,131052.0
2006-01-01,130486.0
2006-02-01,131652.0
2006-03-01,132251.0
2006-04-01,132250.0
2006-05-01,133616.0
2006-06-01,135036.0
2006-07-01,136822.0
2006-08-01,136003.0
2006-09-01,135713.0
2006-10-01,136184.0
2006-11-01,136958.0
2006-12-01,136710.0
2007-01-01,134822.0
2007-02-01,135385.0
2007-03-01,135802.0
2007-04-01,135219.0
2007-05-01,135617.0
2007-06-01,137291.0
2007-07-01,138822.0
2007-08-01,137255.0
2007-09-01,137861.0
2007-10-01,136510.0
2007-11-01,137337.0
2007-12-01,136610.0
2008-01-01,138847.0
2008-02-01,138999.0
2008-03-01,139732.0
2008-04-01,140414.0
2008-05-01,140894.0
2008-06-01,141817.0
2008-07-01,143450.0
2008-08-01,142012.0
2008-09-01,142121.0
2008-10-01,141859.0
2008-11-01,143094.0
2008-12-01,142512.0
2009-01-01,143434.0
2009-02-01,143820.0
2009-03-01,143670.0
2009-04-01,144021.0
2009-05-01,144241.0
2009-06-01,145108.0
2009-07-01,145478.0
2009-08-01,143781.0
2009-09-01,143512.0
2009-10-01,142770.0
2009-11-01,142853.0
2009-12-01,141496.0
2010-01-01,140805.0
2010-02-01,141512.0
2010-03-01,142487.0
2010-04-01,144590.0
2010-05-01,144392.0
2010-06-01,143884.0
2010-07-01,145906.0
2010-08-01,144139.0
2010-09-01,143538.0
2010-10-01,143001.0
2010-11-01,143683.0
2010-12-01,142688.0
2011-01-01,143511.0
2011-02-01,143753.0
2011-03-01,144187.0
2011-04-01,145583.0
2011-05-01,145282.0
2011-06-01,144943.0
2011-07-01,145429.0
2011-08-01,144707.0
2011-09-01,146208.0
2011-10-01,146663.0
2011-11-01,146866.0
2011-12-01,146037.0
2012-01-01,146658.0
2012-02-01,147788.0
2012-03-01,148141.0
2012-04-01,148181.0
2012-05-01,148643.0
2012-06-01,148633.0
2012-07-01,149350.0
2012-08-01,147664.0
2012-09-01,149520.0
2012-10-01,150588.0
2012-11-01,149934.0
2012-12-01,149460.0
2013-01-01,149549.0
2013-02-01,149930.0
2013-03-01,150032.0
2013-04-01,150760.0
2013-05-01,150803.0
2013-06-01,150785.0
2013-07-01,151274.0
2013-08-01,149600.0
2013-09-01,150776.0
2013-10-01,150225.0
2013-11-01,150579.0
2013-12-01,149200.0
2014-01-01,150218.0
2014-02-01,151833.0
2014-03-01,152774.0
2014-04-01,152417.0
2014-05-01,152630.0
2014-06-01,151892.0
2014-07-01,153821.0
2014-08-01,153137.0
2014-09-01,153081.0
2014-10-01,154073.0
2014-11-01,153667.0
2014-12-01,152824.0
2015-01-01,154561.0
2015-02-01,155866.0
2015-03-01,155317.0
2015-04-01,156441.0
2015-05-01,157876.0
2015-06-01,155678.0
2015-07-01,156842.0
2015-08-01,155590.0
2015-09-01,155544.0
2015-10-01,156082.0
2015-11-01,156088.0
2015-12-01,156044.0
2016-01-01,156378.0
2016-02-01,158901.0
2016-03-01,160440.0
2016-04-01,159476.0
2016-05-01,159688.0
2016-06-01,158328.0
2016-07-01,159453.0
2016-08-01,158045.0
