DATE,VALUE
1990-01-01,7327.0
1990-02-01,7307.0
1990-03-01,7241.0
1990-04-01,7270.0
1990-05-01,7406.0
1990-06-01,7649.0
1990-07-01,7482.0
1990-08-01,7526.0
1990-09-01,7473.0
1990-10-01,7538.0
1990-11-01,7536.0
1990-12-01,7784.0
1991-01-01,7612.0
1991-02-01,7591.0
1991-03-01,7762.0
1991-04-01,7684.0
1991-05-01,7863.0
1991-06-01,7987.0
1991-07-01,7934.0
1991-08-01,7951.0
1991-09-01,7884.0
1991-10-01,7761.0
1991-11-01,7578.0
1991-12-01,7496.0
1992-01-01,7727.0
1992-02-01,7703.0
1992-03-01,7554.0
1992-04-01,7474.0
1992-05-01,7481.0
1992-06-01,7731.0
1992-07-01,7589.0
1992-08-01,8123.0
1992-09-01,7746.0
1992-10-01,7738.0
1992-11-01,7482.0
1992-12-01,7387.0
1993-01-01,7264.0
1993-02-01,7300.0
1993-03-01,7238.0
1993-04-01,7167.0
1993-05-01,7321.0
1993-06-01,7441.0
1993-07-01,7271.0
1993-08-01,7307.0
1993-09-01,7350.0
1993-10-01,7348.0
1993-11-01,7302.0
1993-12-01,7386.0
1994-01-01,7153.0
1994-02-01,7234.0
1994-03-01,7198.0
1994-04-01,7137.0
1994-05-01,7068.0
1994-06-01,7264.0
1994-07-01,7079.0
1994-08-01,7160.0
1994-09-01,7093.0
1994-10-01,7088.0
1994-11-01,7088.0
1994-12-01,7195.0
1995-01-01,7146.0
1995-02-01,7202.0
1995-03-01,7127.0
1995-04-01,7152.0
1995-05-01,7060.0
1995-06-01,7571.0
1995-07-01,7214.0
1995-08-01,7330.0
1995-09-01,7186.0
1995-10-01,7258.0
1995-11-01,7291.0
1995-12-01,7216.0
1996-01-01,7489.0
1996-02-01,7568.0
1996-03-01,7524.0
1996-04-01,7453.0
1996-05-01,7511.0
1996-06-01,7679.0
1996-07-01,7518.0
1996-08-01,7478.0
1996-09-01,7429.0
1996-10-01,7640.0
1996-11-01,7601.0
1996-12-01,7377.0
1997-01-01,7239.0
1997-02-01,7214.0
1997-03-01,7334.0
1997-04-01,7182.0
1997-05-01,7230.0
1997-06-01,7263.0
1997-07-01,7244.0
1997-08-01,7319.0
1997-09-01,7313.0
1997-10-01,7310.0
1997-11-01,7337.0
1997-12-01,7207.0
1998-01-01,7405.0
1998-02-01,7437.0
1998-03-01,7391.0
1998-04-01,7254.0
1998-05-01,7357.0
1998-06-01,7303.0
1998-07-01,7265.0
1998-08-01,7245.0
1998-09-01,7387.0
1998-10-01,7365.0
1998-11-01,7425.0
1998-12-01,7321.0
1999-01-01,7383.0
1999-02-01,7535.0
1999-03-01,7446.0
1999-04-01,7424.0
1999-05-01,7427.0
1999-06-01,7351.0
1999-07-01,7395.0
1999-08-01,7380.0
1999-09-01,7416.0
1999-10-01,7497.0
1999-11-01,7523.0
1999-12-01,7382.0
2000-01-01,7968.0
2000-02-01,7957.0
2000-03-01,8107.0
2000-04-01,8075.0
2000-05-01,8184.0
2000-06-01,8403.0
2000-07-01,8117.0
2000-08-01,8290.0
2000-09-01,8211.0
2000-10-01,8225.0
2000-11-01,8174.0
2000-12-01,8142.0
2001-01-01,8298.0
2001-02-01,8219.0
2001-03-01,8296.0
2001-04-01,8131.0
2001-05-01,8182.0
2001-06-01,8135.0
2001-07-01,8073.0
2001-08-01,8099.0
2001-09-01,8209.0
2001-10-01,8116.0
2001-11-01,8066.0
2001-12-01,8103.0
2002-01-01,7927.0
2002-02-01,7955.0
2002-03-01,7885.0
2002-04-01,7888.0
2002-05-01,7966.0
2002-06-01,7961.0
2002-07-01,7957.0
2002-08-01,7866.0
2002-09-01,8060.0
2002-10-01,8029.0
2002-11-01,7878.0
2002-12-01,7818.0
2003-01-01,7977.0
2003-02-01,8075.0
2003-03-01,8097.0
2003-04-01,8095.0
2003-05-01,8249.0
2003-06-01,8348.0
2003-07-01,8142.0
2003-08-01,8212.0
2003-09-01,8197.0
2003-10-01,8351.0
2003-11-01,8321.0
2003-12-01,8250.0
2004-01-01,8295.0
2004-02-01,8267.0
2004-03-01,8313.0
2004-04-01,8378.0
2004-05-01,8400.0
2004-06-01,8397.0
2004-07-01,8269.0
2004-08-01,8209.0
2004-09-01,8131.0
2004-10-01,8194.0
2004-11-01,8240.0
2004-12-01,8186.0
2005-01-01,8047.0
2005-02-01,8026.0
2005-03-01,8050.0
2005-04-01,8103.0
2005-05-01,8058.0
2005-06-01,8122.0
2005-07-01,8018.0
2005-08-01,8090.0
2005-09-01,7950.0
2005-10-01,7994.0
2005-11-01,7933.0
2005-12-01,7789.0
2006-01-01,7731.0
2006-02-01,7739.0
2006-03-01,7739.0
2006-04-01,7881.0
2006-05-01,7921.0
2006-06-01,8009.0
2006-07-01,8146.0
2006-08-01,7883.0
2006-09-01,7808.0
2006-10-01,7924.0
2006-11-01,7970.0
2006-12-01,7883.0
2007-01-01,7757.0
2007-02-01,7698.0
2007-03-01,7706.0
2007-04-01,7745.0
2007-05-01,7817.0
2007-06-01,7877.0
2007-07-01,7769.0
2007-08-01,7792.0
2007-09-01,7713.0
2007-10-01,7845.0
2007-11-01,7930.0
2007-12-01,7891.0
2008-01-01,7701.0
2008-02-01,7588.0
2008-03-01,7651.0
2008-04-01,7665.0
2008-05-01,7833.0
2008-06-01,7950.0
2008-07-01,7678.0
2008-08-01,7730.0
2008-09-01,7783.0
2008-10-01,7713.0
2008-11-01,8007.0
2008-12-01,7887.0
2009-01-01,7949.0
2009-02-01,8055.0
2009-03-01,7911.0
2009-04-01,7948.0
2009-05-01,8023.0
2009-06-01,8039.0
2009-07-01,7819.0
2009-08-01,7792.0
2009-09-01,7823.0
2009-10-01,7852.0
2009-11-01,7851.0
2009-12-01,7738.0
2010-01-01,7624.0
2010-02-01,7641.0
2010-03-01,7601.0
2010-04-01,7683.0
2010-05-01,7747.0
2010-06-01,7576.0
2010-07-01,7421.0
2010-08-01,7491.0
2010-09-01,7551.0
2010-10-01,7493.0
2010-11-01,7492.0
2010-12-01,7332.0
2011-01-01,7520.0
2011-02-01,7555.0
2011-03-01,7585.0
2011-04-01,7643.0
2011-05-01,7708.0
2011-06-01,7729.0
2011-07-01,7832.0
2011-08-01,7753.0
2011-09-01,7687.0
2011-10-01,7707.0
2011-11-01,7553.0
2011-12-01,7470.0
2012-01-01,7450.0
2012-02-01,7526.0
2012-03-01,7493.0
2012-04-01,7535.0
2012-05-01,7750.0
2012-06-01,7696.0
2012-07-01,7608.0
2012-08-01,7601.0
2012-09-01,7633.0
2012-10-01,7651.0
2012-11-01,7591.0
2012-12-01,7448.0
2013-01-01,7353.0
2013-02-01,7324.0
2013-03-01,7251.0
2013-04-01,7287.0
2013-05-01,7442.0
2013-06-01,7427.0
2013-07-01,7322.0
2013-08-01,7282.0
2013-09-01,7307.0
2013-10-01,7200.0
2013-11-01,7164.0
2013-12-01,7101.0
2014-01-01,7193.0
2014-02-01,7135.0
2014-03-01,7186.0
2014-04-01,7205.0
2014-05-01,7378.0
2014-06-01,7431.0
2014-07-01,7273.0
2014-08-01,7207.0
2014-09-01,7192.0
2014-10-01,7173.0
2014-11-01,7181.0
2014-12-01,6976.0
2015-01-01,7213.0
2015-02-01,7198.0
2015-03-01,7261.0
2015-04-01,7329.0
2015-05-01,7418.0
2015-06-01,7390.0
2015-07-01,7345.0
2015-08-01,7209.0
2015-09-01,7131.0
2015-10-01,7193.0
2015-11-01,7217.0
2015-12-01,7030.0
2016-01-01,7113.0
2016-02-01,7150.0
2016-03-01,7280.0
2016-04-01,7298.0
2016-05-01,7341.0
2016-06-01,7278.0
2016-07-01,7200.0
2016-08-01,7140.0
