DATE,VALUE
1988-01-01,30.0
1988-02-01,39.0
1988-03-01,37.0
1988-04-01,67.0
1988-05-01,78.0
1988-06-01,99.0
1988-07-01,58.0
1988-08-01,70.0
1988-09-01,75.0
1988-10-01,57.0
1988-11-01,74.0
1988-12-01,80.0
1989-01-01,74.0
1989-02-01,65.0
1989-03-01,60.0
1989-04-01,52.0
1989-05-01,58.0
1989-06-01,60.0
1989-07-01,79.0
1989-08-01,60.0
1989-09-01,55.0
1989-10-01,72.0
1989-11-01,64.0
1989-12-01,56.0
1990-01-01,59.0
1990-02-01,91.0
1990-03-01,35.0
1990-04-01,60.0
1990-05-01,65.0
1990-06-01,64.0
1990-07-01,60.0
1990-08-01,64.0
1990-09-01,68.0
1990-10-01,69.0
1990-11-01,62.0
1990-12-01,56.0
1991-01-01,29.0
1991-02-01,78.0
1991-03-01,72.0
1991-04-01,82.0
1991-05-01,64.0
1991-06-01,58.0
1991-07-01,80.0
1991-08-01,84.0
1991-09-01,74.0
1991-10-01,90.0
1991-11-01,50.0
1991-12-01,107.0
1992-01-01,244.0
1992-02-01,98.0
1992-03-01,161.0
1992-04-01,109.0
1992-05-01,108.0
1992-06-01,115.0
1992-07-01,96.0
1992-08-01,101.0
1992-09-01,104.0
1992-10-01,92.0
1992-11-01,84.0
1992-12-01,119.0
1993-01-01,212.0
1993-02-01,82.0
1993-03-01,117.0
1993-04-01,125.0
1993-05-01,131.0
1993-06-01,125.0
1993-07-01,101.0
1993-08-01,127.0
1993-09-01,132.0
1993-10-01,131.0
1993-11-01,130.0
1993-12-01,96.0
1994-01-01,23.0
1994-02-01,118.0
1994-03-01,126.0
1994-04-01,142.0
1994-05-01,122.0
1994-06-01,151.0
1994-07-01,153.0
1994-08-01,92.0
1994-09-01,135.0
1994-10-01,119.0
1994-11-01,167.0
1994-12-01,143.0
1995-01-01,132.0
1995-02-01,95.0
1995-03-01,101.0
1995-04-01,100.0
1995-05-01,127.0
1995-06-01,110.0
1995-07-01,113.0
1995-08-01,126.0
1995-09-01,109.0
1995-10-01,121.0
1995-11-01,102.0
1995-12-01,116.0
1996-01-01,109.0
1996-02-01,104.0
1996-03-01,68.0
1996-04-01,124.0
1996-05-01,121.0
1996-06-01,108.0
1996-07-01,132.0
1996-08-01,139.0
1996-09-01,136.0
1996-10-01,107.0
1996-11-01,88.0
1996-12-01,53.0
1997-01-01,30.0
1997-02-01,126.0
1997-03-01,74.0
1997-04-01,65.0
1997-05-01,96.0
1997-06-01,101.0
1997-07-01,90.0
1997-08-01,82.0
1997-09-01,72.0
1997-10-01,78.0
1997-11-01,66.0
1997-12-01,103.0
1998-01-01,116.0
1998-02-01,121.0
1998-03-01,139.0
1998-04-01,147.0
1998-05-01,121.0
1998-06-01,111.0
1998-07-01,135.0
1998-08-01,118.0
1998-09-01,160.0
1998-10-01,161.0
1998-11-01,179.0
1998-12-01,348.0
1999-01-01,122.0
1999-02-01,85.0
1999-03-01,125.0
1999-04-01,133.0
1999-05-01,96.0
1999-06-01,116.0
1999-07-01,118.0
1999-08-01,173.0
1999-09-01,120.0
1999-10-01,118.0
1999-11-01,131.0
1999-12-01,166.0
2000-01-01,162.0
2000-02-01,136.0
2000-03-01,141.0
2000-04-01,74.0
2000-05-01,107.0
2000-06-01,104.0
2000-07-01,90.0
2000-08-01,79.0
2000-09-01,97.0
2000-10-01,100.0
2000-11-01,86.0
2000-12-01,63.0
2001-01-01,50.0
2001-02-01,141.0
2001-03-01,105.0
2001-04-01,116.0
2001-05-01,129.0
2001-06-01,121.0
2001-07-01,99.0
2001-08-01,101.0
2001-09-01,91.0
2001-10-01,131.0
2001-11-01,120.0
2001-12-01,132.0
2002-01-01,178.0
2002-02-01,155.0
2002-03-01,115.0
2002-04-01,125.0
2002-05-01,134.0
2002-06-01,132.0
2002-07-01,160.0
2002-08-01,152.0
2002-09-01,193.0
2002-10-01,123.0
2002-11-01,177.0
2002-12-01,114.0
2003-01-01,288.0
