DATE,VALUE
1990-01-01,2803.0
1990-02-01,2816.0
1990-03-01,2774.0
1990-04-01,2775.0
1990-05-01,2751.0
1990-06-01,2872.0
1990-07-01,2841.0
1990-08-01,2811.0
1990-09-01,2716.0
1990-10-01,2718.0
1990-11-01,2733.0
1990-12-01,2709.0
1991-01-01,2692.0
1991-02-01,2751.0
1991-03-01,2727.0
1991-04-01,2746.0
1991-05-01,2678.0
1991-06-01,2759.0
1991-07-01,2772.0
1991-08-01,2700.0
1991-09-01,2613.0
1991-10-01,2635.0
1991-11-01,2656.0
1991-12-01,2651.0
1992-01-01,2726.0
1992-02-01,2719.0
1992-03-01,2730.0
1992-04-01,2704.0
1992-05-01,2660.0
1992-06-01,2731.0
1992-07-01,2768.0
1992-08-01,2733.0
1992-09-01,2617.0
1992-10-01,2657.0
1992-11-01,2670.0
1992-12-01,2705.0
1993-01-01,2718.0
1993-02-01,2735.0
1993-03-01,2768.0
1993-04-01,2734.0
1993-05-01,2696.0
1993-06-01,2816.0
1993-07-01,2867.0
1993-08-01,2825.0
1993-09-01,2708.0
1993-10-01,2721.0
1993-11-01,2733.0
1993-12-01,2815.0
1994-01-01,2825.0
1994-02-01,2838.0
1994-03-01,2880.0
1994-04-01,2881.0
1994-05-01,2865.0
1994-06-01,3007.0
1994-07-01,3027.0
1994-08-01,2969.0
1994-09-01,2832.0
1994-10-01,2851.0
1994-11-01,2810.0
1994-12-01,2856.0
1995-01-01,2844.0
1995-02-01,2814.0
1995-03-01,2807.0
1995-04-01,2802.0
1995-05-01,2808.0
1995-06-01,2941.0
1995-07-01,2988.0
1995-08-01,2964.0
1995-09-01,2801.0
1995-10-01,2800.0
1995-11-01,2856.0
1995-12-01,2868.0
1996-01-01,2875.0
1996-02-01,2908.0
1996-03-01,2896.0
1996-04-01,2868.0
1996-05-01,2853.0
1996-06-01,2934.0
1996-07-01,2983.0
1996-08-01,2974.0
1996-09-01,2826.0
1996-10-01,2828.0
1996-11-01,2852.0
1996-12-01,2897.0
1997-01-01,2974.0
1997-02-01,2988.0
1997-03-01,2989.0
1997-04-01,2944.0
1997-05-01,2940.0
1997-06-01,3028.0
1997-07-01,3017.0
1997-08-01,2965.0
1997-09-01,2876.0
1997-10-01,2874.0
1997-11-01,2914.0
1997-12-01,2941.0
1998-01-01,2954.0
1998-02-01,2955.0
1998-03-01,2966.0
1998-04-01,2899.0
1998-05-01,2907.0
1998-06-01,2968.0
1998-07-01,2954.0
1998-08-01,2899.0
1998-09-01,2819.0
1998-10-01,2807.0
1998-11-01,2781.0
1998-12-01,2831.0
1999-01-01,2841.0
1999-02-01,2843.0
1999-03-01,2841.0
1999-04-01,2797.0
1999-05-01,2771.0
1999-06-01,2830.0
1999-07-01,2773.0
1999-08-01,2813.0
1999-09-01,2675.0
1999-10-01,2704.0
1999-11-01,2728.0
1999-12-01,2824.0
2000-01-01,2863.0
2000-02-01,2867.0
2000-03-01,2844.0
2000-04-01,2827.0
2000-05-01,2807.0
2000-06-01,2885.0
2000-07-01,2842.0
2000-08-01,2823.0
2000-09-01,2719.0
2000-10-01,2736.0
2000-11-01,2760.0
2000-12-01,2774.0
2001-01-01,2860.0
2001-02-01,2870.0
2001-03-01,2849.0
2001-04-01,2846.0
2001-05-01,2815.0
2001-06-01,2876.0
2001-07-01,2799.0
2001-08-01,2767.0
2001-09-01,2682.0
2001-10-01,2701.0
2001-11-01,2707.0
2001-12-01,2741.0
2002-01-01,2782.0
2002-02-01,2816.0
2002-03-01,2798.0
2002-04-01,2767.0
2002-05-01,2784.0
2002-06-01,2852.0
2002-07-01,2820.0
2002-08-01,2825.0
2002-09-01,2740.0
2002-10-01,2727.0
2002-11-01,2726.0
2002-12-01,2725.0
2003-01-01,2806.0
2003-02-01,2831.0
2003-03-01,2848.0
2003-04-01,2785.0
2003-05-01,2777.0
2003-06-01,2843.0
2003-07-01,2878.0
2003-08-01,2839.0
2003-09-01,2776.0
2003-10-01,2766.0
2003-11-01,2788.0
2003-12-01,2832.0
2004-01-01,2800.0
2004-02-01,2815.0
2004-03-01,2830.0
2004-04-01,2756.0
2004-05-01,2760.0
2004-06-01,2841.0
2004-07-01,2845.0
2004-08-01,2843.0
2004-09-01,2741.0
2004-10-01,2760.0
2004-11-01,2734.0
2004-12-01,2798.0
2005-01-01,2852.0
2005-02-01,2824.0
2005-03-01,2801.0
2005-04-01,2767.0
2005-05-01,2776.0
2005-06-01,2817.0
2005-07-01,2807.0
2005-08-01,2814.0
2005-09-01,2732.0
2005-10-01,2739.0
2005-11-01,2705.0
2005-12-01,2762.0
2006-01-01,2795.0
2006-02-01,2806.0
2006-03-01,2784.0
2006-04-01,2788.0
2006-05-01,2804.0
2006-06-01,2855.0
2006-07-01,2837.0
2006-08-01,2828.0
2006-09-01,2763.0
2006-10-01,2765.0
2006-11-01,2764.0
2006-12-01,2794.0
2007-01-01,2718.0
2007-02-01,2744.0
2007-03-01,2714.0
2007-04-01,2723.0
2007-05-01,2722.0
2007-06-01,2800.0
2007-07-01,2772.0
2007-08-01,2763.0
2007-09-01,2702.0
2007-10-01,2684.0
2007-11-01,2664.0
2007-12-01,2704.0
2008-01-01,2722.0
2008-02-01,2752.0
2008-03-01,2737.0
2008-04-01,2756.0
2008-05-01,2747.0
2008-06-01,2804.0
2008-07-01,2785.0
2008-08-01,2775.0
2008-09-01,2698.0
2008-10-01,2671.0
2008-11-01,2678.0
2008-12-01,2682.0
2009-01-01,2693.0
2009-02-01,2708.0
2009-03-01,2680.0
2009-04-01,2664.0
2009-05-01,2652.0
2009-06-01,2698.0
2009-07-01,2702.0
2009-08-01,2696.0
2009-09-01,2662.0
2009-10-01,2650.0
2009-11-01,2645.0
2009-12-01,2676.0
2010-01-01,3140.0
2010-02-01,3224.0
2010-03-01,3236.0
2010-04-01,3204.0
2010-05-01,3281.0
2010-06-01,3402.0
2010-07-01,3360.0
2010-08-01,3432.0
2010-09-01,3340.0
2010-10-01,3317.0
2010-11-01,3233.0
2010-12-01,3230.0
2011-01-01,3276.0
2011-02-01,3320.0
2011-03-01,3366.0
2011-04-01,3286.0
2011-05-01,3329.0
2011-06-01,3416.0
2011-07-01,3344.0
2011-08-01,3486.0
2011-09-01,3334.0
2011-10-01,3302.0
2011-11-01,3227.0
2011-12-01,3219.0
2012-01-01,3238.0
2012-02-01,3279.0
2012-03-01,3333.0
2012-04-01,3304.0
2012-05-01,3297.0
2012-06-01,3369.0
2012-07-01,3278.0
2012-08-01,3308.0
2012-09-01,3290.0
2012-10-01,3269.0
2012-11-01,3224.0
2012-12-01,3212.0
2013-01-01,3256.0
2013-02-01,3288.0
2013-03-01,3308.0
2013-04-01,3321.0
2013-05-01,3291.0
2013-06-01,3397.0
2013-07-01,3298.0
2013-08-01,3329.0
2013-09-01,3315.0
2013-10-01,3260.0
2013-11-01,3226.0
2013-12-01,3265.0
2014-01-01,3299.0
2014-02-01,3306.0
2014-03-01,3358.0
2014-04-01,3304.0
2014-05-01,3263.0
2014-06-01,3419.0
2014-07-01,3326.0
