DATE,VALUE
1998-01-01,679820.0
1998-04-01,685048.0
1998-07-01,681600.0
1998-10-01,684180.0
1999-01-01,691216.0
1999-04-01,697512.0
1999-07-01,700068.0
1999-10-01,711240.0
2000-01-01,734320.0
2000-04-01,722332.0
2000-07-01,733448.0
2000-10-01,725956.0
2001-01-01,741404.0
2001-04-01,748808.0
2001-07-01,753412.0
2001-10-01,758612.0
2002-01-01,768972.0
2002-04-01,769312.0
2002-07-01,776628.0
2002-10-01,776508.0
2003-01-01,792988.0
2003-04-01,785156.0
2003-07-01,801792.0
2003-10-01,813896.0
2004-01-01,816476.0
2004-04-01,824240.0
2004-07-01,838792.0
2004-10-01,831516.0
2005-01-01,857252.0
2005-04-01,858768.0
2005-07-01,854784.0
2005-10-01,869360.0
2006-01-01,885980.0
2006-04-01,910164.0
2006-07-01,903868.0
2006-10-01,912792.0
2007-01-01,925432.0
2007-04-01,939748.0
2007-07-01,946900.0
2007-10-01,969228.0
2008-01-01,981744.0
2008-04-01,996012.0
2008-07-01,995780.0
2008-10-01,1004492.0
2009-01-01,985452.0
2009-04-01,992444.0
2009-07-01,1016296.0
2009-10-01,1024072.0
2010-01-01,1037136.0
2010-04-01,1062192.0
2010-07-01,1070736.0
2010-10-01,1074308.0
2011-01-01,1129604.0
2011-04-01,1127856.0
2011-07-01,1162584.0
2011-10-01,1216456.0
2012-01-01,1277712.0
2012-04-01,1289424.0
2012-07-01,1306768.0
2012-10-01,1344544.0
2013-01-01,1360380.0
2013-04-01,1392468.0
2013-07-01,1419216.0
2013-10-01,1428936.0
2014-01-01,1479760.0
2014-04-01,1495424.0
2014-07-01,1534804.0
2014-10-01,1549568.0
2015-01-01,1575468.0
2015-04-01,1584356.0
2015-07-01,1582040.0
2015-10-01,1555328.0
2016-01-01,1531357.0
2016-04-01,1513421.0
