DATE,VALUE
1988-01-01,127.0
1988-02-01,151.0
1988-03-01,210.0
1988-04-01,225.0
1988-05-01,200.0
1988-06-01,251.0
1988-07-01,216.0
1988-08-01,167.0
1988-09-01,160.0
1988-10-01,160.0
1988-11-01,135.0
1988-12-01,192.0
1989-01-01,179.0
1989-02-01,161.0
1989-03-01,178.0
1989-04-01,169.0
1989-05-01,177.0
1989-06-01,166.0
1989-07-01,135.0
1989-08-01,174.0
1989-09-01,145.0
1989-10-01,153.0
1989-11-01,166.0
1989-12-01,102.0
1990-01-01,147.0
1990-02-01,139.0
1990-03-01,165.0
1990-04-01,132.0
1990-05-01,173.0
1990-06-01,151.0
1990-07-01,162.0
1990-08-01,140.0
1990-09-01,133.0
1990-10-01,138.0
1990-11-01,154.0
1990-12-01,102.0
1991-01-01,98.0
1991-02-01,149.0
1991-03-01,146.0
1991-04-01,208.0
1991-05-01,209.0
1991-06-01,195.0
1991-07-01,222.0
1991-08-01,176.0
1991-09-01,215.0
1991-10-01,259.0
1991-11-01,147.0
1991-12-01,172.0
1992-01-01,228.0
1992-02-01,175.0
1992-03-01,243.0
1992-04-01,274.0
1992-05-01,301.0
1992-06-01,306.0
1992-07-01,257.0
1992-08-01,209.0
1992-09-01,256.0
1992-10-01,294.0
1992-11-01,214.0
1992-12-01,223.0
1993-01-01,245.0
1993-02-01,243.0
1993-03-01,316.0
1993-04-01,267.0
1993-05-01,257.0
1993-06-01,312.0
1993-07-01,263.0
1993-08-01,313.0
1993-09-01,327.0
1993-10-01,289.0
1993-11-01,253.0
1993-12-01,257.0
1994-01-01,304.0
1994-02-01,313.0
1994-03-01,406.0
1994-04-01,312.0
1994-05-01,330.0
1994-06-01,317.0
1994-07-01,249.0
1994-08-01,321.0
1994-09-01,263.0
1994-10-01,254.0
1994-11-01,251.0
1994-12-01,203.0
1995-01-01,232.0
1995-02-01,243.0
1995-03-01,232.0
1995-04-01,250.0
1995-05-01,278.0
1995-06-01,329.0
1995-07-01,257.0
1995-08-01,308.0
1995-09-01,212.0
1995-10-01,241.0
1995-11-01,184.0
1995-12-01,186.0
1996-01-01,311.0
1996-02-01,209.0
1996-03-01,333.0
1996-04-01,329.0
1996-05-01,338.0
1996-06-01,312.0
1996-07-01,229.0
1996-08-01,223.0
1996-09-01,294.0
1996-10-01,271.0
1996-11-01,260.0
1996-12-01,214.0
1997-01-01,236.0
1997-02-01,246.0
1997-03-01,259.0
1997-04-01,358.0
1997-05-01,263.0
1997-06-01,275.0
1997-07-01,274.0
1997-08-01,184.0
1997-09-01,270.0
1997-10-01,264.0
1997-11-01,195.0
1997-12-01,250.0
1998-01-01,190.0
1998-02-01,241.0
1998-03-01,281.0
1998-04-01,327.0
1998-05-01,302.0
1998-06-01,325.0
1998-07-01,276.0
1998-08-01,271.0
1998-09-01,210.0
1998-10-01,290.0
1998-11-01,223.0
1998-12-01,267.0
1999-01-01,238.0
1999-02-01,316.0
