DATE,VALUE
1990-01-01,26093.0
1990-02-01,25937.0
1990-03-01,25920.0
1990-04-01,25825.0
1990-05-01,26451.0
1990-06-01,27647.0
1990-07-01,28813.0
1990-08-01,28778.0
1990-09-01,26932.0
1990-10-01,26108.0
1990-11-01,25500.0
1990-12-01,25508.0
1991-01-01,25856.0
1991-02-01,25751.0
1991-03-01,25657.0
1991-04-01,25729.0
1991-05-01,26108.0
1991-06-01,27518.0
1991-07-01,28670.0
1991-08-01,28382.0
1991-09-01,26420.0
1991-10-01,26491.0
1991-11-01,25931.0
1991-12-01,25720.0
1992-01-01,25763.0
1992-02-01,25269.0
1992-03-01,25396.0
1992-04-01,25375.0
1992-05-01,26284.0
1992-06-01,27902.0
1992-07-01,28642.0
1992-08-01,28161.0
1992-09-01,26434.0
1992-10-01,25970.0
1992-11-01,25370.0
1992-12-01,25504.0
1993-01-01,26080.0
1993-02-01,25969.0
1993-03-01,25974.0
1993-04-01,25168.0
1993-05-01,25938.0
1993-06-01,27200.0
1993-07-01,28854.0
1993-08-01,28541.0
1993-09-01,26819.0
1993-10-01,26465.0
1993-11-01,25755.0
1993-12-01,25711.0
1994-01-01,26269.0
1994-02-01,26295.0
1994-03-01,26428.0
1994-04-01,26451.0
1994-05-01,27436.0
1994-06-01,28649.0
1994-07-01,30027.0
1994-08-01,29768.0
1994-09-01,28068.0
1994-10-01,27468.0
1994-11-01,27102.0
1994-12-01,27111.0
1995-01-01,27205.0
1995-02-01,27000.0
1995-03-01,27316.0
1995-04-01,27346.0
1995-05-01,28037.0
1995-06-01,29342.0
1995-07-01,28091.0
1995-08-01,27975.0
1995-09-01,27427.0
1995-10-01,27273.0
1995-11-01,27159.0
1995-12-01,27314.0
1996-01-01,27448.0
1996-02-01,27366.0
1996-03-01,27512.0
1996-04-01,27357.0
1996-05-01,28218.0
1996-06-01,29493.0
1996-07-01,31031.0
1996-08-01,30568.0
1996-09-01,28362.0
1996-10-01,28128.0
1996-11-01,27319.0
1996-12-01,27286.0
1997-01-01,27897.0
1997-02-01,28234.0
1997-03-01,28068.0
1997-04-01,28221.0
1997-05-01,28809.0
1997-06-01,30056.0
1997-07-01,31986.0
1997-08-01,31712.0
1997-09-01,29625.0
1997-10-01,29249.0
1997-11-01,28644.0
1997-12-01,28928.0
1998-01-01,28793.0
1998-02-01,29026.0
1998-03-01,29023.0
1998-04-01,29138.0
1998-05-01,29940.0
1998-06-01,31502.0
1998-07-01,33366.0
1998-08-01,32705.0
1998-09-01,30807.0
1998-10-01,30476.0
1998-11-01,29782.0
1998-12-01,29683.0
1999-01-01,29663.0
1999-02-01,29817.0
1999-03-01,29759.0
1999-04-01,29368.0
1999-05-01,29527.0
1999-06-01,30483.0
1999-07-01,30814.0
1999-08-01,30679.0
1999-09-01,30080.0
1999-10-01,30112.0
1999-11-01,29903.0
1999-12-01,29912.0
2000-01-01,30061.0
2000-02-01,30026.0
2000-03-01,30159.0
2000-04-01,30149.0
2000-05-01,30901.0
2000-06-01,32006.0
2000-07-01,33453.0
2000-08-01,32748.0
2000-09-01,30943.0
2000-10-01,30411.0
2000-11-01,30217.0
2000-12-01,30356.0
2001-01-01,30625.0
2001-02-01,30668.0
2001-03-01,30830.0
2001-04-01,30342.0
2001-05-01,31172.0
2001-06-01,32808.0
2001-07-01,34044.0
2001-08-01,33565.0
2001-09-01,31277.0
2001-10-01,30941.0
2001-11-01,30319.0
2001-12-01,30076.0
2002-01-01,30432.0
2002-02-01,30324.0
2002-03-01,30479.0
2002-04-01,30410.0
2002-05-01,31212.0
2002-06-01,32996.0
2002-07-01,34671.0
2002-08-01,34054.0
2002-09-01,32057.0
2002-10-01,31546.0
2002-11-01,30946.0
2002-12-01,30856.0
2003-01-01,30764.0
2003-02-01,30451.0
2003-03-01,30417.0
2003-04-01,30405.0
2003-05-01,31096.0
2003-06-01,32762.0
2003-07-01,34675.0
2003-08-01,34221.0
2003-09-01,31783.0
2003-10-01,31052.0
2003-11-01,30466.0
2003-12-01,30435.0
2004-01-01,30505.0
2004-02-01,30456.0
2004-03-01,30725.0
2004-04-01,30522.0
2004-05-01,31281.0
2004-06-01,32932.0
2004-07-01,34424.0
2004-08-01,33967.0
2004-09-01,32017.0
2004-10-01,31377.0
2004-11-01,31090.0
2004-12-01,30792.0
2005-01-01,31281.0
2005-02-01,31020.0
2005-03-01,31069.0
2005-04-01,30972.0
2005-05-01,31668.0
2005-06-01,33054.0
2005-07-01,34193.0
2005-08-01,33804.0
2005-09-01,32528.0
2005-10-01,31471.0
2005-11-01,31053.0
2005-12-01,30924.0
2006-01-01,31342.0
2006-02-01,31343.0
2006-03-01,31450.0
2006-04-01,31419.0
2006-05-01,32084.0
2006-06-01,33975.0
2006-07-01,35284.0
2006-08-01,34770.0
2006-09-01,32792.0
2006-10-01,32227.0
2006-11-01,31852.0
2006-12-01,31646.0
2007-01-01,31557.0
2007-02-01,31696.0
2007-03-01,31799.0
2007-04-01,31377.0
2007-05-01,32223.0
2007-06-01,33717.0
2007-07-01,34986.0
2007-08-01,34388.0
2007-09-01,32752.0
2007-10-01,31903.0
2007-11-01,31405.0
2007-12-01,31097.0
2008-01-01,31537.0
2008-02-01,31692.0
2008-03-01,31800.0
2008-04-01,31568.0
2008-05-01,32184.0
2008-06-01,33820.0
2008-07-01,35474.0
2008-08-01,35042.0
2008-09-01,32749.0
2008-10-01,32249.0
2008-11-01,31756.0
2008-12-01,31899.0
2009-01-01,31837.0
2009-02-01,31951.0
2009-03-01,32266.0
2009-04-01,31330.0
2009-05-01,32320.0
2009-06-01,33719.0
2009-07-01,35307.0
2009-08-01,34903.0
2009-09-01,32526.0
2009-10-01,31836.0
2009-11-01,31152.0
2009-12-01,31317.0
2010-01-01,31840.0
2010-02-01,31948.0
2010-03-01,31849.0
2010-04-01,31677.0
2010-05-01,32159.0
2010-06-01,33509.0
2010-07-01,34260.0
2010-08-01,34087.0
2010-09-01,32317.0
2010-10-01,31568.0
2010-11-01,31220.0
2010-12-01,30970.0
2011-01-01,31352.0
2011-02-01,31400.0
2011-03-01,31282.0
2011-04-01,31129.0
2011-05-01,31592.0
2011-06-01,33102.0
2011-07-01,34226.0
2011-08-01,34091.0
2011-09-01,32207.0
2011-10-01,31760.0
2011-11-01,31390.0
2011-12-01,31122.0
2012-01-01,31274.0
2012-02-01,31216.0
2012-03-01,31307.0
2012-04-01,31159.0
2012-05-01,31731.0
2012-06-01,33372.0
2012-07-01,34217.0
2012-08-01,33951.0
2012-09-01,32290.0
2012-10-01,31841.0
2012-11-01,31279.0
2012-12-01,31037.0
2013-01-01,31239.0
2013-02-01,31002.0
2013-03-01,31123.0
2013-04-01,30958.0
2013-05-01,31817.0
2013-06-01,33374.0
2013-07-01,34376.0
2013-08-01,34050.0
2013-09-01,32053.0
2013-10-01,31761.0
2013-11-01,31319.0
2013-12-01,31079.0
2014-01-01,30825.0
2014-02-01,30750.0
2014-03-01,30871.0
2014-04-01,30520.0
2014-05-01,31291.0
2014-06-01,32717.0
2014-07-01,33985.0
2014-08-01,33580.0
2014-09-01,31624.0
2014-10-01,31184.0
2014-11-01,30792.0
2014-12-01,30487.0
2015-01-01,30701.0
2015-02-01,30668.0
2015-03-01,30699.0
2015-04-01,30327.0
2015-05-01,31292.0
2015-06-01,32790.0
2015-07-01,33809.0
2015-08-01,33332.0
2015-09-01,31646.0
2015-10-01,31169.0
2015-11-01,30801.0
2015-12-01,30504.0
2016-01-01,30563.0
2016-02-01,30464.0
2016-03-01,30553.0
2016-04-01,30406.0
2016-05-01,31259.0
2016-06-01,32824.0
2016-07-01,34016.0
2016-08-01,33565.0
