DATE,VALUE
1988-01-01,1946.0
1988-02-01,2977.0
1988-03-01,4094.0
1988-04-01,2955.0
1988-05-01,2941.0
1988-06-01,3071.0
1988-07-01,2998.0
1988-08-01,2996.0
1988-09-01,2855.0
1988-10-01,2507.0
1988-11-01,2279.0
1988-12-01,1950.0
1989-01-01,2145.0
1989-02-01,2147.0
1989-03-01,1509.0
1989-04-01,2396.0
1989-05-01,2570.0
1989-06-01,2387.0
1989-07-01,1649.0
1989-08-01,2203.0
1989-09-01,2416.0
1989-10-01,1860.0
1989-11-01,1878.0
1989-12-01,2843.0
1990-01-01,2115.0
1990-02-01,1490.0
1990-03-01,1911.0
1990-04-01,1173.0
1990-05-01,1233.0
1990-06-01,1065.0
1990-07-01,1145.0
1990-08-01,888.0
1990-09-01,771.0
1990-10-01,875.0
1990-11-01,947.0
1990-12-01,898.0
1991-01-01,850.0
1991-02-01,915.0
1991-03-01,746.0
1991-04-01,1137.0
1991-05-01,1086.0
1991-06-01,1182.0
1991-07-01,1063.0
1991-08-01,1409.0
1991-09-01,1091.0
1991-10-01,1454.0
1991-11-01,1182.0
1991-12-01,1193.0
1992-01-01,1329.0
1992-02-01,1480.0
1992-03-01,1300.0
1992-04-01,1188.0
1992-05-01,1038.0
1992-06-01,942.0
1992-07-01,1042.0
1992-08-01,889.0
1992-09-01,1080.0
1992-10-01,891.0
1992-11-01,973.0
1992-12-01,1045.0
1993-01-01,631.0
1993-02-01,1411.0
1993-03-01,1048.0
1993-04-01,1187.0
1993-05-01,1126.0
1993-06-01,1291.0
1993-07-01,1304.0
1993-08-01,1152.0
1993-09-01,1834.0
1993-10-01,2083.0
1993-11-01,1738.0
1993-12-01,1580.0
1994-01-01,1449.0
1994-02-01,1568.0
1994-03-01,1952.0
1994-04-01,1822.0
1994-05-01,1921.0
1994-06-01,2207.0
1994-07-01,2186.0
1994-08-01,1868.0
1994-09-01,1517.0
1994-10-01,1671.0
1994-11-01,1996.0
1994-12-01,2004.0
1995-01-01,1510.0
1995-02-01,1393.0
1995-03-01,1437.0
1995-04-01,1346.0
1995-05-01,1509.0
1995-06-01,1450.0
1995-07-01,1293.0
1995-08-01,1583.0
1995-09-01,1416.0
1995-10-01,1518.0
