DATE,VALUE
1945-10-01,436.0
1946-10-01,590.0
1947-10-01,768.0
1948-10-01,944.0
1949-10-01,1043.0
1950-10-01,1346.0
1951-10-01,1592.0
1952-01-01,1635.0
1952-04-01,1683.0
1952-07-01,1698.0
1952-10-01,1728.0
1953-01-01,1786.0
1953-04-01,1854.0
1953-07-01,1925.0
1953-10-01,1980.0
1954-01-01,2045.0
1954-04-01,2109.0
1954-07-01,2121.0
1954-10-01,2160.0
1955-01-01,2175.0
1955-04-01,2227.0
1955-07-01,2314.0
1955-10-01,2412.0
1956-01-01,2484.0
1956-04-01,2555.0
1956-07-01,2651.0
1956-10-01,2726.0
1957-01-01,2825.0
1957-04-01,2873.0
1957-07-01,2952.0
1957-10-01,3050.0
1958-01-01,3092.0
1958-04-01,3155.0
1958-07-01,3205.0
1958-10-01,3263.0
1959-01-01,3341.0
1959-04-01,3414.0
1959-07-01,3487.0
1959-10-01,3550.0
1960-01-01,3599.0
1960-04-01,3672.0
1960-07-01,3726.0
1960-10-01,3760.0
1961-01-01,3809.0
1961-04-01,3863.0
1961-07-01,3919.0
1961-10-01,3989.0
1962-01-01,4053.0
1962-04-01,4122.0
1962-07-01,4191.0
1962-10-01,4245.0
1963-01-01,4309.0
1963-04-01,4372.0
1963-07-01,4448.0
1963-10-01,4529.0
1964-01-01,4611.0
1964-04-01,4697.0
1964-07-01,4785.0
1964-10-01,4873.0
1965-01-01,4969.0
1965-04-01,5055.0
1965-07-01,5170.0
1965-10-01,5257.0
1966-01-01,5366.0
1966-04-01,5501.0
1966-07-01,5636.0
1966-10-01,5795.0
1967-01-01,5920.0
1967-04-01,6047.0
1967-07-01,6175.0
1967-10-01,6317.0
1968-01-01,6435.0
1968-04-01,6573.0
1968-07-01,6714.0
1968-10-01,6876.0
1969-01-01,7037.0
1969-04-01,7208.0
1969-07-01,7409.0
1969-10-01,7605.0
1970-01-01,7805.0
1970-04-01,7995.0
1970-07-01,8169.0
1970-10-01,8354.0
1971-01-01,8579.0
1971-04-01,8773.0
1971-07-01,8921.0
1971-10-01,9063.0
1972-01-01,9454.0
1972-04-01,9833.0
1972-07-01,10196.0
1972-10-01,10558.0
1973-01-01,11001.0
1973-04-01,11537.0
1973-07-01,12057.0
1973-10-01,12517.0
1974-01-01,13193.0
1974-04-01,14046.0
1974-07-01,15167.0
1974-10-01,16435.0
1975-01-01,17398.0
1975-04-01,18153.0
1975-07-01,18651.0
1975-10-01,19180.0
1976-01-01,19842.0
1976-04-01,20418.0
1976-07-01,21082.0
1976-10-01,21838.0
1977-01-01,22450.0
1977-04-01,23058.0
1977-07-01,23729.0
1977-10-01,24480.0
1978-01-01,25250.0
1978-04-01,26116.0
1978-07-01,27006.0
1978-10-01,27912.0
1979-01-01,28851.0
1979-04-01,29755.0
1979-07-01,30633.0
1979-10-01,31525.0
1980-01-01,32857.0
1980-04-01,34086.0
1980-07-01,35223.0
1980-10-01,36149.0
1981-01-01,37200.0
1981-04-01,38285.0
1981-07-01,39179.0
1981-10-01,40085.0
1982-01-01,40704.0
1982-04-01,41614.0
1982-07-01,42219.0
1982-10-01,42671.0
1983-01-01,43240.0
1983-04-01,43763.0
1983-07-01,44356.0
1983-10-01,45262.0
1984-01-01,45875.0
1984-04-01,46616.0
1984-07-01,47319.0
1984-10-01,48100.0
1985-01-01,48554.0
1985-04-01,49115.0
1985-07-01,49693.0
1985-10-01,50419.0
1986-01-01,51159.0
1986-04-01,52297.0
1986-07-01,53403.0
1986-10-01,54289.0
1987-01-01,55365.0
1987-04-01,56213.0
1987-07-01,57089.0
1987-10-01,58600.0
1988-01-01,59722.0
1988-04-01,60752.0
1988-07-01,61711.0
1988-10-01,63306.0
1989-01-01,64582.0
1989-04-01,65726.0
1989-07-01,67212.0
1989-10-01,68558.0
1990-01-01,70033.0
1990-04-01,71145.0
1990-07-01,72648.0
1990-10-01,74319.0
1991-01-01,75982.0
1991-04-01,76826.0
1991-07-01,77695.0
1991-10-01,78767.0
1992-01-01,80073.0
1992-04-01,80954.0
1992-07-01,82043.0
1992-10-01,82840.0
1993-01-01,83414.0
1993-04-01,83929.0
1993-07-01,84401.0
1993-10-01,85115.0
1994-01-01,86055.0
1994-04-01,86834.0
1994-07-01,87310.0
1994-10-01,87566.0
1995-01-01,88129.0
1995-04-01,89139.0
1995-07-01,89696.0
1995-10-01,90118.0
1996-01-01,90217.0
1996-04-01,90251.0
1996-07-01,90890.0
1996-10-01,91444.0
1997-01-01,92080.0
1997-04-01,92858.0
1997-07-01,93923.0
1997-10-01,94610.0
1998-01-01,96610.0
1998-04-01,98819.0
1998-07-01,101159.0
1998-10-01,103614.0
1999-01-01,106423.0
1999-04-01,108926.0
1999-07-01,111451.0
1999-10-01,114287.0
