DATE,VALUE
1959-01-01,10.56
1959-02-01,10.624
1959-03-01,10.482
1959-04-01,10.424
1959-05-01,10.317
1959-06-01,10.043
1959-07-01,10.148
1959-08-01,10.177
1959-09-01,10.202
1959-10-01,10.15
1959-11-01,10.194
1959-12-01,10.168
1960-01-01,10.194
1960-02-01,10.074
1960-03-01,10.155
1960-04-01,10.161
1960-05-01,10.344
1960-06-01,10.451
1960-07-01,10.615
1960-08-01,10.782
1960-09-01,10.932
1960-10-01,11.049
1960-11-01,11.166
1960-12-01,11.172
1961-01-01,11.259
1961-02-01,11.096
1961-03-01,11.038
1961-04-01,11.066
1961-05-01,10.94
1961-06-01,11.024
1961-07-01,11.07
1961-08-01,11.169
1961-09-01,11.251
1961-10-01,11.342
1961-11-01,11.384
1961-12-01,11.366
1962-01-01,11.403
1962-02-01,11.233
1962-03-01,11.17
1962-04-01,11.258
1962-05-01,11.323
1962-06-01,11.226
1962-07-01,11.302
1962-08-01,11.231
1962-09-01,11.303
1962-10-01,11.387
1962-11-01,11.372
1962-12-01,11.344
1963-01-01,11.421
1963-02-01,11.29
1963-03-01,11.255
1963-04-01,11.319
1963-05-01,11.216
1963-06-01,11.139
1963-07-01,11.232
1963-08-01,11.155
1963-09-01,11.184
1963-10-01,11.137
1963-11-01,11.198
1963-12-01,11.397
1964-01-01,11.369
1964-02-01,11.261
1964-03-01,11.285
1964-04-01,11.326
1964-05-01,11.263
1964-06-01,11.326
1964-07-01,11.387
1964-08-01,11.48
1964-09-01,11.518
1964-10-01,11.567
1964-11-01,11.598
1964-12-01,11.747
1965-01-01,11.653
1965-02-01,11.479
1965-03-01,11.472
1965-04-01,11.571
1965-05-01,11.417
1965-06-01,11.467
1965-07-01,11.544
1965-08-01,11.531
1965-09-01,11.517
1965-10-01,11.63
1965-11-01,11.655
1965-12-01,11.872
1966-01-01,11.875
1966-02-01,11.711
1966-03-01,11.604
1966-04-01,11.621
1966-05-01,11.575
1966-06-01,11.549
1966-07-01,11.629
1966-08-01,11.43
1966-09-01,11.46
1966-10-01,11.465
1966-11-01,11.598
1966-12-01,11.69
1967-01-01,11.924
1967-02-01,11.916
1967-03-01,12.237
1967-04-01,12.342
1967-05-01,12.329
1967-06-01,12.351
1967-07-01,12.607
1967-08-01,12.598
1967-09-01,12.758
1967-10-01,12.959
1967-11-01,12.999
1967-12-01,12.952
1968-01-01,12.993
1968-02-01,12.815
1968-03-01,12.527
1968-04-01,12.432
1968-05-01,12.389
1968-06-01,12.557
1968-07-01,12.928
1968-08-01,12.875
1968-09-01,12.931
1968-10-01,13.086
1968-11-01,13.104
1968-12-01,13.021
1969-01-01,12.893
1969-02-01,12.879
1969-03-01,12.751
1969-04-01,12.468
1969-05-01,12.47
1969-06-01,12.41
1969-07-01,12.239
1969-08-01,12.565
1969-09-01,12.743
1969-10-01,12.754
1969-11-01,12.969
1969-12-01,13.049
1970-01-01,13.128
1970-02-01,13.019
1970-03-01,13.173
1970-04-01,13.364
1970-05-01,13.04
1970-06-01,13.197
1970-07-01,12.799
1970-08-01,13.445
1970-09-01,13.847
1970-10-01,14.017
1970-11-01,14.055
1970-12-01,14.225
1971-01-01,14.24
1971-02-01,14.488
1971-03-01,14.479
1971-04-01,14.606
1971-05-01,14.698
1971-06-01,14.564
1971-07-01,14.302
1971-08-01,14.38
1971-09-01,14.928
1971-10-01,14.854
1971-11-01,14.864
1971-12-01,15.104
1972-01-01,15.347
1972-02-01,15.331
1972-03-01,15.382
1972-04-01,15.534
1972-05-01,15.628
1972-06-01,15.809
1972-07-01,15.597
1972-08-01,15.623
1972-09-01,15.459
1972-10-01,15.637
1972-11-01,15.833
1972-12-01,15.595
1973-01-01,15.548
1973-02-01,15.12
1973-03-01,15.099
1973-04-01,15.02
1973-05-01,14.829
1973-06-01,14.895
1973-07-01,15.035
1973-08-01,14.631
1973-09-01,14.883
1973-10-01,15.448
1973-11-01,15.585
1973-12-01,15.723
1974-01-01,16.171
1974-02-01,15.933
1974-03-01,15.817
1974-04-01,15.561
1974-05-01,14.833
1974-06-01,14.361
1974-07-01,14.185
1974-08-01,14.055
1974-09-01,14.102
1974-10-01,15.536
1974-11-01,16.201
1974-12-01,16.823
1975-01-01,16.874
1975-02-01,17.123
1975-03-01,17.333
1975-04-01,17.387
1975-05-01,17.288
1975-06-01,17.488
1975-07-01,17.331
1975-08-01,17.449
1975-09-01,17.438
1975-10-01,17.397
1975-11-01,17.789
1975-12-01,17.692
1976-01-01,17.537
1976-02-01,17.725
1976-03-01,17.821
1976-04-01,17.675
1976-05-01,17.826
1976-06-01,17.82
1976-07-01,17.714
1976-08-01,17.953
1976-09-01,17.948
1976-10-01,17.983
1976-11-01,18.268
1976-12-01,18.335
1977-01-01,18.353
1977-02-01,18.227
1977-03-01,18.301
1977-04-01,18.406
1977-05-01,18.379
1977-06-01,18.208
1977-07-01,18.425
1977-08-01,17.858
1977-09-01,18.247
1977-10-01,17.658
1977-11-01,18.15
1977-12-01,18.42
1978-01-01,18.806
1978-02-01,19.155
1978-03-01,18.958
1978-04-01,18.851
1978-05-01,18.443
1978-06-01,18.774
1978-07-01,18.801
1978-08-01,18.772
1978-09-01,18.934
1978-10-01,18.832
1978-11-01,19.169
1978-12-01,18.885
1979-01-01,18.818
1979-02-01,18.423
1979-03-01,18.439
1979-04-01,18.587
1979-05-01,17.788
1979-06-01,18.39
1979-07-01,18.822
1979-08-01,18.923
1979-09-01,18.667
1979-10-01,18.353
1979-11-01,18.492
1979-12-01,19.248
1980-01-01,19.452
1980-02-01,19.027
1980-03-01,17.879
1980-04-01,18.174
1980-05-01,19.421
1980-06-01,20.196
1980-07-01,20.401
1980-08-01,20.352
1980-09-01,19.921
1980-10-01,19.837
1980-11-01,20.091
1980-12-01,20.325
1981-01-01,20.278
1981-02-01,20.536
1981-03-01,21.072
1981-04-01,20.849
1981-05-01,20.219
1981-06-01,20.289
1981-07-01,20.65
1981-08-01,20.936
1981-09-01,21.031
1981-10-01,21.115
1981-11-01,21.675
1981-12-01,21.807
1982-01-01,21.152
1982-02-01,20.762
1982-03-01,20.898
1982-04-01,20.769
1982-05-01,21.285
1982-06-01,21.164
1982-07-01,21.49
1982-08-01,21.833
1982-09-01,21.752
1982-10-01,22.412
1982-11-01,22.733
1982-12-01,22.966
1983-01-01,22.697
1983-02-01,23.319
1983-03-01,23.621
1983-04-01,23.89
1983-05-01,23.907
1983-06-01,23.641
1983-07-01,23.903
1983-08-01,23.83
1983-09-01,23.994
1983-10-01,24.61
1983-11-01,24.491
1983-12-01,24.593
1984-01-01,24.736
1984-02-01,25.262
1984-03-01,24.812
1984-04-01,24.457
1984-05-01,22.894
1984-06-01,22.794
1984-07-01,20.057
1984-08-01,18.023
1984-09-01,18.848
1984-10-01,20.242
1984-11-01,21.901
1984-12-01,23.727
1985-01-01,25.683
1985-02-01,26.307
1985-03-01,25.998
1985-04-01,26.548
1985-05-01,26.822
1985-06-01,27.644
1985-07-01,28.035
1985-08-01,28.58
1985-09-01,28.742
1985-10-01,29.303
1985-11-01,29.176
1985-12-01,30.251
1986-01-01,30.794
1986-02-01,30.775
1986-03-01,31.33
1986-04-01,31.625
1986-05-01,32.39
1986-06-01,33.144
1986-07-01,33.917
1986-08-01,34.319
1986-09-01,34.613
1986-10-01,35.421
1986-11-01,36.519
1986-12-01,38.014
1987-01-01,38.664
1987-02-01,38.45
1987-03-01,38.301
1987-04-01,38.541
1987-05-01,38.777
1987-06-01,38.686
1987-07-01,38.408
1987-08-01,38.562
1987-09-01,38.178
1987-10-01,38.884
1987-11-01,38.71
1987-12-01,38.136
1988-01-01,38.383
1988-02-01,39.01
1988-03-01,37.515
1988-04-01,36.629
1988-05-01,37.381
1988-06-01,37.195
1988-07-01,37.075
1988-08-01,37.23
1988-09-01,37.504
1988-10-01,38.124
1988-11-01,37.687
1988-12-01,38.738
1989-01-01,38.773
1989-02-01,38.852
1989-03-01,38.032
1989-04-01,37.244
1989-05-01,37.581
1989-06-01,37.595
1989-07-01,38.744
1989-08-01,38.723
1989-09-01,38.981
1989-10-01,39.608
1989-11-01,39.821
1989-12-01,40.222
1990-01-01,40.292
1990-02-01,39.296
1990-03-01,38.527
1990-04-01,39.237
1990-05-01,39.419
1990-06-01,39.786
1990-07-01,39.818
1990-08-01,39.947
1990-09-01,40.466
1990-10-01,40.398
1990-11-01,40.741
1990-12-01,41.441
1991-01-01,41.76
1991-02-01,41.82
1991-03-01,41.564
1991-04-01,41.631
1991-05-01,42.108
1991-06-01,42.372
1991-07-01,42.378
1991-08-01,42.629
1991-09-01,42.913
1991-10-01,43.746
1991-11-01,44.507
1991-12-01,45.324
1992-01-01,46.141
1992-02-01,47.525
1992-03-01,48.183
1992-04-01,48.952
1992-05-01,49.182
1992-06-01,49.041
1992-07-01,49.471
1992-08-01,50.229
1992-09-01,51.107
1992-10-01,52.625
1992-11-01,53.646
1992-12-01,54.298
1993-01-01,54.805
1993-02-01,54.641
1993-03-01,54.879
1993-04-01,55.285
1993-05-01,56.534
1993-06-01,56.905
1993-07-01,57.486
1993-08-01,57.832
1993-09-01,58.444
1993-10-01,59.309
1993-11-01,60.215
1993-12-01,60.485
1994-01-01,60.822
1994-02-01,60.446
1994-03-01,60.244
1994-04-01,60.38
1994-05-01,59.772
1994-06-01,59.715
1994-07-01,59.863
1994-08-01,59.491
1994-09-01,59.313
1994-10-01,58.994
