DATE,VALUE
1972-01-01,29.3226
1972-04-01,25.6246
1972-07-01,27.3915
1972-10-01,30.9878
1973-01-01,25.8083
1973-04-01,26.5417
1973-07-01,26.5167
1973-10-01,26.1028
1974-01-01,25.7946
1974-04-01,21.4701
1974-07-01,28.2826
1974-10-01,22.4135
1975-01-01,31.2044
1975-04-01,39.1022
1975-07-01,42.1475
1975-10-01,46.8913
1976-01-01,38.4905
1976-04-01,34.2943
1976-07-01,30.6455
1976-10-01,27.6316
1977-01-01,26.4508
1977-04-01,34.8666
1977-07-01,21.6516
1977-10-01,25.9529
1978-01-01,33.5431
1978-04-01,29.209
1978-07-01,36.9779
1978-10-01,38.3505
1979-01-01,41.5115
1979-04-01,41.8427
1979-07-01,34.1144
1979-10-01,33.2262
1980-01-01,30.6617
1980-04-01,27.4498
1980-07-01,35.1206
1980-10-01,35.6358
1981-01-01,36.7657
1981-04-01,40.494
1981-07-01,40.399
1981-10-01,40.4838
1982-01-01,41.6759
1982-04-01,48.2075
1982-07-01,49.2681
1982-10-01,72.9354
1983-01-01,73.8814
1983-04-01,75.444
1983-07-01,65.7333
1983-10-01,61.3829
1984-01-01,66.3
1984-04-01,67.8792
1984-07-01,63.3103
1984-10-01,59.6109
1985-01-01,60.1014
1985-04-01,47.0498
1985-07-01,56.7173
1985-10-01,49.1371
1986-01-01,40.6379
1986-04-01,41.2439
1986-07-01,44.2328
1986-10-01,41.6495
1987-01-01,49.8424
1987-04-01,40.1375
1987-07-01,43.4334
1987-10-01,47.9034
1988-01-01,51.1844
1988-04-01,66.6839
1988-07-01,69.5552
1988-10-01,94.3109
1989-01-01,101.9718
1989-04-01,105.6303
1989-07-01,103.3923
1989-10-01,112.276
1990-01-01,116.5931
1990-04-01,113.0975
1990-07-01,110.3807
1990-10-01,107.3026
1991-01-01,113.1972
1991-04-01,110.0763
1991-07-01,118.5105
1991-10-01,124.4836
1992-01-01,124.5687
1992-04-01,125.1966
1992-07-01,126.2404
1992-10-01,128.5827
1993-01-01,128.0691
1993-04-01,127.4257
1993-07-01,130.5156
1993-10-01,122.5628
1994-01-01,117.3876
1994-04-01,119.7346
1994-07-01,113.5545
1994-10-01,115.2958
1995-01-01,119.2242
1995-04-01,109.2802
1995-07-01,103.3483
1995-10-01,95.4093
1996-01-01,113.0694
1996-04-01,107.1079
1996-07-01,106.6975
1996-10-01,104.6492
1997-01-01,96.9679
1997-04-01,97.1407
1997-07-01,90.3444
1997-10-01,82.9776
1998-01-01,77.4603
1998-04-01,77.689
1998-07-01,72.7532
1998-10-01,66.9421
1999-01-01,66.469
1999-04-01,70.6226
1999-07-01,75.8538
1999-10-01,83.6915
2000-01-01,87.0229
2000-04-01,75.0601
2000-07-01,80.9026
2000-10-01,79.8189
2001-01-01,82.9155
2001-04-01,80.4152
2001-07-01,84.7693
2001-10-01,87.1599
2002-01-01,92.6978
2002-04-01,91.3146
2002-07-01,89.2796
2002-10-01,96.7955
2003-01-01,101.2958
2003-04-01,106.3916
2003-07-01,109.2707
2003-10-01,108.9968
2004-01-01,104.431
2004-04-01,105.5799
2004-07-01,107.812
2004-10-01,108.2356
2005-01-01,108.4092
2005-04-01,109.0588
2005-07-01,113.7596
2005-10-01,109.9101
2006-01-01,93.9983
2006-04-01,91.139
2006-07-01,81.0759
2006-10-01,67.7171
2007-01-01,65.1831
2007-04-01,63.5428
2007-07-01,62.1615
2007-10-01,61.0657
2008-01-01,63.9832
2008-04-01,65.8629
2008-07-01,65.7999
2008-10-01,74.4988
2009-01-01,77.5415
2009-04-01,81.1493
2009-07-01,84.5196
2009-10-01,84.1299
2010-01-01,93.2222
2010-04-01,93.0199
2010-07-01,92.9293
2010-10-01,94.8713
2011-01-01,82.4629
2011-04-01,86.7872
2011-07-01,85.9434
2011-10-01,88.9701
2012-01-01,84.4853
