DATE,VALUE
1990-01-01,133381.0
1990-02-01,133010.0
1990-03-01,133449.0
1990-04-01,133158.0
1990-05-01,133610.0
1990-06-01,135689.0
1990-07-01,136906.0
1990-08-01,135139.0
1990-09-01,132532.0
1990-10-01,133030.0
1990-11-01,132519.0
1990-12-01,133115.0
1991-01-01,132408.0
1991-02-01,132331.0
1991-03-01,132593.0
1991-04-01,130876.0
1991-05-01,129814.0
1991-06-01,132800.0
1991-07-01,132868.0
1991-08-01,131070.0
1991-09-01,129520.0
1991-10-01,128734.0
1991-11-01,126827.0
1991-12-01,127380.0
1992-01-01,125840.0
1992-02-01,126331.0
1992-03-01,125782.0
1992-04-01,125829.0
1992-05-01,126079.0
1992-06-01,128260.0
1992-07-01,128606.0
1992-08-01,127215.0
1992-09-01,125520.0
1992-10-01,124585.0
1992-11-01,124965.0
1992-12-01,124618.0
1993-01-01,124021.0
1993-02-01,123939.0
1993-03-01,122921.0
1993-04-01,122623.0
1993-05-01,123797.0
1993-06-01,126120.0
1993-07-01,124823.0
1993-08-01,123863.0
1993-09-01,121539.0
1993-10-01,121687.0
1993-11-01,121018.0
1993-12-01,120657.0
1994-01-01,119248.0
1994-02-01,119281.0
1994-03-01,117249.0
1994-04-01,116966.0
1994-05-01,117184.0
1994-06-01,119059.0
1994-07-01,119287.0
1994-08-01,118045.0
1994-09-01,116766.0
1994-10-01,117061.0
1994-11-01,116890.0
1994-12-01,115549.0
1995-01-01,115214.0
1995-02-01,115446.0
1995-03-01,115556.0
1995-04-01,115530.0
1995-05-01,114946.0
1995-06-01,117008.0
1995-07-01,118566.0
1995-08-01,116872.0
1995-09-01,115280.0
1995-10-01,116622.0
1995-11-01,116243.0
1995-12-01,115478.0
1996-01-01,116515.0
1996-02-01,116443.0
1996-03-01,116887.0
1996-04-01,117500.0
1996-05-01,118944.0
1996-06-01,119595.0
1996-07-01,120780.0
1996-08-01,119408.0
1996-09-01,118168.0
1996-10-01,119078.0
1996-11-01,119088.0
1996-12-01,118644.0
1997-01-01,118014.0
1997-02-01,118844.0
1997-03-01,120080.0
1997-04-01,119885.0
