DATE,VALUE
1990-01-01,27301.0
1990-02-01,26772.0
1990-03-01,26744.0
1990-04-01,26424.0
1990-05-01,26790.0
1990-06-01,27462.0
1990-07-01,26981.0
1990-08-01,26898.0
1990-09-01,26399.0
1990-10-01,26223.0
1990-11-01,26428.0
1990-12-01,26537.0
1991-01-01,27393.0
1991-02-01,27237.0
1991-03-01,27058.0
1991-04-01,27022.0
1991-05-01,27381.0
1991-06-01,27951.0
1991-07-01,26669.0
1991-08-01,26718.0
1991-09-01,26513.0
1991-10-01,26990.0
1991-11-01,27142.0
1991-12-01,26943.0
1992-01-01,27139.0
1992-02-01,26914.0
1992-03-01,26665.0
1992-04-01,26867.0
1992-05-01,26802.0
1992-06-01,27934.0
1992-07-01,27132.0
1992-08-01,27120.0
1992-09-01,26813.0
1992-10-01,26630.0
1992-11-01,26826.0
1992-12-01,27002.0
1993-01-01,27395.0
1993-02-01,27498.0
1993-03-01,27455.0
1993-04-01,26805.0
1993-05-01,27312.0
1993-06-01,27882.0
1993-07-01,26810.0
1993-08-01,26949.0
1993-09-01,26664.0
1993-10-01,26664.0
1993-11-01,26678.0
1993-12-01,26646.0
1994-01-01,27341.0
1994-02-01,27477.0
1994-03-01,27331.0
1994-04-01,27249.0
1994-05-01,27545.0
1994-06-01,28587.0
1994-07-01,27632.0
1994-08-01,27541.0
1994-09-01,27362.0
1994-10-01,27410.0
1994-11-01,27461.0
1994-12-01,27176.0
1995-01-01,27410.0
1995-02-01,27417.0
1995-03-01,27112.0
1995-04-01,27198.0
1995-05-01,27236.0
1995-06-01,28168.0
1995-07-01,28281.0
1995-08-01,27680.0
1995-09-01,27248.0
1995-10-01,27371.0
1995-11-01,27195.0
1995-12-01,26988.0
1996-01-01,27225.0
1996-02-01,27149.0
1996-03-01,27078.0
1996-04-01,26600.0
1996-05-01,27380.0
1996-06-01,27970.0
1996-07-01,27524.0
1996-08-01,27565.0
1996-09-01,27028.0
1996-10-01,27148.0
1996-11-01,27019.0
1996-12-01,27003.0
1997-01-01,27290.0
1997-02-01,27155.0
1997-03-01,27182.0
1997-04-01,27123.0
1997-05-01,27648.0
1997-06-01,28375.0
1997-07-01,27917.0
