DATE,VALUE
1960-01-01,611.092430213
1961-01-01,620.876469481
1962-01-01,665.090640538
1963-01-01,706.856992264
1964-01-01,687.608216297
1965-01-01,714.610572489
1966-01-01,692.345916899
1967-01-01,674.45794251
1968-01-01,658.89147691
1969-01-01,606.034194501
1970-01-01,607.677904494
1971-01-01,624.719939848
1972-01-01,576.249686203
1973-01-01,464.865314921
1974-01-01,491.649686031
1975-01-01,464.581847739
1976-01-01,454.560925459
1977-01-01,475.960525876
1978-01-01,524.776436134
1979-01-01,546.512138669
1980-01-01,519.565292156
1981-01-01,508.521565296
1982-01-01,502.863576124
1983-01-01,466.125066434
1984-01-01,377.257301012
1985-01-01,395.333650706
1986-01-01,408.90585086
1987-01-01,397.794141104
1988-01-01,413.113376813
1989-01-01,404.717450274
1990-01-01,387.36749827
1991-01-01,384.578227653
1992-01-01,347.870548153
1993-01-01,341.185869637
1994-01-01,342.813096027
1995-01-01,339.616817753
1996-01-01,338.926310398
1997-01-01,335.892246077
1998-01-01,357.614213788
1999-01-01,342.805474497
2000-01-01,325.836474152
2001-01-01,336.461656831
2002-01-01,334.106869958
2003-01-01,339.155617049
2004-01-01,327.23559013
2005-01-01,329.550468421
2006-01-01,335.956651321
2007-01-01,333.835552049
2008-01-01,352.322220484
2009-01-01,336.707755245
2010-01-01,351.006218347
2011-01-01,345.249725618
2012-01-01,370.94808045
2013-01-01,375.111175576
2014-01-01,385.696976682
2015-01-01,383.830732135
