DATE,VALUE
1979-01-01,2400.04238304
1980-01-01,2070.2625124
1981-01-01,2103.64822962
1982-01-01,2273.99023693
1983-01-01,2529.90642055
1984-01-01,2710.34162981
1985-01-01,2675.2521695
1986-01-01,2611.23039887
1987-01-01,2478.12296331
1988-01-01,2379.0850908
1989-01-01,2356.6698795
1990-01-01,2564.67147541
1991-01-01,2572.44959123
1992-01-01,2563.25650973
1993-01-01,2508.61908318
1994-01-01,2662.58630215
1995-01-01,2625.14716704
1996-01-01,2630.5150544
1997-01-01,2709.26402521
1998-01-01,2777.08520125
1999-01-01,2736.1082524
2000-01-01,2840.00920349
2001-01-01,2679.68385597
2002-01-01,2481.51013717
2003-01-01,2522.93549441
2004-01-01,2556.88690859
2005-01-01,2625.20637504
2006-01-01,2777.59587648
2007-01-01,2850.68416663
2008-01-01,2962.07394849
2009-01-01,2987.97401093
2010-01-01,2965.75223012
2011-01-01,2932.81145383
2012-01-01,2916.48615498
2013-01-01,2907.34607487
2014-01-01,2908.64655294
