DATE,VALUE
1998-01-01,1280632.0
1998-04-01,1279372.0
1998-07-01,1267940.0
1998-10-01,1325380.0
1999-01-01,1283848.0
1999-04-01,1292820.0
1999-07-01,1331592.0
1999-10-01,1385740.0
2000-01-01,1422592.0
2000-04-01,1507460.0
2000-07-01,1516380.0
2000-10-01,1548140.0
2001-01-01,1667308.0
2001-04-01,1691572.0
2001-07-01,1775364.0
2001-10-01,1751048.0
2002-01-01,1729528.0
2002-04-01,1761164.0
2002-07-01,1704972.0
2002-10-01,1740520.0
2003-01-01,1575968.0
2003-04-01,1661936.0
2003-07-01,1600392.0
2003-10-01,1601776.0
2004-01-01,1645316.0
2004-04-01,1690340.0
2004-07-01,1683072.0
2004-10-01,1681096.0
2005-01-01,1729108.0
2005-04-01,1771380.0
2005-07-01,1796588.0
2005-10-01,1804976.0
2006-01-01,1889108.0
2006-04-01,1835392.0
2006-07-01,1823728.0
2006-10-01,1790692.0
2007-01-01,1854976.0
2007-04-01,1850892.0
2007-07-01,1871116.0
2007-10-01,1878700.0
2008-01-01,1876484.0
2008-04-01,1912352.0
2008-07-01,1907992.0
2008-10-01,1855680.0
2009-01-01,1690532.0
2009-04-01,1787360.0
2009-07-01,1801864.0
2009-10-01,1803540.0
2010-01-01,1610308.0
2010-04-01,1633348.0
2010-07-01,1635976.0
2010-10-01,1598412.0
2011-01-01,1592368.0
2011-04-01,1634976.0
2011-07-01,1622060.0
2011-10-01,1732564.0
2012-01-01,1652132.0
2012-04-01,1668424.0
2012-07-01,1679784.0
2012-10-01,1674080.0
2013-01-01,1765388.0
2013-04-01,1752296.0
2013-07-01,1744692.0
2013-10-01,1766316.0
2014-01-01,1884888.0
2014-04-01,1892952.0
2014-07-01,1894072.0
2014-10-01,1890804.0
2015-01-01,1841708.0
2015-04-01,1910972.0
2015-07-01,1893840.0
2015-10-01,1909508.0
2016-01-01,1924284.0
2016-04-01,1968770.0
