DATE,VALUE
1970-01-01,28.603
1971-01-01,29.7
1972-01-01,30.1
1973-01-01,30.4
1974-01-01,31.2
1975-01-01,31.9
1976-01-01,32.0
1977-01-01,32.2
1978-01-01,32.7
1979-01-01,33.2
1980-01-01,32.87
1981-01-01,33.11
1982-01-01,33.412
1983-01-01,33.567
1984-01-01,34.407
1985-01-01,34.591
1986-01-01,34.824
1987-01-01,34.875
1988-01-01,35.619
1989-01-01,36.034
1990-01-01,36.251
1991-01-01,36.482
1992-01-01,36.668
1993-01-01,38.323
1994-01-01,40.938
1995-01-01,41.127
1996-01-01,41.635
1997-01-01,41.516
1998-01-01,41.041
1999-01-01,41.531
2000-01-01,41.606
2001-01-01,41.918
2002-01-01,42.016
2003-01-01,42.075
2004-01-01,42.543
2005-01-01,42.76
2006-01-01,43.556
2007-01-01,43.589
2008-01-01,43.647
2009-01-01,43.243
2010-01-01,44.973
2011-01-01,45.061
2012-01-01,45.135
2013-01-01,44.73
2014-01-01,44.908
2015-01-01,44.954
