DATE,VALUE
1970-01-01,29.581
1971-01-01,31.1
1972-01-01,31.3
1973-01-01,31.7
1974-01-01,31.8
1975-01-01,32.7
1976-01-01,33.5
1977-01-01,33.9
1978-01-01,34.8
1979-01-01,35.6
1980-01-01,35.237
1981-01-01,35.408
1982-01-01,35.512
1983-01-01,36.044
1984-01-01,36.509
1985-01-01,36.686
1986-01-01,36.976
1987-01-01,37.536
1988-01-01,38.421
1989-01-01,39.359
1990-01-01,40.215
1991-01-01,41.36
1992-01-01,42.593
1993-01-01,43.449
1994-01-01,44.188
1995-01-01,44.791
1996-01-01,45.629
1997-01-01,46.219
1998-01-01,46.545
1999-01-01,47.133
2000-01-01,47.842
2001-01-01,47.96
2002-01-01,48.265
2003-01-01,48.825
2004-01-01,49.254
2005-01-01,50.106
2006-01-01,51.518
2007-01-01,51.765
2008-01-01,51.222
2009-01-01,51.9
2010-01-01,52.903
2011-01-01,52.237
2012-01-01,51.699
2013-01-01,51.64
2014-01-01,51.436
2015-01-01,51.198
