DATE,VALUE
1970-01-01,3956.715946
1971-01-01,4286.29374
1972-01-01,4652.017753
1973-01-01,5099.331943
1974-01-01,5563.320497
1975-01-01,6104.501584
1976-01-01,6780.633152
1977-01-01,7491.892389
1978-01-01,8351.674657
1979-01-01,9406.284056
1980-01-01,10317.59703
1981-01-01,11078.91675
1982-01-01,11669.11472
1983-01-01,12362.59946
1984-01-01,13097.07536
1985-01-01,13772.16327
1986-01-01,14873.43832
1987-01-01,15748.16163
1988-01-01,16814.40066
1989-01-01,17828.50505
1990-01-01,19396.41919
1991-01-01,20792.9736
1992-01-01,21667.66128
1993-01-01,21798.24518
1994-01-01,22717.66318
1995-01-01,23595.66886
1996-01-01,24052.85716
1997-01-01,24645.20567
1998-01-01,25364.53045
1999-01-01,26240.92118
2000-01-01,27271.04326
2001-01-01,28220.67767
2002-01-01,28795.97353
2003-01-01,29426.48196
2004-01-01,30613.85587
2005-01-01,31749.5481
2006-01-01,33935.53103
2007-01-01,36310.52382
2008-01-01,37870.38186
2009-01-01,36650.4183
2010-01-01,38310.78749
