DATE,VALUE
1954-01-01,370.7061125
1955-01-01,315.0381118
1956-01-01,444.3285527
1957-01-01,431.3108297
1958-01-01,476.4369327
1959-01-01,572.0776893
1960-01-01,598.0887976
1961-01-01,689.5233954
1962-01-01,673.4814039
1963-01-01,689.2557554
1964-01-01,780.6565407
1965-01-01,847.5997436
1966-01-01,853.9230478
1967-01-01,864.9968065
1968-01-01,851.1144925
1969-01-01,872.4623445
1970-01-01,775.2901899
1971-01-01,821.4040112
1972-01-01,877.7702866
1973-01-01,825.5325719
1974-01-01,927.0016929
1975-01-01,975.7897971
1976-01-01,1179.350002
1977-01-01,1449.20163
1978-01-01,1609.335565
1979-01-01,2118.518296
1980-01-01,2553.833235
1981-01-01,3157.291527
1982-01-01,3097.27164
1983-01-01,2980.184182
1984-01-01,3232.717397
1985-01-01,2919.703663
1986-01-01,2990.757484
1987-01-01,3342.435196
1988-01-01,3481.949877
1989-01-01,3598.889419
1990-01-01,2980.455569
1991-01-01,2409.590138
1992-01-01,2722.840246
1993-01-01,2866.05302
1994-01-01,3064.184282
1995-01-01,3185.407599
1996-01-01,3102.808407
1997-01-01,3139.318024
1998-01-01,3154.270598
1999-01-01,3249.798577
2000-01-01,3335.356429
2001-01-01,3472.331673
2002-01-01,3656.67674
2003-01-01,3641.994651
2004-01-01,3859.965122
2005-01-01,4241.616627
2006-01-01,4515.273642
2007-01-01,4545.399488
2008-01-01,5397.534563
2009-01-01,5658.121341
2010-01-01,5796.570777
