DATE,VALUE
1986-01-01,10413.60071
1987-01-01,12012.09438
1988-01-01,10864.41051
1989-01-01,13476.13826
1990-01-01,11022.40772
1991-01-01,18788.76533
1992-01-01,18597.79785
1993-01-01,21787.85562
1994-01-01,21302.84661
1995-01-01,21562.6079
1996-01-01,23703.20166
1997-01-01,22369.27352
1998-01-01,19405.5512
1999-01-01,21347.4759
2000-01-01,25660.7273
2001-01-01,23662.89435
2002-01-01,25439.27474
2003-01-01,30396.2248
2004-01-01,37684.54874
2005-01-01,49766.22558
2006-01-01,61775.87868
2007-01-01,64427.28294
2008-01-01,77841.83224
2009-01-01,49780.31866
2010-01-01,51946.52351
