DATE,VALUE
1977-01-01,495.434876627
1978-01-01,608.445285802
1979-01-01,591.224263764
1980-01-01,784.725066805
1981-01-01,878.509304673
1982-01-01,958.544202046
1983-01-01,1069.24313732
1984-01-01,1210.64672319
1985-01-01,1338.74502233
1986-01-01,1534.73566717
1987-01-01,1745.9118107
1988-01-01,2003.91207682
1989-01-01,2152.86027014
1990-01-01,2344.94444063
1991-01-01,2546.78307175
1992-01-01,2701.67172747
1993-01-01,2814.66912406
1994-01-01,3018.82048218
1995-01-01,3139.22447462
1996-01-01,3323.36941316
1997-01-01,3473.64855476
1998-01-01,3676.51662531
1999-01-01,3830.22997929
2000-01-01,4819.89995384
2001-01-01,4925.62969151
2002-01-01,4837.63193389
2003-01-01,4997.16258014
2004-01-01,5329.13579613
2005-01-01,5250.35256117
2006-01-01,5522.28561848
2007-01-01,5953.54871787
2008-01-01,6463.62421732
2009-01-01,6891.46079667
2010-01-01,6937.25608363
2011-01-01,7023.35342822
2012-01-01,6768.29441564
2013-01-01,7036.54838784
2014-01-01,7251.83505896
2015-01-01,7399.25395952
