DATE,VALUE
1959-01-01,133.5174119
1960-01-01,142.2324098
1961-01-01,142.3201741
1962-01-01,139.6525694
1963-01-01,147.7893108
1964-01-01,149.4222035
1965-01-01,154.2331866
1966-01-01,165.7791241
1967-01-01,182.3457603
1968-01-01,191.7102815
1969-01-01,197.1469843
1970-01-01,204.2733833
1971-01-01,209.051561
1972-01-01,248.427799
1973-01-01,259.0310066
1974-01-01,295.7618644
1975-01-01,332.9507147
1976-01-01,323.8927831
1977-01-01,373.0316809
1978-01-01,378.5989739
1979-01-01,443.4960656
1980-01-01,510.4725998
1981-01-01,570.0353674
1982-01-01,773.222339
1983-01-01,705.0005285
1984-01-01,699.8303618
1985-01-01,757.5959269
1986-01-01,809.0859815
1987-01-01,778.7999058
1988-01-01,818.6361636
1989-01-01,731.7470193
1990-01-01,822.4648678
1991-01-01,886.2025959
1992-01-01,901.3416665
1993-01-01,914.3754046
1994-01-01,836.6737793
1995-01-01,934.7221761
1996-01-01,930.0166406
1997-01-01,975.3454857
1998-01-01,988.101538
1999-01-01,1032.170273
2000-01-01,1068.917861
2001-01-01,1129.08885
2002-01-01,1154.654955
2003-01-01,1226.879683
2004-01-01,1235.776294
2005-01-01,1231.086477
2006-01-01,1308.695326
2007-01-01,1350.717794
2008-01-01,1411.852393
2009-01-01,1431.107065
2010-01-01,1434.600693
