DATE,VALUE
1950-01-01,1519.406733
1951-01-01,1537.404193
1952-01-01,1485.910206
1953-01-01,1632.897759
1954-01-01,1822.91114
1955-01-01,1949.642779
1956-01-01,2143.153594
1957-01-01,2215.449928
1958-01-01,2119.879213
1959-01-01,2246.639998
1960-01-01,2484.138966
1961-01-01,2506.470717
1962-01-01,2664.367858
1963-01-01,2780.85262
1964-01-01,3038.99072
1965-01-01,3199.904378
1966-01-01,3344.099828
1967-01-01,3578.717186
1968-01-01,3918.116805
1969-01-01,4311.27048
1970-01-01,4807.539159
1971-01-01,5099.246406
1972-01-01,5300.084143
1973-01-01,5852.630203
1974-01-01,6597.166796
1975-01-01,7171.151725
1976-01-01,7906.970924
1977-01-01,8762.062886
1978-01-01,9682.489425
1979-01-01,10547.70289
1980-01-01,11640.89977
1981-01-01,11948.35924
1982-01-01,12379.32191
1983-01-01,13057.24931
1984-01-01,13764.93858
1985-01-01,14492.30473
1986-01-01,15244.57101
1987-01-01,15917.68373
1988-01-01,16853.44231
1989-01-01,18041.42771
1990-01-01,19247.65781
1991-01-01,20165.31982
1992-01-01,20785.07979
1993-01-01,20895.94539
1994-01-01,21701.80366
1995-01-01,22730.97291
1996-01-01,23890.73696
1997-01-01,25184.22462
1998-01-01,26445.80843
1999-01-01,27964.92579
2000-01-01,29213.04013
2001-01-01,30299.3098
2002-01-01,30467.93633
2003-01-01,31119.17207
2004-01-01,31970.90481
2005-01-01,33416.33335
2006-01-01,35772.68793
2007-01-01,37915.73213
2008-01-01,39880.28134
2009-01-01,38746.90378
2010-01-01,39397.01483
