DATE,VALUE
1969-01-01,3003.0
1970-01-01,3109.0
1971-01-01,3264.0
1972-01-01,3711.0
1973-01-01,4960.0
1974-01-01,4798.0
1975-01-01,5980.0
1976-01-01,5229.0
1977-01-01,4735.0
1978-01-01,6183.0
1979-01-01,6928.0
1980-01-01,7928.0
1981-01-01,11025.0
1982-01-01,12543.0
1983-01-01,11730.0
1984-01-01,10307.0
1985-01-01,10472.0
1986-01-01,10771.0
1987-01-01,11530.0
1988-01-01,12692.0
1989-01-01,14639.0
1990-01-01,15246.0
1991-01-01,17793.0
1992-01-01,17687.0
1993-01-01,18479.0
1994-01-01,17872.0
1995-01-01,17999.0
1996-01-01,17377.0
1997-01-01,18753.0
1998-01-01,19992.0
1999-01-01,20928.0
2000-01-01,21973.0
2001-01-01,24333.0
2002-01-01,24205.0
2003-01-01,26864.0
2004-01-01,28044.0
2005-01-01,29287.0
2006-01-01,30191.0
2007-01-01,30971.0
2008-01-01,32640.0
2009-01-01,32220.0
2010-01-01,33446.0
2011-01-01,34553.0
2012-01-01,35411.0
2013-01-01,34814.0
2014-01-01,35776.0
