DATE,VALUE
1983-06-01,100.0
1983-07-01,100.0
1983-08-01,101.6
1983-09-01,101.6
1983-10-01,103.3
1983-11-01,102.6
1983-12-01,103.1
1984-01-01,103.7
1984-02-01,104.0
1984-03-01,104.4
1984-04-01,104.6
1984-05-01,104.7
1984-06-01,106.3
1984-07-01,106.8
1984-08-01,107.0
1984-09-01,106.3
1984-10-01,106.8
1984-11-01,108.8
1984-12-01,109.1
1985-01-01,110.4
1985-02-01,110.5
1985-03-01,110.4
1985-04-01,110.7
1985-05-01,110.9
1985-06-01,114.1
1985-07-01,114.1
1985-08-01,115.0
1985-09-01,115.1
1985-10-01,115.5
1985-11-01,115.3
1985-12-01,115.6
1986-01-01,115.6
1986-02-01,115.6
1986-03-01,115.6
1986-04-01,115.8
1986-05-01,116.2
1986-06-01,117.7
1986-07-01,118.2
1986-08-01,118.6
1986-09-01,119.1
1986-10-01,119.1
1986-11-01,119.1
1986-12-01,119.2
1987-01-01,119.1
1987-02-01,119.1
1987-03-01,119.2
1987-04-01,119.2
1987-05-01,120.0
1987-06-01,120.7
1987-07-01,122.1
1987-08-01,122.9
1987-09-01,122.9
1987-10-01,123.1
1987-11-01,123.8
1987-12-01,125.1
1988-01-01,125.7
1988-02-01,126.8
1988-03-01,126.9
1988-04-01,127.1
1988-05-01,127.9
1988-06-01,127.9
1988-07-01,128.1
1988-08-01,128.4
1988-09-01,128.8
1988-10-01,128.8
1988-11-01,129.0
1988-12-01,129.2
1989-01-01,133.1
1989-02-01,133.7
1989-03-01,134.0
1989-04-01,134.3
1989-05-01,134.4
1989-06-01,135.1
1989-07-01,136.1
1989-08-01,139.4
1989-09-01,139.6
1989-10-01,139.5
1989-11-01,139.6
1989-12-01,139.6
1990-01-01,140.0
1990-02-01,142.7
1990-03-01,143.2
1990-04-01,143.3
1990-05-01,143.6
1990-06-01,144.5
1990-07-01,144.5
1990-08-01,144.7
1990-09-01,145.0
1990-10-01,144.9
1990-11-01,145.0
1990-12-01,145.4
1991-01-01,150.5
1991-02-01,150.1
1991-03-01,150.6
1991-04-01,150.6
1991-05-01,150.9
1991-06-01,150.7
1991-07-01,150.7
1991-08-01,151.0
1991-09-01,151.0
1991-10-01,150.8
1991-11-01,151.0
1991-12-01,152.3
1992-01-01,153.6
1992-02-01,153.8
1992-03-01,153.6
1992-04-01,153.8
1992-05-01,153.9
1992-06-01,154.0
1992-07-01,153.4
1992-08-01,153.6
1992-09-01,153.6
1992-10-01,153.4
1992-11-01,153.5
1992-12-01,153.5
1993-01-01,154.4
1993-02-01,154.3
1993-03-01,154.6
1993-04-01,154.5
1993-05-01,154.7
1993-06-01,154.6
1993-07-01,155.2
1993-08-01,155.1
1993-09-01,155.5
1993-10-01,155.4
1993-11-01,155.5
1993-12-01,155.3
1994-01-01,155.9
1994-02-01,155.8
1994-03-01,156.5
1994-04-01,156.8
1994-05-01,156.9
1994-06-01,157.8
1994-07-01,158.2
1994-08-01,158.2
1994-09-01,158.0
1994-10-01,158.6
1994-11-01,158.7
1994-12-01,158.7
1995-01-01,158.5
1995-02-01,158.8
1995-03-01,158.7
1995-04-01,159.2
1995-05-01,159.5
1995-06-01,160.0
1995-07-01,160.0
1995-08-01,160.5
1995-09-01,161.8
1995-10-01,161.9
1995-11-01,162.0
1995-12-01,162.8
1996-01-01,162.9
1996-02-01,163.0
1996-03-01,161.7
1996-04-01,162.0
1996-05-01,163.2
1996-06-01,163.3
1996-07-01,163.7
1996-08-01,165.2
1996-09-01,165.2
1996-10-01,168.6
1996-11-01,168.8
1996-12-01,169.0
1997-01-01,169.2
1997-02-01,169.3
1997-03-01,169.6
1997-04-01,169.7
1997-05-01,169.7
1997-06-01,169.4
1997-07-01,169.5
1997-08-01,169.8
1997-09-01,170.6
1997-10-01,170.9
1997-11-01,171.0
1997-12-01,171.0
1998-01-01,172.3
1998-02-01,172.5
1998-03-01,172.5
1998-04-01,172.5
1998-05-01,172.5
1998-06-01,172.1
1998-07-01,172.0
1998-08-01,172.0
1998-09-01,172.2
1998-10-01,172.8
1998-11-01,172.9
1998-12-01,172.9
1999-01-01,173.4
1999-02-01,173.5
1999-03-01,173.5
1999-04-01,173.4
1999-05-01,173.4
1999-06-01,173.4
1999-07-01,173.3
1999-08-01,173.3
1999-09-01,173.0
1999-10-01,172.8
1999-11-01,173.0
1999-12-01,173.0
2000-01-01,173.0
2000-02-01,173.4
2000-03-01,173.4
2000-04-01,173.6
2000-05-01,173.6
2000-06-01,173.4
2000-07-01,173.9
2000-08-01,175.7
2000-09-01,175.8
2000-10-01,175.8
2000-11-01,175.1
2000-12-01,175.1
2001-01-01,175.3
2001-02-01,175.3
2001-03-01,175.7
2001-04-01,175.8
2001-05-01,176.2
2001-06-01,176.1
2001-07-01,175.9
2001-08-01,175.9
2001-09-01,175.3
2001-10-01,175.7
2001-11-01,175.9
2001-12-01,176.2
2002-01-01,177.0
2002-02-01,177.3
2002-03-01,177.2
2002-04-01,177.3
2002-05-01,177.3
2002-06-01,177.4
2002-07-01,177.4
2002-08-01,177.6
2002-09-01,177.8
2002-10-01,177.9
2002-11-01,178.0
2002-12-01,178.1
2003-01-01,183.1
2003-02-01,184.0
2003-03-01,183.8
2003-04-01,184.0
2003-05-01,184.4
2003-06-01,184.4
2003-07-01,184.4
2003-08-01,184.4
2003-09-01,185.0
2003-10-01,185.1
2003-11-01,185.2
2003-12-01,185.2
2004-01-01,185.2
2004-02-01,185.4
2004-03-01,185.5
2004-04-01,185.5
2004-05-01,185.6
2004-06-01,185.9
2004-07-01,185.8
2004-08-01,185.9
2004-09-01,186.0
2004-10-01,186.1
2004-11-01,186.1
2004-12-01,186.1
2005-01-01,186.4
2005-02-01,186.3
2005-03-01,186.6
2005-04-01,186.6
2005-05-01,186.6
2005-06-01,186.8
2005-07-01,187.1
2005-08-01,187.1
2005-09-01,187.0
2005-10-01,187.0
