DATE,VALUE
1991-06-01,100.0
2001-01-01,97.8
2001-02-01,97.8
2001-03-01,97.8
2001-04-01,97.8
2001-05-01,100.6
2001-06-01,100.7
2001-07-01,100.7
2001-08-01,100.7
2001-09-01,100.7
2001-10-01,100.7
2001-11-01,100.7
2001-12-01,100.7
2002-01-01,100.7
2002-02-01,100.7
2002-03-01,100.7
2002-04-01,100.7
2002-05-01,100.7
2002-06-01,100.7
2002-07-01,100.7
2002-08-01,100.7
2002-09-01,100.7
2002-10-01,100.7
2002-11-01,100.7
2002-12-01,100.7
2003-01-01,100.7
2003-02-01,100.7
2003-03-01,100.7
2003-04-01,100.7
2003-05-01,100.7
2003-06-01,100.7
2003-07-01,100.7
2003-08-01,100.7
2003-09-01,100.7
2003-10-01,100.7
2003-11-01,100.7
2003-12-01,100.7
2004-01-01,100.7
2004-02-01,100.7
2004-03-01,100.7
2004-04-01,100.7
2004-05-01,100.7
2004-06-01,100.7
2004-07-01,100.7
2004-08-01,100.7
2004-09-01,100.7
2004-10-01,100.7
2004-11-01,100.7
2004-12-01,100.6
2011-07-01,153.6
2011-08-01,146.9
2011-09-01,146.9
2011-10-01,148.7
2011-11-01,151.6
2011-12-01,150.5
2012-01-01,150.5
2012-02-01,159.3
2012-03-01,159.3
2012-04-01,159.3
2012-05-01,157.5
2012-06-01,157.5
2012-07-01,157.5
2012-08-01,157.5
2012-09-01,157.5
2012-10-01,157.5
2012-11-01,157.5
2012-12-01,157.5
