DATE,VALUE
2010-12-01,100.0
2011-01-01,100.0
2011-02-01,99.6
2011-03-01,99.7
2011-04-01,99.8
2011-05-01,99.8
2011-06-01,99.8
2011-07-01,99.8
2011-08-01,99.9
2011-09-01,99.9
2011-10-01,100.0
2011-11-01,100.1
2011-12-01,100.2
2012-01-01,100.3
2012-02-01,100.3
2012-03-01,100.4
2012-04-01,100.4
2012-05-01,100.5
2012-06-01,100.5
2012-07-01,100.5
2012-08-01,100.6
2012-09-01,100.6
2012-10-01,100.6
2012-11-01,100.6
2012-12-01,100.6
2013-01-01,100.6
2013-02-01,100.6
2013-03-01,100.8
2013-04-01,101.1
2013-05-01,101.1
2013-06-01,101.1
2013-07-01,101.4
2013-08-01,101.5
2013-09-01,101.6
2013-10-01,101.7
2013-11-01,101.7
2013-12-01,101.8
2014-01-01,102.2
2014-02-01,102.4
2014-03-01,102.5
2014-04-01,102.8
2014-05-01,102.8
2014-06-01,102.9
2014-07-01,102.9
2014-08-01,103.1
2014-09-01,103.4
2014-10-01,103.5
2014-11-01,103.5
2014-12-01,103.8
2015-01-01,104.2
2015-02-01,104.2
2015-03-01,104.2
2015-04-01,104.3
2015-05-01,104.3
2015-06-01,104.4
2015-07-01,104.5
2015-08-01,104.5
2015-09-01,104.7
2015-10-01,104.6
2015-11-01,104.6
2015-12-01,104.8
2016-01-01,105.0
2016-02-01,105.0
2016-03-01,105.1
2016-04-01,105.7
2016-05-01,105.8
2016-06-01,105.9
2016-07-01,105.9
2016-08-01,106.1
2016-09-01,106.1
