DATE,VALUE
1960-01-01,5.754761228
1961-01-01,5.46470602
1962-01-01,5.751838362
1963-01-01,4.900846505
1964-01-01,4.091880335
1965-01-01,4.21592547
1966-01-01,4.13688378
1967-01-01,4.130214898
1968-01-01,3.956250397
1969-01-01,4.176245165
1970-01-01,4.41336583
1971-01-01,4.298804021
1972-01-01,4.291246682
1973-01-01,4.103534604
1974-01-01,4.222596636
1975-01-01,4.356631748
1976-01-01,4.636815749
1977-01-01,4.647070564
1978-01-01,4.337209496
1979-01-01,4.503715683
1980-01-01,4.573510695
1981-01-01,5.137824229
1982-01-01,4.793663589
1983-01-01,4.669727323
1984-01-01,4.134076091
1985-01-01,4.124249535
1986-01-01,4.104157306
1987-01-01,3.760087022
1988-01-01,3.586450228
1989-01-01,3.594767746
1990-01-01,3.394714873
1991-01-01,3.107495911
1992-01-01,3.166004005
1993-01-01,2.699720544
1994-01-01,1.377698409
1995-01-01,1.971970598
1996-01-01,1.871086209
1997-01-01,1.79500209
1998-01-01,1.765596767
1999-01-01,1.719625267
2000-01-01,1.612837599
2001-01-01,1.685726596
2002-01-01,1.825015684
2003-01-01,1.768623076
2004-01-01,1.826778698
2005-01-01,1.915835805
2006-01-01,2.073825943
2007-01-01,2.167274992
2008-01-01,2.324485881
2009-01-01,2.561221537
2010-01-01,2.632311504
