DATE,VALUE
1990-01-01,2474.2
1990-02-01,2485.4
1990-03-01,2502.9
1990-04-01,2498.7
1990-05-01,2509.5
1990-06-01,2520.9
1990-07-01,2492.3
1990-08-01,2488.4
1990-09-01,2497.8
1990-10-01,2499.8
1990-11-01,2506.7
1990-12-01,2508.8
1991-01-01,2418.9
1991-02-01,2420.9
1991-03-01,2429.5
1991-04-01,2436.5
1991-05-01,2442.6
1991-06-01,2443.5
1991-07-01,2394.4
1991-08-01,2386.2
1991-09-01,2407.5
1991-10-01,2422.9
1991-11-01,2433.6
1991-12-01,2436.4
1992-01-01,2364.5
1992-02-01,2367.5
1992-03-01,2376.4
1992-04-01,2393.3
1992-05-01,2402.9
1992-06-01,2409.1
1992-07-01,2388.3
1992-08-01,2376.4
1992-09-01,2386.7
1992-10-01,2421.9
1992-11-01,2429.8
1992-12-01,2439.9
1993-01-01,2370.7
1993-02-01,2381.3
1993-03-01,2385.6
1993-04-01,2406.3
1993-05-01,2420.5
1993-06-01,2424.7
1993-07-01,2408.2
1993-08-01,2401.3
1993-09-01,2411.3
1993-10-01,2434.4
1993-11-01,2447.1
1993-12-01,2463.0
1994-01-01,2385.0
1994-02-01,2390.8
1994-03-01,2414.9
1994-04-01,2440.1
1994-05-01,2452.6
1994-06-01,2463.5
1994-07-01,2435.4
1994-08-01,2435.7
1994-09-01,2456.8
1994-10-01,2475.7
1994-11-01,2490.5
1994-12-01,2506.5
1995-01-01,2421.2
1995-02-01,2431.1
1995-03-01,2447.4
1995-04-01,2464.4
1995-05-01,2475.6
1995-06-01,2487.1
1995-07-01,2448.7
1995-08-01,2456.2
1995-09-01,2479.1
1995-10-01,2503.2
1995-11-01,2520.6
1995-12-01,2530.8
1996-01-01,2432.3
1996-02-01,2464.2
1996-03-01,2484.7
1996-04-01,2515.7
1996-05-01,2536.1
1996-06-01,2539.2
1996-07-01,2509.0
1996-08-01,2511.7
1996-09-01,2527.0
1996-10-01,2551.0
1996-11-01,2569.6
1996-12-01,2583.4
1997-01-01,2510.3
1997-02-01,2527.4
1997-03-01,2548.3
1997-04-01,2567.4
1997-05-01,2584.0
1997-06-01,2594.2
1997-07-01,2569.7
1997-08-01,2573.9
1997-09-01,2599.7
1997-10-01,2623.1
1997-11-01,2644.7
1997-12-01,2663.5
1998-01-01,2584.2
1998-02-01,2601.7
1998-03-01,2617.8
1998-04-01,2635.7
1998-05-01,2651.9
1998-06-01,2651.9
1998-07-01,2631.7
1998-08-01,2632.1
1998-09-01,2651.3
1998-10-01,2674.5
1998-11-01,2691.8
1998-12-01,2710.2
1999-01-01,2634.5
1999-02-01,2651.7
1999-03-01,2674.1
1999-04-01,2701.1
1999-05-01,2710.8
1999-06-01,2724.2
1999-07-01,2693.4
1999-08-01,2690.8
1999-09-01,2700.6
1999-10-01,2729.9
1999-11-01,2747.8
1999-12-01,2769.6
2000-01-01,2687.1
2000-02-01,2697.5
2000-03-01,2725.7
2000-04-01,2747.3
2000-05-01,2758.2
2000-06-01,2768.1
2000-07-01,2728.4
2000-08-01,2718.8
2000-09-01,2749.0
2000-10-01,2763.6
2000-11-01,2787.0
2000-12-01,2806.5
2001-01-01,2717.5
2001-02-01,2729.1
2001-03-01,2746.7
2001-04-01,2759.5
2001-05-01,2768.6
2001-06-01,2779.0
2001-07-01,2733.2
2001-08-01,2728.5
2001-09-01,2743.4
2001-10-01,2755.1
2001-11-01,2773.3
2001-12-01,2781.5
2002-01-01,2704.6
2002-02-01,2715.4
2002-03-01,2733.4
2002-04-01,2741.3
2002-05-01,2751.8
2002-06-01,2764.7
2002-07-01,2716.7
2002-08-01,2712.0
2002-09-01,2733.9
2002-10-01,2753.8
2002-11-01,2770.8
2002-12-01,2775.8
2003-01-01,2692.1
2003-02-01,2693.5
2003-03-01,2713.5
2003-04-01,2731.2
2003-05-01,2742.8
2003-06-01,2750.4
2003-07-01,2713.7
2003-08-01,2704.4
2003-09-01,2726.1
2003-10-01,2748.3
2003-11-01,2762.2
2003-12-01,2767.2
2004-01-01,2686.9
2004-02-01,2698.0
2004-03-01,2721.2
2004-04-01,2740.8
2004-05-01,2753.7
2004-06-01,2765.6
