DATE,VALUE
1969-01-01,31069.0
1970-01-01,37673.0
1971-01-01,41489.0
1972-01-01,45038.0
1973-01-01,56365.0
1974-01-01,56318.0
1975-01-01,53354.0
1976-01-01,54102.0
1977-01-01,55383.0
1978-01-01,54664.0
1979-01-01,67482.0
1980-01-01,66327.0
1981-01-01,84538.0
1982-01-01,99734.0
1983-01-01,98352.0
1984-01-01,112630.0
1985-01-01,107108.0
1986-01-01,118675.0
1987-01-01,127854.0
1988-01-01,129972.0
1989-01-01,131644.0
1990-01-01,140193.0
1991-01-01,141851.0
1992-01-01,148818.0
1993-01-01,150022.0
1994-01-01,154526.0
1995-01-01,154146.0
1996-01-01,157444.0
1997-01-01,155184.0
1998-01-01,160305.0
1999-01-01,164366.0
2000-01-01,171047.0
2001-01-01,176610.0
2002-01-01,166569.0
2003-01-01,176922.0
2004-01-01,182906.0
2005-01-01,194283.0
2006-01-01,190637.0
2007-01-01,202230.0
2008-01-01,230422.0
2009-01-01,219365.0
2010-01-01,230960.0
2011-01-01,258008.0
2012-01-01,272250.0
2013-01-01,299655.0
2014-01-01,269644.0
