DATE,VALUE
1990-01-01,46048.0
1990-02-01,46040.0
1990-03-01,45940.0
1990-04-01,45803.0
1990-05-01,45567.0
1990-06-01,45306.0
1990-07-01,45265.0
1990-08-01,45364.0
1990-09-01,45368.0
1990-10-01,45265.0
1990-11-01,45214.0
1990-12-01,45373.0
1991-01-01,45607.0
1991-02-01,45649.0
1991-03-01,45707.0
1991-04-01,45920.0
1991-05-01,46036.0
1991-06-01,46009.0
1991-07-01,45863.0
1991-08-01,45674.0
1991-09-01,45581.0
1991-10-01,45506.0
1991-11-01,45362.0
1991-12-01,45170.0
1992-01-01,44996.0
1992-02-01,44940.0
1992-03-01,44949.0
1992-04-01,44905.0
1992-05-01,44889.0
1992-06-01,44990.0
1992-07-01,45147.0
1992-08-01,45170.0
1992-09-01,44954.0
1992-10-01,44696.0
1992-11-01,44549.0
1992-12-01,44440.0
1993-01-01,44354.0
1993-02-01,44341.0
1993-03-01,44261.0
1993-04-01,44125.0
1993-05-01,44091.0
1993-06-01,43985.0
1993-07-01,43802.0
1993-08-01,43736.0
1993-09-01,43783.0
1993-10-01,43857.0
1993-11-01,43854.0
1993-12-01,43719.0
1994-01-01,43495.0
1994-02-01,43289.0
1994-03-01,43180.0
1994-04-01,43226.0
1994-05-01,43322.0
1994-06-01,43427.0
1994-07-01,43596.0
1994-08-01,43694.0
1994-09-01,43637.0
1994-10-01,43602.0
1994-11-01,43665.0
1994-12-01,43626.0
1995-01-01,42512.0
1995-02-01,42662.0
1995-03-01,42777.0
1995-04-01,42803.0
1995-05-01,42745.0
1995-06-01,42752.0
1995-07-01,42779.0
1995-08-01,42716.0
1995-09-01,42569.0
1995-10-01,42411.0
1995-11-01,42266.0
1995-12-01,42180.0
1996-01-01,42246.0
1996-02-01,42378.0
1996-03-01,42411.0
1996-04-01,42414.0
1996-05-01,42507.0
1996-06-01,42557.0
1996-07-01,42489.0
1996-08-01,42470.0
1996-09-01,42613.0
1996-10-01,42730.0
1996-11-01,42679.0
1996-12-01,42609.0
1997-01-01,42549.0
1997-02-01,42524.0
1997-03-01,42618.0
1997-04-01,42698.0
1997-05-01,42692.0
1997-06-01,42650.0
1997-07-01,42603.0
1997-08-01,42658.0
1997-09-01,42818.0
1997-10-01,42892.0
1997-11-01,42886.0
1997-12-01,42915.0
1998-01-01,42922.0
1998-02-01,42878.0
1998-03-01,42781.0
1998-04-01,42655.0
1998-05-01,42573.0
1998-06-01,42489.0
1998-07-01,42345.0
1998-08-01,42274.0
1998-09-01,42301.0
1998-10-01,42362.0
1998-11-01,42536.0
1998-12-01,42712.0
1999-01-01,42779.0
1999-02-01,42808.0
1999-03-01,42812.0
1999-04-01,42762.0
1999-05-01,42697.0
1999-06-01,42674.0
1999-07-01,42645.0
1999-08-01,42493.0
1999-09-01,42313.0
1999-10-01,42278.0
1999-11-01,42264.0
1999-12-01,42190.0
2000-01-01,45914.0
2000-02-01,45934.0
2000-03-01,45765.0
2000-04-01,45427.0
2000-05-01,45145.0
2000-06-01,44951.0
2000-07-01,44802.0
2000-08-01,44792.0
2000-09-01,44841.0
2000-10-01,44848.0
2000-11-01,44924.0
2000-12-01,45104.0
2001-01-01,45235.0
2001-02-01,45277.0
2001-03-01,45373.0
2001-04-01,45498.0
2001-05-01,45554.0
2001-06-01,45637.0
2001-07-01,45780.0
2001-08-01,45923.0
2001-09-01,46047.0
2001-10-01,46112.0
2001-11-01,46165.0
2001-12-01,46318.0
2002-01-01,46619.0
2002-02-01,46852.0
2002-03-01,46908.0
2002-04-01,47015.0
2002-05-01,47171.0
2002-06-01,47224.0
2002-07-01,47221.0
2002-08-01,47247.0
2002-09-01,47314.0
2002-10-01,47307.0
2002-11-01,47163.0
2002-12-01,47053.0
2003-01-01,47050.0
2003-02-01,47088.0
2003-03-01,47122.0
2003-04-01,47174.0
2003-05-01,47178.0
2003-06-01,47094.0
2003-07-01,47017.0
2003-08-01,47012.0
2003-09-01,47107.0
2003-10-01,47189.0
2003-11-01,47220.0
2003-12-01,47296.0
2004-01-01,47336.0
2004-02-01,47213.0
2004-03-01,47013.0
2004-04-01,46834.0
2004-05-01,46704.0
2004-06-01,46603.0
2004-07-01,46471.0
2004-08-01,46401.0
2004-09-01,46469.0
2004-10-01,46557.0
2004-11-01,46567.0
2004-12-01,46607.0
2005-01-01,46686.0
2005-02-01,46686.0
2005-03-01,46678.0
2005-04-01,46707.0
2005-05-01,46728.0
2005-06-01,46806.0
2005-07-01,46968.0
2005-08-01,47033.0
2005-09-01,46972.0
2005-10-01,46932.0
2005-11-01,46904.0
2005-12-01,46850.0
2006-01-01,46802.0
2006-02-01,46825.0
2006-03-01,46948.0
2006-04-01,47103.0
2006-05-01,47262.0
2006-06-01,47432.0
2006-07-01,47553.0
2006-08-01,47555.0
2006-09-01,47532.0
2006-10-01,47653.0
2006-11-01,47786.0
2006-12-01,47702.0
2007-01-01,47477.0
2007-02-01,47324.0
2007-03-01,47219.0
2007-04-01,47105.0
2007-05-01,47094.0
2007-06-01,47164.0
2007-07-01,47145.0
2007-08-01,46992.0
2007-09-01,46825.0
2007-10-01,46757.0
2007-11-01,46775.0
2007-12-01,46754.0
2008-01-01,46663.0
2008-02-01,46576.0
2008-03-01,46539.0
2008-04-01,46544.0
2008-05-01,46608.0
2008-06-01,46815.0
2008-07-01,47085.0
2008-08-01,47194.0
2008-09-01,47220.0
2008-10-01,47317.0
2008-11-01,47356.0
2008-12-01,47233.0
2009-01-01,47069.0
2009-02-01,47002.0
2009-03-01,47056.0
2009-04-01,47173.0
2009-05-01,47254.0
2009-06-01,47309.0
2009-07-01,47289.0
2009-08-01,47093.0
2009-09-01,46826.0
2009-10-01,46676.0
2009-11-01,46626.0
2009-12-01,46591.0
2010-01-01,45317.0
2010-02-01,45379.0
2010-03-01,45534.0
2010-04-01,45635.0
2010-05-01,45596.0
2010-06-01,45568.0
2010-07-01,45547.0
2010-08-01,45503.0
2010-09-01,45308.0
2010-10-01,44958.0
2010-11-01,44746.0
2010-12-01,44760.0
2011-01-01,44861.0
2011-02-01,44872.0
2011-03-01,44809.0
2011-04-01,44746.0
2011-05-01,44717.0
2011-06-01,44689.0
2011-07-01,44617.0
2011-08-01,44585.0
2011-09-01,44635.0
2011-10-01,44761.0
2011-11-01,44898.0
2011-12-01,44931.0
2012-01-01,44841.0
2012-02-01,44731.0
2012-03-01,44604.0
2012-04-01,44442.0
2012-05-01,44293.0
2012-06-01,44142.0
2012-07-01,44066.0
2012-08-01,44109.0
2012-09-01,44165.0
2012-10-01,44159.0
2012-11-01,44129.0
2012-12-01,44066.0
2013-01-01,44017.0
2013-02-01,44075.0
2013-03-01,44180.0
2013-04-01,44285.0
2013-05-01,44309.0
2013-06-01,44143.0
2013-07-01,43905.0
2013-08-01,43787.0
2013-09-01,43735.0
2013-10-01,43640.0
2013-11-01,43591.0
2013-12-01,43581.0
2014-01-01,43565.0
2014-02-01,43622.0
2014-03-01,43692.0
2014-04-01,43724.0
2014-05-01,43771.0
2014-06-01,43788.0
2014-07-01,43838.0
2014-08-01,43983.0
2014-09-01,44077.0
2014-10-01,44041.0
2014-11-01,43977.0
2014-12-01,43930.0
2015-01-01,43890.0
2015-02-01,43869.0
2015-03-01,43787.0
2015-04-01,43659.0
2015-05-01,43556.0
2015-06-01,43503.0
2015-07-01,43535.0
2015-08-01,43572.0
2015-09-01,43625.0
2015-10-01,43767.0
2015-11-01,43912.0
2015-12-01,43999.0
2016-01-01,43857.0
2016-02-01,43767.0
2016-03-01,43903.0
2016-04-01,43925.0
2016-05-01,43933.0
2016-06-01,43884.0
2016-07-01,43912.0
2016-08-01,43966.0
