DATE,VALUE
1989-01-01,90.35814949
1990-01-01,91.53280103
1991-01-01,116.8319375
1992-01-01,140.5334738
1993-01-01,168.1374016
1994-01-01,205.9379136
1995-01-01,85.87768855
1996-01-01,43.88099688
1997-01-01,35.53698481
1998-01-01,29.33654252
1999-01-01,32.30719221
2000-01-01,35.00852245
2001-01-01,35.32086996
2002-01-01,35.9221732
2003-01-01,36.52069879
2004-01-01,39.20390895
2005-01-01,40.68805262
2006-01-01,45.34819261
2007-01-01,46.1264183
2008-01-01,49.61129513
2009-01-01,50.59398617
2010-01-01,58.02052506
