DATE,VALUE
1960-01-01,51.02996719
1961-01-01,54.60365043
1962-01-01,58.07636975
1963-01-01,56.73516587
1964-01-01,66.69066082
1965-01-01,80.72260203
1966-01-01,73.72008805
1967-01-01,70.68205341
1968-01-01,65.49420075
1969-01-01,62.68951226
1970-01-01,56.85828751
1971-01-01,55.1101744
1972-01-01,47.95534481
1973-01-01,52.00790688
1974-01-01,48.11545216
1975-01-01,51.56127934
1976-01-01,50.37157887
1977-01-01,48.38106625
1978-01-01,55.20249154
1979-01-01,60.36846469
1980-01-01,56.0562091
1981-01-01,45.73540404
1982-01-01,51.32730691
1983-01-01,50.9650881
1984-01-01,49.5237108
1985-01-01,56.48935466
1986-01-01,76.48331921
1987-01-01,102.4820042
1988-01-01,92.10269238
1989-01-01,77.40119142
1990-01-01,114.6713355
1991-01-01,105.9515415
1992-01-01,119.2362374
1993-01-01,113.1472476
1994-01-01,114.7886653
1995-01-01,83.95629581
1996-01-01,81.8392698
1997-01-01,75.83273072
1998-01-01,74.38955205
1999-01-01,78.52142199
2000-01-01,78.63600781
2001-01-01,83.09603857
2002-01-01,78.01192111
2003-01-01,77.53253437
2004-01-01,78.46562521
2005-01-01,85.18208574
2006-01-01,107.2621442
2007-01-01,123.2212002
2008-01-01,137.2868487
2009-01-01,142.9525471
2010-01-01,167.7396509
