DATE,VALUE
1991-01-01,100.0
1991-04-01,100.74
1991-07-01,101.29
1991-10-01,103.39
1992-01-01,105.23
1992-04-01,106.15
1992-07-01,107.9
1992-10-01,110.26
1993-01-01,112.13
1993-04-01,114.71
1993-07-01,117.81
1993-10-01,120.85
1994-01-01,123.78
1994-04-01,126.97
1994-07-01,129.09
1994-10-01,131.23
1995-01-01,132.89
1995-04-01,134.23
1995-07-01,136.45
1995-10-01,137.68
1996-01-01,139.37
1996-04-01,140.78
1996-07-01,141.91
1996-10-01,142.93
1997-01-01,144.04
1997-04-01,145.31
1997-07-01,146.28
1997-10-01,147.47
1998-01-01,148.77
1998-04-01,150.7
1998-07-01,152.26
1998-10-01,154.41
1999-01-01,156.39
1999-04-01,158.27
1999-07-01,160.97
1999-10-01,163.1
2000-01-01,165.29
2000-04-01,167.41
2000-07-01,169.39
2000-10-01,172.17
2001-01-01,175.62
2001-04-01,177.64
2001-07-01,179.1
2001-10-01,181.47
2002-01-01,183.61
2002-04-01,185.53
2002-07-01,188.13
2002-10-01,191.57
2003-01-01,193.72
2003-04-01,196.5
2003-07-01,200.22
2003-10-01,204.75
2004-01-01,210.04
2004-04-01,216.84
2004-07-01,224.13
2004-10-01,230.98
2005-01-01,240.4
2005-04-01,251.77
2005-07-01,262.12
2005-10-01,272.44
2006-01-01,279.46
2006-04-01,283.7
2006-07-01,285.31
2006-10-01,290.79
2007-01-01,291.87
2007-04-01,291.7
2007-07-01,288.53
2007-10-01,281.18
2008-01-01,273.58
2008-04-01,263.84
2008-07-01,253.39
2008-10-01,240.85
2009-01-01,236.15
2009-04-01,229.09
2009-07-01,225.31
2009-10-01,223.5
2010-01-01,220.34
2010-04-01,216.44
2010-07-01,210.59
2010-10-01,206.84
2011-01-01,201.32
2011-04-01,197.56
2011-07-01,199.38
2011-10-01,200.08
2012-01-01,203.86
2012-04-01,212.2
2012-07-01,218.72
2012-10-01,224.7
2013-01-01,230.58
2013-04-01,238.45
2013-07-01,244.15
2013-10-01,249.96
2014-01-01,253.58
2014-04-01,255.74
2014-07-01,258.81
2014-10-01,263.78
2015-01-01,271.01
2015-04-01,274.91
2015-07-01,281.66
2015-10-01,286.53
2016-01-01,291.54
2016-04-01,297.2
